,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000933.XSHE,430000933,河南神火煤电股份有限公司,000933.XSHE,2013-12-31,年度分红,2014-03-28,10派0.08元(含税),190050.0,2014-04-19,10派0.08元(含税),190050.0,2014-06-07,10派0.08元(含税),190050.0,0.08,0.076,1520.4,2014-06-13,2014-06-16,2014-06-16,190050.0,313002,实施方案
002049.XSHE,430002049,紫光国芯微电子股份有限公司,002049.XSHE,2013-12-31,年度分红,2014-04-04,10转增10股派1元(含税),30340.8984,2014-04-29,10转增10股派1元(含税),30340.8984,2014-06-10,10转增10股派1元(含税),30340.8984,1.0,0.95,3034.0898,2014-06-13,2014-06-16,2014-06-16,30340.8984,313002,实施方案
002081.XSHE,300001283,苏州金螳螂建筑装饰股份有限公司,002081.XSHE,2013-12-31,年度分红,2014-04-12,10转增5股派2元(含税),117480.3862,2014-05-09,10转增5股派2元(含税),117480.3862,2014-06-09,10转增5股派2元(含税),117480.3862,2.0,1.9,23496.0772,2014-06-13,2014-06-16,2014-06-16,117480.3862,313002,实施方案
002625.XSHE,300021556,光启技术股份有限公司,002625.XSHE,2013-12-31,年度分红,2014-04-26,10转增5股派0.6元(含税),11799.18,2014-05-20,10转增5股派0.6元(含税),11799.18,2014-06-10,10转增5股派0.6元(含税),11799.18,0.6,0.57,707.9508,2014-06-13,2014-06-16,2014-06-16,11799.18,313002,实施方案
600089.XSHG,420600089,特变电工股份有限公司,600089.XSHG,2013-12-31,年度分红,2014-03-28,10派1.33元(含税),316591.2986,2014-04-18,10派1.33元(含税),316591.2986,2014-06-10,10派1.33元(含税),316591.2986,1.33,1.2635,42106.6427,2014-06-13,2014-06-16,2014-06-16,316591.2986,313002,实施方案
600108.XSHG,420600108,甘肃亚盛实业(集团)股份有限公司,600108.XSHG,2013-12-31,年度分红,2014-04-25,10派0.2元(含税),194691.5121,2014-05-30,10派0.2元(含税),194691.5121,2014-06-10,10派0.2元(含税),194691.5121,0.2,0.19,3893.8302,2014-06-13,2014-06-16,2014-06-16,194691.5121,313002,实施方案
600309.XSHG,420600309,万华化学集团股份有限公司,600309.XSHG,2013-12-31,年度分红,2014-04-15,10派7元(含税),216233.47199999998,2014-05-23,10派7元(含税),216233.47199999998,2014-06-10,10派7元(含税),216233.47199999998,7.0,6.65,151363.4304,2014-06-13,2014-06-16,2014-06-16,216233.47199999998,313002,实施方案
600317.XSHG,420600317,营口港务股份有限公司,600317.XSHG,2013-12-31,年度分红,2014-04-25,10转增20股派2元(含税),215766.1001,2014-05-16,10转增20股派2元(含税),215766.1001,2014-06-10,10转增20股派5.29元(含税),215766.1001,5.29,5.0255,79263.3265,2014-06-13,2014-06-16,2014-06-16,215766.1001,313002,实施方案
600500.XSHG,420600500,中化国际(控股)股份有限公司,600500.XSHG,2013-12-31,年度分红,2014-04-12,10派1.2元(含税),208301.2671,2014-05-10,10派1.2元(含税),208301.2671,2014-06-10,10派1.2元(含税),208301.2671,1.2,1.14,24996.1521,2014-06-13,2014-06-16,2014-06-16,208301.2671,313002,实施方案
600809.XSHG,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2013-12-31,年度分红,2014-03-25,10派3.5元(含税),86584.8266,2014-04-19,10派3.5元(含税),86584.8266,2014-06-09,10派3.5元(含税),86584.8266,3.5,3.325,30304.6893,2014-06-13,2014-06-16,2014-06-16,86584.8266,313002,实施方案
600820.XSHG,420600820,上海隧道工程股份有限公司,600820.XSHG,2013-12-31,年度分红,2014-04-03,10送5转增5股派3元(含税),136261.83800000002,2014-04-26,10送5转增5股派3元(含税),136261.83800000002,2014-06-10,10送5转增5股派3元(含税),136261.83800000002,3.0,2.6,40878.5514,2014-06-13,2014-06-16,2014-06-16,136261.83800000002,313002,实施方案
601808.XSHG,300003692,中海油田服务股份有限公司,601808.XSHG,2013-12-31,年度分红,2014-03-19,10派4.3元(含税),477159.2,2014-05-24,10派4.3元(含税),477159.2,2014-06-10,10派4.3元(含税),477159.2,4.3,4.085,205178.456,2014-06-13,2014-06-16,2014-06-16,477159.2,313002,实施方案
