,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600481.XSHG,420600481,双良节能系统股份有限公司,600481.XSHG,2015-06-30,中期分红,2015-07-31,10送2转增8股派0.5元(含税),81024.7904,2015-09-01,10送2转增8股派0.5元(含税),81024.7904,0.5,0.5,4051.2395,2015-09-08,2015-09-09,2015-09-09,81024.7904,313002,实施方案
601318.XSHG,300002221,中国平安保险(集团)股份有限公司,601318.XSHG,2015-06-30,中期分红,2015-08-21,10股派1.8元（含税）,1828024.1409999998,2015-08-29,10股派1.8元（含税）,1828024.1409999998,1.8,1.8,329044.3454,2015-09-08,2015-09-09,2015-09-09,1828024.1409999998,313002,实施方案
