,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000656.XSHE,430000656,金科地产集团股份有限公司,000656.XSHE,2017-12-31,年度分红,2018-04-17,10派2.5元(含税),2018-05-09,10派2.5元(含税),2018-06-27,10派2.5元(含税),533971.5816,2.5,2.5,133492.8954,2018-07-03,2018-07-04,2018-07-04,533971.5816,313002,实施方案
000671.XSHE,430000671,阳光城集团股份有限公司,000671.XSHE,2017-12-31,年度分红,2018-04-14,10派0.5元(含税),2018-05-10,10派0.5元(含税),2018-06-26,10派0.5元(含税),405007.3315,0.5,0.5,20250.3666,2018-07-03,2018-07-04,2018-07-04,405007.3315,313002,实施方案
002146.XSHE,300003361,荣盛房地产发展股份有限公司,002146.XSHE,2017-12-31,年度分红,2018-04-11,10派4.2元(含税),2018-05-09,10派4.2元(含税),2018-06-27,10派4.2元(含税),434816.3851,4.2,4.2,182622.8817,2018-07-03,2018-07-04,2018-07-04,434816.3851,313002,实施方案
600098.XSHG,420600098,广州发展集团股份有限公司,600098.XSHG,2017-12-31,年度分红,2018-04-28,10派1元(含税),2018-06-07,10派1元(含税),2018-06-27,10派1元(含税),272619.6558,1.0,1.0,27261.9656,2018-07-03,2018-07-04,2018-07-04,272619.6558,313002,实施方案
600300.XSHG,420600300,维维食品饮料股份有限公司,600300.XSHG,2017-12-31,年度分红,2018-03-31,10派0.3元(含税),2018-04-27,10派0.3元(含税),2018-06-28,10派0.3元(含税),167200.0,0.3,0.3,5016.0,2018-07-03,2018-07-04,2018-07-04,167200.0,313002,实施方案
600380.XSHG,420600380,健康元药业集团股份有限公司,600380.XSHG,2017-12-31,年度分红,2018-04-03,10派1.8元(含税),2018-05-23,10派1.8元(含税),2018-06-26,10派1.8元(含税),157292.8272,1.8,1.8,28312.7089,2018-07-03,2018-07-04,2018-07-04,157292.8272,313002,实施方案
600739.XSHG,420600739,辽宁成大股份有限公司,600739.XSHG,2017-12-31,年度分红,2018-04-14,10派1.8元(含税),2018-05-08,10派1.8元(含税),2018-06-28,10派1.8元(含税),152970.9816,1.8,1.8,27534.7767,2018-07-03,2018-07-04,2018-07-04,152970.9816,313002,实施方案
600926.XSHG,300006251,杭州银行股份有限公司,600926.XSHG,2017-12-31,年度分红,2018-04-27,10转增4股派3元(含税),2018-05-19,10转增4股派3元(含税),2018-06-26,10转增4股派3元(含税),366442.888,3.0,3.0,109932.8664,2018-07-03,2018-07-04,2018-07-04,366442.888,313002,实施方案
601111.XSHG,300000441,中国国际航空股份有限公司,601111.XSHG,2017-12-31,年度分红,2018-03-28,10派1.1497元(含税),2018-05-26,10派1.1497元(含税),2018-06-26,10派1.1497元(含税),1452481.5185,1.1497,1.1497,166991.8002,2018-07-03,2018-07-04,2018-07-04,1452481.5185,313002,实施方案
601958.XSHG,300004461,金堆城钼业股份有限公司,601958.XSHG,2017-12-31,年度分红,2018-04-18,10派0.4元(含税),2018-05-12,10派0.4元(含税),2018-06-28,10派0.4元(含税),322660.44,0.4,0.4,12906.4176,2018-07-03,2018-07-04,2018-07-04,322660.44,313002,实施方案
