,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600058,23954,420600058,五矿发展股份有限公司,600058.XSHG,2011-12-31,年度分红,2012-03-31,10派2.1元(含税),107191.0711,2012-04-25,10派2.1元(含税),107191.0711,2012-06-08,10派2.1元(含税),107191.0711,2.1,22510.1249,2012-06-13,2012-06-14,2012-06-20,107191.0711,313002,实施方案
600068,24344,420600068,中国葛洲坝集团股份有限公司,600068.XSHG,2011-12-31,年度分红,2012-03-24,10派1元(含税),348745.8977,2012-04-28,10派1元(含税),348745.8977,2012-06-11,10派1元(含税),348745.8977,1.0,34874.5898,2012-06-14,2012-06-15,2012-06-20,348745.8977,313002,实施方案
600125,26571,420600125,中铁铁龙集装箱物流股份有限公司,600125.XSHG,2011-12-31,年度分红,2012-03-09,10派0.6元(含税),130552.1874,2012-04-25,10派0.6元(含税),130552.1874,2012-06-08,10派0.6元(含税),130552.1874,0.6,7833.1312,2012-06-13,2012-06-14,2012-06-20,130552.1874,313002,实施方案
600132,26848,420600132,重庆啤酒股份有限公司,600132.XSHG,2011-12-31,年度分红,2012-03-28,10派2元(含税),48397.1198,2012-04-21,10派2元(含税),48397.1198,2012-06-06,10派2元(含税),48397.1198,2.0,9679.424,2012-06-11,2012-06-12,2012-06-20,48397.1198,313002,实施方案
600221,29836,420600221,海南航空控股股份有限公司,600221.XSHG,2011-12-31,年度分红,2012-03-31,10派1.2元(含税),412549.0895,2012-04-27,10派1.2元(含税),412549.0895,2012-06-06,10派1.2元(含税),412549.0895,1.2,49505.8907,2012-06-11,2012-06-12,2012-06-20,412549.0895,313002,实施方案
600508,37548,420600508,上海大屯能源股份有限公司,600508.XSHG,2011-12-31,年度分红,2012-03-28,10派3元(含税),72271.8,2012-04-28,10派3元(含税),72271.8,2012-06-08,10派3元(含税),72271.8,3.0,21681.54,2012-06-14,2012-06-15,2012-06-20,72271.8,313002,实施方案
600585,39716,420600585,安徽海螺水泥股份有限公司,600585.XSHG,2011-12-31,年度分红,2012-03-27,10派3.5元(含税),529930.2579,2012-06-01,10派3.5元(含税),529930.2579,2012-06-08,10派3.5元(含税),529930.2579,3.5,185475.5903,2012-06-13,2012-06-14,2012-06-20,529930.2579,313002,实施方案
601107,6033,300007387,四川成渝高速公路股份有限公司,601107.XSHG,2011-12-31,年度分红,2012-03-29,10派0.9元(含税),305806.0,2012-05-30,10派0.9元(含税),305806.0,2012-06-06,10派0.9元(含税),305806.0,0.9,27522.54,2012-06-12,2012-06-13,2012-06-20,305806.0,313002,实施方案
601139,7666,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2011-12-31,年度分红,2012-03-30,10转增5股派1.3元(含税),132030.0,2012-04-24,10转增5股派1.3元(含税),132030.0,2012-06-08,10转增5股派1.3元(含税),132030.0,1.3,17163.9,2012-06-13,2012-06-14,2012-06-20,132030.0,313002,实施方案
601231,17493,300022058,环旭电子股份有限公司,601231.XSHG,2011-12-31,年度分红,2012-03-24,10派0.45元(含税),101172.3801,2012-04-26,10派0.45元(含税),101172.3801,2012-06-08,10派0.45元(含税),101172.3801,0.45,4552.7571,2012-06-13,2012-06-14,2012-06-20,101172.3801,313002,实施方案
