,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000839,158097,430000839,中信国安信息产业股份有限公司,000839.XSHE,2011-12-31,年度分红,2012-03-24,10派1元(含税),156793.0541,2012-06-26,10派1元(含税),156793.0541,2012-08-09,10派1元(含税),156793.0541,1.0,15679.3054,2012-08-15,2012-08-16,2012-08-16,156793.0541,313002,实施方案
002202,4156,300003947,新疆金风科技股份有限公司,002202.XSHE,2011-12-31,年度分红,2012-03-24,10派0.5元(含税),269458.8,2012-06-21,10派0.5元(含税),269458.8,2012-08-09,10派0.5元(含税),269458.8,0.5,13472.94,2012-08-15,2012-08-16,2012-08-16,269458.8,313002,实施方案
