,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600000.XSHG,420600000,上海浦东发展银行股份有限公司,600000.XSHG,2011-12-31,年度分红,2012-03-16,10派3元(含税),1865347.1415,2012-06-14,10派3元(含税),1865347.1415,2012-06-19,10派3元(含税),1865347.1415,3.0,559604.1425,2012-06-25,2012-06-26,2012-06-29,1865347.1415,313002,实施方案
600005.XSHG,420600005,武汉钢铁股份有限公司,600005.XSHG,2011-12-31,年度分红,2012-04-24,10派0.5元(含税),1009377.9823,2012-05-21,10派0.5元(含税),1009377.9823,2012-06-15,10派0.5元(含税),1009377.9823,0.5,50468.8991,2012-06-21,2012-06-25,2012-06-29,1009377.9823,313002,实施方案
600016.XSHG,420600016,中国民生银行股份有限公司,600016.XSHG,2011-12-31,年度分红,2012-03-23,10派3元(含税),2671473.2987,2012-06-16,10派3元(含税),2671473.2987,2012-06-19,10派3元(含税),2836558.5227,3.0,850967.5568,2012-06-25,2012-06-26,2012-06-29,2836558.5227,313002,实施方案
600109.XSHG,420600109,国金证券股份有限公司,600109.XSHG,2011-12-31,年度分红,2012-04-10,10派1元(含税),100024.2124,2012-05-08,10派1元(含税),100024.2124,2012-06-19,10派1元(含税),100024.2124,1.0,10002.4212,2012-06-25,2012-06-26,2012-06-29,100024.2124,313002,实施方案
600252.XSHG,420600252,广西梧州中恒集团股份有限公司,600252.XSHG,2011-12-31,年度分红,2012-04-26,10派1元(含税),109174.7528,2012-05-17,10派1元(含税),109174.7528,2012-06-18,10派1元(含税),109174.7528,1.0,10917.4753,2012-06-21,2012-06-25,2012-06-29,109174.7528,313002,实施方案
600741.XSHG,420600741,华域汽车系统股份有限公司,600741.XSHG,2011-12-31,年度分红,2012-03-24,10派3元(含税),258320.0175,2012-05-26,10派3元(含税),258320.0175,2012-06-15,10派3元(含税),258320.0175,3.0,77496.0053,2012-06-21,2012-06-25,2012-06-29,258320.0175,313002,实施方案
600754.XSHG,420600754,上海锦江国际酒店发展股份有限公司,600754.XSHG,2011-12-31,年度分红,2012-03-29,10派3.6元(含税),60324.074,2012-05-23,10派3.6元(含税),60324.074,2012-06-12,10派3.6元(含税),60324.074,3.6,21716.6666,2012-06-15,2012-06-18,2012-06-29,60324.074,313002,实施方案
600886.XSHG,420600886,国投电力控股股份有限公司,600886.XSHG,2011-12-31,年度分红,2012-04-12,10转增5股派0.15元(含税),234510.2751,2012-05-09,10转增5股派0.15元(含税),234510.2751,2012-06-18,10转增5股派0.15元(含税),234510.2751,0.15,3517.6541,2012-06-21,2012-06-25,2012-06-29,234510.3031,313002,实施方案
601012.XSHG,300022338,隆基绿能科技股份有限公司,601012.XSHG,2011-12-31,年度分红,2012-04-28,10转增8股派1.5元(含税),29918.0,2012-05-30,10转增8股派1.5元(含税),29918.0,2012-06-19,10转增8股派1.5元(含税),29918.0,1.5,4487.7,2012-06-25,2012-06-26,2012-06-29,29918.0,313002,实施方案
601601.XSHG,300004003,中国太平洋保险(集团)股份有限公司,601601.XSHG,2011-12-31,年度分红,2012-03-26,10派3.5元(含税),860000.0,2012-05-12,10派3.5元(含税),860000.0,2012-06-18,10派3.5元(含税),860000.0,3.5,301000.0,2012-06-21,2012-06-25,2012-06-29,860000.0,313002,实施方案
601872.XSHG,300001441,招商局能源运输股份有限公司,601872.XSHG,2011-12-31,年度分红,2012-04-23,10派0.1元(含税),429174.7099,2012-05-23,10派0.1元(含税),429174.7099,2012-06-19,10派0.1元(含税),429174.7099,0.1,4291.7471,2012-06-25,2012-06-26,2012-06-29,429174.7099,313002,实施方案
