,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,transfer_ratio,bonus_ratio_rmb,at_bonus_ratio_rmb,transfer_number,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,a_transfer_arrival_date,plan_progress_code,plan_progress
002195.XSHE,300003909,上海二三四五网络控股集团股份有限公司,002195.XSHE,2016-12-31,年度分红,2017-03-10,10转增7股派0.5元(含税),193261.544,2017-04-01,10转增7股派0.5元(含税),193261.544,2017-04-11,10转增7股派0.5元(含税),193261.544,7.0,0.5,0.5,135283.0808,9663.0772,2017-04-17,2017-04-18,2017-04-18,2017-04-18,193261.544,328544.6248,108095.1359,183761.73100000003,2017-04-18,313002,实施方案
300059.XSHE,300010488,东方财富信息股份有限公司,300059.XSHE,2016-12-31,年度分红,2017-03-06,10转增2股派0.4元(含税),355832.1299,2017-03-28,10转增2股派0.4元(含税),355832.1299,2017-04-12,10转增2股派0.4元(含税),355832.1299,2.0,0.4,0.4,71166.4259,14233.2852,2017-04-17,2017-04-18,2017-04-18,2017-04-18,355832.1299,426998.5558,265030.3224,318036.3868,2017-04-18,313002,实施方案
