,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000540.XSHE,430000540,中天金融集团股份有限公司,000540.XSHE,2010-12-31,年度分红,2011-04-22,10送4股派1元(含税),91343.7352,2011-05-14,10送4股派1元(含税),91343.7352,2011-07-05,10送4股派1元(含税),91343.7352,1.0,9134.3735,2011-07-11,2011-07-12,2011-07-12,91343.7352,313002,实施方案
000685.XSHE,430000685,中山公用事业集团股份有限公司,000685.XSHE,2010-12-31,年度分红,2011-04-19,10派2元(含税),59898.7089,2011-05-14,10派2元(含税),59898.7089,2011-07-05,10派2元(含税),59898.7089,2.0,11979.7418,2011-07-11,2011-07-12,2011-07-12,59898.7089,313002,实施方案
000758.XSHE,430000758,中国有色金属建设股份有限公司,000758.XSHE,2010-12-31,年度分红,2011-04-21,10送2股派0.3元(含税),63888.0,2011-05-19,10送2股派0.3元(含税),63888.0,2011-07-05,10送2股派0.3元(含税),63888.0,0.3,1916.64,2011-07-11,2011-07-12,2011-07-12,63888.0,313002,实施方案
600346.XSHG,420600346,恒力石化股份有限公司,600346.XSHG,2010-12-31,年度分红,2011-04-27,10派0.15元(含税),21000.0,2011-05-21,10派0.15元(含税),21000.0,2011-06-28,10派0.15元(含税),21000.0,0.15,315.0,2011-07-04,2011-07-05,2011-07-12,21000.0,313002,实施方案
600635.XSHG,420600635,上海大众公用事业(集团)股份有限公司,600635.XSHG,2010-12-31,年度分红,2011-04-15,10派0.5元(含税),164486.9783,2011-05-20,10派0.5元(含税),164486.9783,2011-06-30,10派0.5元(含税),164486.9783,0.5,8224.3489,2011-07-05,2011-07-06,2011-07-12,164486.9783,313002,实施方案
601117.XSHG,300009949,中国化学工程股份有限公司,601117.XSHG,2010-12-31,年度分红,2011-04-22,10派0.3元(含税),493300.0,2011-05-17,10派0.3元(含税),493300.0,2011-06-30,10派0.3元(含税),493300.0,0.3,14799.0,2011-07-05,2011-07-06,2011-07-12,493300.0,313002,实施方案
