,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002008.XSHE,430002008,大族激光科技产业集团股份有限公司,002008.XSHE,2013-12-31,年度分红,2014-04-22,10派2元(含税),2014-05-13,10派2元(含税),2014-05-28,10派2元(含税),105549.8624,2.0,1.9,21109.9725,2014-06-04,2014-06-05,2014-06-05,105549.8624,313002,实施方案
002146.XSHE,300003361,荣盛房地产发展股份有限公司,002146.XSHE,2013-12-31,年度分红,2014-03-18,10派2元(含税),2014-04-17,10派2元(含税),2014-05-29,10派2元(含税),189272.90300000002,2.0,1.9,37854.5806,2014-06-04,2014-06-05,2014-06-05,189272.90300000002,313002,实施方案
002269.XSHE,300005143,上海美特斯邦威服饰股份有限公司,002269.XSHE,2013-12-31,年度分红,2014-04-25,10派2.8元(含税),2014-05-24,10派2.8元(含税),2014-05-28,10派2.8元(含税),101100.0,2.8,2.66,28308.0,2014-06-04,2014-06-05,2014-06-05,101100.0,313002,实施方案
002378.XSHE,300011447,崇义章源钨业股份有限公司,002378.XSHE,2013-12-31,年度分红,2014-03-25,10派0.5元(含税),2014-04-21,10派0.5元(含税),2014-05-27,10派0.5元(含税),42821.3646,0.5,0.475,2141.0682,2014-06-04,2014-06-05,2014-06-05,42821.3646,313002,实施方案
002500.XSHE,460000279,山西证券股份有限公司,002500.XSHE,2013-12-31,年度分红,2014-04-22,10派0.77元(含税),2014-05-16,10派0.77元(含税),2014-05-29,10派0.77元(含税),251872.5153,0.77,0.7315,19394.1837,2014-06-04,2014-06-05,2014-06-05,251872.5153,313002,实施方案
