,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000917,159989,430000917,湖南电广传媒股份有限公司,000917.XSHE,2016-12-31,年度分红,2017-04-21,10派0.3元(含税),2017-05-12,10派0.3元(含税),2017-07-01,10派0.3元(含税),141755.6338,0.3,0.3,4252.669,2017-07-06,2017-07-07,2017-07-07,141755.6338,313002,实施方案
000938,160695,430000938,紫光股份有限公司,000938.XSHE,2016-12-31,年度分红,2017-04-28,10派1元(含税),2017-06-09,10派1元(含税),2017-06-30,10派1元(含税),104230.3162,1.0,1.0,10423.0316,2017-07-06,2017-07-07,2017-07-07,104230.3162,313002,实施方案
000961,161181,430000961,江苏中南建设集团股份有限公司,000961.XSHE,2016-12-31,年度分红,2017-04-25,10派0.15元(含税),2017-05-17,10派0.15元(含税),2017-06-30,10派0.15元(含税),370978.8797,0.15,0.15,5564.6832,2017-07-06,2017-07-07,2017-07-07,370978.8797,313002,实施方案
002460,11555,300013787,江西赣锋锂业股份有限公司,002460.XSHE,2016-12-31,年度分红,2017-04-12,10派1元(含税),2017-05-11,10派1元(含税),2017-06-29,10派1元(含税),72890.4879,1.0,1.0,7289.0488,2017-07-06,2017-07-07,2017-07-07,72890.4879,313002,实施方案
300136,12103,300014767,深圳市信维通信股份有限公司,300136.XSHE,2016-12-31,年度分红,2017-04-26,10派0.5元(含税),2017-06-02,10派0.5元(含税),2017-06-30,10派0.5元(含税),98283.4638,0.5,0.5,4914.1732,2017-07-06,2017-07-07,2017-07-07,98283.4638,313002,实施方案
600267,31301,420600267,浙江海正药业股份有限公司,600267.XSHG,2016-12-31,年度分红,2017-04-18,10派0.5元(含税),2017-05-10,10派0.5元(含税),2017-06-30,10派0.5元(含税),96553.1842,0.5,0.5,4827.6592,2017-07-06,2017-07-07,2017-07-07,96553.1842,313002,实施方案
600320,32998,420600320,上海振华重工(集团)股份有限公司,600320.XSHG,2016-12-31,年度分红,2017-04-24,10派1元（含税）,2017-05-10,10派1元（含税）,2017-07-03,10派1元（含税）,439029.4584,1.0,1.0,43902.9458,2017-07-06,2017-07-07,2017-07-07,439029.4584,313002,实施方案
600372,34461,420600372,中航航空电子系统股份有限公司,600372.XSHG,2016-12-31,年度分红,2017-03-16,10派0.5元(含税),2017-05-26,10派0.5元(含税),2017-07-03,10派0.5元(含税),175916.2938,0.5,0.5,8795.8147,2017-07-06,2017-07-07,2017-07-07,175916.2938,313002,实施方案
600519,37883,420600519,贵州茅台酒股份有限公司,600519.XSHG,2016-12-31,年度分红,2017-04-15,10派67.87元(含税),2017-05-23,10派67.87元(含税),2017-07-01,10派67.87元(含税),125619.78,67.87,67.87,852581.4469,2017-07-06,2017-07-07,2017-07-07,125619.78,313002,实施方案
600648,131028,420600648,上海外高桥集团股份有限公司,600648.XSHG,2016-12-31,年度分红,2017-04-28,10派2元(含税),2017-06-15,10派2元(含税),2017-06-30,10派2元(含税),113534.9124,2.0,2.0,22706.9825,2017-07-06,2017-07-07,2017-07-07,113534.9124,313002,实施方案
600997,142150,420600997,开滦能源化工股份有限公司,600997.XSHG,2016-12-31,年度分红,2017-04-28,10派1元(含税),2017-05-23,10派1元(含税),2017-07-03,10派1元(含税),158779.9851,1.0,1.0,15877.9985,2017-07-06,2017-07-07,2017-07-07,158779.9851,313002,实施方案
601111,374,300000441,中国国际航空股份有限公司,601111.XSHG,2016-12-31,年度分红,2017-03-31,10派1.0771元(含税),2017-05-26,10派1.0771元(含税),2017-06-30,10派1.0771元(含税),1452481.5185,1.0771,1.0771,156446.7844,2017-07-06,2017-07-07,2017-07-07,1452481.5185,313002,实施方案
601328,2405,300002841,交通银行股份有限公司,601328.XSHG,2016-12-31,年度分红,2017-03-29,10派2.715元(含税),2017-06-23,10派2.715元(含税),2017-06-30,10派2.715元(含税),7426272.6645,2.715,2.715,2016233.0284,2017-07-06,2017-07-07,2017-07-07,7426272.6645,313002,实施方案
603699,18584,300022929,苏州纽威阀门股份有限公司,603699.XSHG,2016-12-31,年度分红,2017-04-13,10派1.6元(含税),2017-06-13,10派1.6元(含税),2017-06-30,10派1.6元(含税),75000.0,1.6,1.6,12000.0,2017-07-06,2017-07-07,2017-07-07,75000.0,313002,实施方案
