,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000061,144788,430000061,深圳市农产品股份有限公司,000061.XSHE,2013-12-31,年度分红,2014-04-30,10派0.5元(含税),169696.4131,2014-05-21,10派0.5元(含税),169696.4131,2014-06-19,10派0.5元(含税),169696.4131,0.5,0.475,8484.8207,2014-06-25,2014-06-26,2014-06-26,169696.4131,313002,实施方案
000963,161248,430000963,华东医药股份有限公司,000963.XSHE,2013-12-31,年度分红,2014-03-21,10派7元(含税),43405.9991,2014-04-29,10派7元(含税),43405.9991,2014-06-20,10派7元(含税),43405.9991,7.0,6.65,30384.1994,2014-06-25,2014-06-26,2014-06-26,43405.9991,313002,实施方案
600233,30247,420600233,圆通速递股份有限公司,600233.XSHG,2013-12-31,年度分红,2014-03-25,10派1.5元(含税),16500.0,2014-05-27,10派1.5元(含税),16500.0,2014-06-20,10派1.5元(含税),16500.0,1.5,1.425,2475.0,2014-06-25,2014-06-26,2014-06-26,16500.0,313002,实施方案
600436,36012,420600436,漳州片仔癀药业股份有限公司,600436.XSHG,2013-12-31,年度分红,2014-04-10,10派11元(含税),16088.4589,2014-05-01,10派11元(含税),16088.4589,2014-06-20,10派11元(含税),16088.4589,11.0,10.45,17697.3048,2014-06-25,2014-06-26,2014-06-26,16088.4589,313002,实施方案
600517,37807,420600517,上海置信电气股份有限公司,600517.XSHG,2013-12-31,年度分红,2014-04-04,10转增8股派1.5元(含税),69140.1272,2014-05-09,10转增8股派1.5元(含税),69140.1272,2014-06-20,10转增8股派1.5元(含税),69140.1272,1.5,1.425,10371.0191,2014-06-25,2014-06-26,2014-06-26,69140.1272,313002,实施方案
600611,40688,420600611,大众交通(集团)股份有限公司,600611.XSHG,2013-12-31,年度分红,2014-03-29,10派0.8元(含税),157608.1909,2014-05-09,10派0.8元(含税),157608.1909,2014-06-18,10派0.8元(含税),157608.1909,0.8,0.76,12608.6553,2014-06-25,2014-06-26,2014-06-26,157608.1909,313002,实施方案
600886,140783,420600886,国投电力控股股份有限公司,600886.XSHG,2013-12-31,年度分红,2014-04-15,10派1.4613元(含税),678602.3347,2014-05-07,10派1.4613元(含税),678602.3347,2014-06-20,10派1.4613元(含税),678602.3347,1.4613,1.3882,99164.1592,2014-06-25,2014-06-26,2014-06-26,678602.3347,313002,实施方案
601018,8971,300010907,宁波舟山港股份有限公司,601018.XSHG,2013-12-31,年度分红,2014-04-11,10派0.83元(含税),1280000.0,2014-05-27,10派0.83元(含税),1280000.0,2014-06-20,10派0.83元(含税),1280000.0,0.83,0.7885,106240.0,2014-06-25,2014-06-26,2014-06-26,1280000.0,313002,实施方案
601098,12400,300015470,中南出版传媒集团股份有限公司,601098.XSHG,2013-12-31,年度分红,2014-04-15,10派2元(含税),179600.0,2014-05-07,10派2元(含税),179600.0,2014-06-20,10派2元(含税),179600.0,2.0,1.9,35920.0,2014-06-25,2014-06-26,2014-06-26,179600.0,313002,实施方案
601099,4408,300004122,太平洋证券股份有限公司,601099.XSHG,2013-12-31,年度分红,2014-04-30,10派0.15元(含税),235364.4684,2014-05-21,10派0.15元(含税),235364.4684,2014-06-20,10派0.15元(含税),235364.4684,0.15,0.1425,3530.467,2014-06-25,2014-06-26,2014-06-26,235364.4684,313002,实施方案
