,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,transfer_ratio,bonus_ratio_rmb,transfer_number,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,a_transfer_arrival_date,plan_progress_code,plan_progress
000703.XSHE,430000703,恒逸石化股份有限公司,000703.XSHE,2011-12-31,年度分红,2012-02-21,10送3转增7股派10元(含税),57679.3813,2012-03-14,10送3转增7股派10元(含税),57679.3813,2012-03-20,10送3转增7股派10元(含税),57679.3813,7.0,10.0,40375.5669,57679.3813,2012-03-26,2012-03-27,2012-03-27,2012-03-27,57679.3813,115358.7626,13080.9359,26161.8718,2012-03-27,313002,实施方案
300182.XSHE,300016769,北京捷成世纪科技股份有限公司,300182.XSHE,2011-12-31,年度分红,2012-01-17,10转增5股派4元(含税),11200.0,2012-02-28,10转增5股派4元(含税),11200.0,2012-03-21,10转增5股派4元(含税),11200.0,5.0,4.0,5600.0,4480.0,2012-03-26,2012-03-27,2012-03-27,2012-03-27,11200.0,16800.0,2800.0,4200.0,2012-03-27,313002,实施方案
