,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000031.XSHE,430000031,中粮地产(集团)股份有限公司,000031.XSHE,2017-12-31,年度分红,2018-03-17,10派0.55元(含税),181373.1596,2018-06-14,10派0.55元(含税),181373.1596,2018-07-04,10派0.55元(含税),181373.1596,0.55,0.55,9975.5238,2018-07-09,2018-07-10,2018-07-10,181373.1596,313002,实施方案
000758.XSHE,430000758,中国有色金属建设股份有限公司,000758.XSHE,2017-12-31,年度分红,2018-04-24,10派0.15元(含税),196937.8424,2018-05-18,10派0.15元(含税),196937.8424,2018-07-03,10派0.15元(含税),196937.8424,0.15,0.15,2954.0676,2018-07-09,2018-07-10,2018-07-10,196937.8424,313002,实施方案
000825.XSHE,430000825,山西太钢不锈钢股份有限公司,000825.XSHE,2017-12-31,年度分红,2018-04-20,10派2.43元(含税),569624.7796,2018-06-21,10派2.43元(含税),569624.7796,2018-07-03,10派2.43元(含税),569624.7796,2.43,2.43,138418.8214,2018-07-09,2018-07-10,2018-07-10,569624.7796,313002,实施方案
600118.XSHG,420600118,中国东方红卫星股份有限公司,600118.XSHG,2017-12-31,年度分红,2018-03-15,10派1.1元(含税),118248.9135,2018-06-16,10派1.1元(含税),118248.9135,2018-07-04,10派1.1元(含税),118248.9135,1.1,1.1,13007.3805,2018-07-09,2018-07-10,2018-07-10,118248.9135,313002,实施方案
600522.XSHG,420600522,江苏中天科技股份有限公司,600522.XSHG,2017-12-31,年度分红,2018-04-26,10派1元(含税),306607.2521,2018-05-17,10派1元(含税),306607.2521,2018-07-04,10派1元(含税),306607.2521,1.0,1.0,30660.7252,2018-07-09,2018-07-10,2018-07-10,306607.2521,313002,实施方案
600795.XSHG,420600795,国电电力发展股份有限公司,600795.XSHG,2017-12-31,年度分红,2018-04-17,10派0.8元(含税),1965039.7845,2018-05-11,10派0.8元(含税),1965039.7845,2018-07-03,10派0.8元(含税),1965039.7845,0.8,0.8,157203.1828,2018-07-09,2018-07-10,2018-07-10,1965039.7845,313002,实施方案
600919.XSHG,300006248,江苏银行股份有限公司,600919.XSHG,2017-12-31,年度分红,2018-04-25,10派1.8元(含税),1154445.0,2018-05-16,10派1.8元(含税),1154445.0,2018-07-03,10派1.8元(含税),1154445.0,1.8,1.8,207800.1,2018-07-09,2018-07-10,2018-07-10,1154445.0,313002,实施方案
600958.XSHG,460000065,东方证券股份有限公司,600958.XSHG,2017-12-31,年度分红,2018-03-30,10派2元(含税),699365.5803,2018-05-26,10派2元(含税),699365.5803,2018-07-04,10派2元(含税),596657.5803,2.0,2.0,119331.5161,2018-07-09,2018-07-10,2018-07-10,699365.5803,313002,实施方案
601225.XSHG,300023204,陕西煤业股份有限公司,601225.XSHG,2017-12-31,年度分红,2018-03-30,10派4.18元(含税),1000000.0,2018-06-26,10派4.18元(含税),1000000.0,2018-07-03,10派4.18元(含税),1000000.0,4.18,4.18,418000.0,2018-07-09,2018-07-10,2018-07-10,1000000.0,313002,实施方案
601997.XSHG,300022955,贵阳银行股份有限公司,601997.XSHG,2017-12-31,年度分红,2018-04-28,10派3.3元(含税),229859.19,2018-05-19,10派3.3元(含税),229859.19,2018-07-03,10派3.3元(含税),229859.19,3.3,3.3,75853.5327,2018-07-09,2018-07-10,2018-07-10,229859.19,313002,实施方案
603799.XSHG,300023781,浙江华友钴业股份有限公司,603799.XSHG,2017-12-31,年度分红,2018-04-26,10转增4股派5元(含税),59267.6632,2018-05-17,10转增4股派5元(含税),59267.6632,2018-07-03,10转增4股派5元(含税),59267.6632,5.0,5.0,29633.8316,2018-07-09,2018-07-10,2018-07-10,59267.6632,313002,实施方案
