,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600307.XSHG,420600307,甘肃酒钢集团宏兴钢铁股份有限公司,600307.XSHG,2012-12-31,年度分红,2013-04-02,10派0.3元(含税),626335.7424,2013-05-28,10派0.3元(含税),626335.7424,2013-07-06,10派0.3元(含税),626335.7424,0.3,0.285,18790.0723,2013-07-12,2013-07-15,2013-07-19,626335.7424,313002,实施方案
600635.XSHG,420600635,上海大众公用事业(集团)股份有限公司,600635.XSHG,2012-12-31,年度分红,2013-04-13,10派0.7元(含税),164486.9783,2013-06-07,10派0.7元(含税),164486.9783,2013-07-10,10派0.7元(含税),164486.9783,0.7,0.665,11514.0885,2013-07-15,2013-07-16,2013-07-19,164486.9783,313002,实施方案
600675.XSHG,420600675,中华企业股份有限公司,600675.XSHG,2012-12-31,年度分红,2013-03-15,10派1.2元(含税),155588.2832,2013-06-19,10派1.2元(含税),155588.2832,2013-07-10,10派1.2元(含税),155588.2832,1.2,1.14,18670.593999999997,2013-07-15,2013-07-16,2013-07-19,155588.2832,313002,实施方案
600703.XSHG,420600703,三安光电股份有限公司,600703.XSHG,2012-12-31,年度分红,2013-03-22,10派2元(含税),144401.3776,2013-06-18,10派2元(含税),144401.3776,2013-07-09,10派2元(含税),144401.3776,2.0,1.9,28880.2755,2013-07-12,2013-07-15,2013-07-19,144401.3776,313002,实施方案
601099.XSHG,300004122,太平洋证券股份有限公司,601099.XSHG,2012-12-31,年度分红,2013-04-26,10派0.15元(含税),165364.4684,2013-05-25,10派0.15元(含税),165364.4684,2013-07-09,10派0.15元(含税),165364.4684,0.15,0.1425,2480.467,2013-07-12,2013-07-15,2013-07-19,165364.4684,313002,实施方案
601398.XSHG,450000019,中国工商银行股份有限公司,601398.XSHG,2012-12-31,年度分红,2013-03-28,10派2.39元(含税),34961875.7526,2013-06-08,10派2.39元(含税),34961875.7526,2013-06-19,10派2.39元(含税),34964271.2378,2.39,2.2705,8356460.8258,2013-06-25,2013-06-26,2013-07-19,34964271.2378,313002,实施方案
601901.XSHG,300021222,方正证券股份有限公司,601901.XSHG,2012-12-31,年度分红,2013-04-27,10派0.37元(含税),610000.0,2013-05-21,10派0.37元(含税),610000.0,2013-07-10,10派0.37元(含税),610000.0,0.37,0.3515,22570.0,2013-07-15,2013-07-16,2013-07-19,610000.0,313002,实施方案
601928.XSHG,300021782,江苏凤凰出版传媒股份有限公司,601928.XSHG,2012-12-31,年度分红,2013-04-25,10派1元(含税),254490.0,2013-05-23,10派1元(含税),254490.0,2013-07-09,10派1元(含税),254490.0,1.0,0.95,25449.0,2013-07-12,2013-07-15,2013-07-19,254490.0,313002,实施方案
601992.XSHG,300006630,北京金隅集团股份有限公司,601992.XSHG,2012-12-31,年度分红,2013-03-21,10派0.71元(含税),428373.706,2013-05-22,10派0.71元(含税),428373.706,2013-07-03,10派0.71元(含税),428373.706,0.71,0.6745,30414.5331,2013-07-09,2013-07-10,2013-07-19,428373.706,313002,实施方案
