,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000400.XSHE,430000400,许继电气股份有限公司,000400.XSHE,2014-12-31,年度分红,2015-03-27,10派1元(含税),100832.7309,2015-05-29,10派1元(含税),100832.7309,2015-07-09,10派1元(含税),100832.7309,1.0,0.95,10083.2731,2015-07-14,2015-07-15,2015-07-15,100832.7309,313002,实施方案
000778.XSHE,430000778,新兴铸管股份有限公司,000778.XSHE,2014-12-31,年度分红,2015-04-21,10派0.4元(含税),364330.7361,2015-05-16,10派0.4元(含税),364330.7361,2015-07-09,10派0.4元(含税),364330.7361,0.4,0.38,14573.2294,2015-07-14,2015-07-15,2015-07-15,364330.7361,313002,实施方案
000800.XSHE,430000800,一汽轿车股份有限公司,000800.XSHE,2014-12-31,年度分红,2015-04-01,10派0.1元(含税),162750.0,2015-06-27,10派0.1元(含税),162750.0,2015-07-08,10派0.1元(含税),162750.0,0.1,0.095,1627.5,2015-07-14,2015-07-15,2015-07-15,162750.0,313002,实施方案
000917.XSHE,430000917,湖南电广传媒股份有限公司,000917.XSHE,2014-12-31,年度分红,2015-04-29,10派0.6元(含税),141755.6338,2015-05-22,10派0.6元(含税),141755.6338,2015-07-09,10派0.6元(含税),141755.6338,0.6,0.57,8505.338,2015-07-14,2015-07-15,2015-07-15,141755.6338,313002,实施方案
002038.XSHE,430002038,北京双鹭药业股份有限公司,002038.XSHE,2014-12-31,年度分红,2015-04-28,10送5股派3元(含税),45660.0,2015-05-29,10送5股派3元(含税),45660.0,2015-07-08,10送5股派3元(含税),45660.0,3.0,2.6,13698.0,2015-07-14,2015-07-15,2015-07-15,45660.0,313002,实施方案
002142.XSHE,300003281,宁波银行股份有限公司,002142.XSHE,2014-12-31,年度分红,2015-04-28,10转增2股派4.5元(含税),324982.8401,2015-05-19,10转增2股派4.5元(含税),324982.8401,2015-07-08,10转增2股派4.5元(含税),324982.8401,4.5,4.275,146242.27800000002,2015-07-14,2015-07-15,2015-07-15,324982.8401,313002,实施方案
600317.XSHG,420600317,营口港务股份有限公司,600317.XSHG,2014-12-31,年度分红,2015-04-22,10派0.1元(含税),647298.3003,2015-05-20,10派0.1元(含税),647298.3003,2015-07-08,10派0.1元(含税),647298.3003,0.1,0.095,6472.983,2015-07-14,2015-07-15,2015-07-15,647298.3003,313002,实施方案
600820.XSHG,420600820,上海隧道工程股份有限公司,600820.XSHG,2014-12-31,年度分红,2015-04-11,10派1.5元(含税),314409.6094,2015-05-28,10派1.5元(含税),314409.6094,2015-07-07,10派1.5元(含税),314409.6094,1.5,1.425,47161.4414,2015-07-14,2015-07-15,2015-07-15,314409.6094,313002,实施方案
601216.XSHG,300017867,内蒙古君正能源化工集团股份有限公司,601216.XSHG,2014-12-31,年度分红,2015-04-29,10转增8股派0.4元(含税),204800.0,2015-07-01,10转增8股派0.4元(含税),204800.0,2015-07-09,10转增8股派0.4元(含税),204800.0,0.4,0.38,8192.0,2015-07-14,2015-07-15,2015-07-15,204800.0,313002,实施方案
601618.XSHG,300008087,中国冶金科工股份有限公司,601618.XSHG,2014-12-31,年度分红,2015-03-28,10派0.5元(含税),1911000.0,2015-06-27,10派0.5元(含税),1911000.0,2015-07-09,10派0.5元(含税),1911000.0,0.5,0.475,95550.0,2015-07-14,2015-07-15,2015-07-15,1911000.0,313002,实施方案
601718.XSHG,300013870,际华集团股份有限公司,601718.XSHG,2014-12-31,年度分红,2015-04-28,10派0.46元(含税),385700.0,2015-05-21,10派0.46元(含税),385700.0,2015-07-08,10派0.46元(含税),385700.0,0.46,0.4370000000000001,17742.2,2015-07-14,2015-07-15,2015-07-15,385700.0,313002,实施方案
