,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000001.XSHE,430000001,平安银行股份有限公司,000001.XSHE,2015-12-31,年度分红,2016-03-10,10转增2股派1.53元(含税),2016-05-20,10转增2股派1.53元(含税),2016-06-08,10转增2股派1.53元(含税),1430867.6139,1.53,1.53,218922.7449,2016-06-15,2016-06-16,2016-06-16,1430867.6139,313002,实施方案
000021.XSHE,430000021,深圳长城开发科技股份有限公司,000021.XSHE,2015-12-31,年度分红,2016-03-31,10派0.5元(含税),2016-04-23,10派0.5元(含税),2016-06-08,10派0.5元(含税),147125.9363,0.5,0.5,7356.2968,2016-06-15,2016-06-16,2016-06-16,147125.9363,313002,实施方案
000060.XSHE,430000060,深圳市中金岭南有色金属股份有限公司,000060.XSHE,2015-12-31,年度分红,2016-03-31,10派0.1元(含税),2016-04-26,10派0.1元(含税),2016-06-08,10派0.1元(含税),221262.7938,0.1,0.1,2212.6279,2016-06-15,2016-06-16,2016-06-16,221262.7938,313002,实施方案
000623.XSHE,430000623,吉林敖东药业集团股份有限公司,000623.XSHE,2015-12-31,年度分红,2016-03-29,10派3元(含税),2016-04-20,10派3元(含税),2016-06-08,10派3元(含税),89443.8433,3.0,3.0,26833.153,2016-06-15,2016-06-16,2016-06-16,89443.8433,313002,实施方案
000768.XSHE,430000768,中航飞机股份有限公司,000768.XSHE,2015-12-31,年度分红,2016-03-29,10派1元(含税),2016-04-23,10派1元(含税),2016-06-07,10派1元(含税),276864.5071,1.0,1.0,27686.4507,2016-06-15,2016-06-16,2016-06-16,276864.5071,313002,实施方案
000963.XSHE,430000963,华东医药股份有限公司,000963.XSHE,2015-12-31,年度分红,2016-03-18,10派12.5元(含税),2016-06-04,10派12.5元(含税),2016-06-07,10派12.5元(含税),48605.8208,12.5,12.5,60757.276,2016-06-15,2016-06-16,2016-06-16,48605.8208,313002,实施方案
002074.XSHE,300001001,国轩高科股份有限公司,002074.XSHE,2015-12-31,年度分红,2016-03-31,10派1.5元(含税),2016-04-21,10派1.5元(含税),2016-06-08,10派1.5元(含税),87635.0,1.5,1.5,13145.25,2016-06-15,2016-06-16,2016-06-16,87635.0,313002,实施方案
002292.XSHE,300007988,奥飞娱乐股份有限公司,002292.XSHE,2015-12-31,年度分红,2016-03-31,10派0.4元(含税),2016-04-26,10派0.4元(含税),2016-06-08,10派0.4元(含税),130893.8339,0.4,0.4,5235.7534,2016-06-15,2016-06-16,2016-06-16,130893.8339,313002,实施方案
002422.XSHE,300012788,四川科伦药业股份有限公司,002422.XSHE,2015-12-31,年度分红,2016-03-30,10派1.39元(含税),2016-04-21,10派1.39元(含税),2016-06-08,10派1.39元(含税),143251.8933,1.39,1.39,19912.0132,2016-06-15,2016-06-16,2016-06-16,143251.8933,313002,实施方案
300168.XSHE,300015690,万达信息股份有限公司,300168.XSHE,2015-12-31,年度分红,2016-04-26,10派0.7元(含税),2016-05-17,10派0.7元(含税),2016-06-06,10派0.7元(含税),102326.7842,0.7,0.7,7162.8749,2016-06-15,2016-06-16,2016-06-16,102326.7842,313002,实施方案
