,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000046,144393,430000046,泛海控股股份有限公司,000046.XSHE,2015-12-31,年度分红,2016-03-31,10派1.5元(含税),519620.0656,2016-04-27,10派1.5元(含税),519620.0656,2016-06-18,10派1.5元(含税),519620.0656,1.5,1.5,77943.0098,2016-06-23,2016-06-24,2016-06-24,519620.0656,313002,实施方案
000400,145681,430000400,许继电气股份有限公司,000400.XSHE,2015-12-31,年度分红,2016-03-31,10派1元(含税),100832.7309,2016-05-20,10派1元(含税),100832.7309,2016-06-20,10派1元(含税),100832.7309,1.0,1.0,10083.2731,2016-06-23,2016-06-24,2016-06-24,100832.7309,313002,实施方案
001979,22395,100014107,招商局蛇口工业区控股股份有限公司,001979.XSHE,2015-12-31,年度分红,2016-03-29,10派2.6元（含税）,790409.2722,2016-05-18,10派2.6元（含税）,790409.2722,2016-06-17,10派2.6元（含税）,790409.2722,2.6,2.6,205506.4108,2016-06-23,2016-06-24,2016-06-24,790409.2722,313002,实施方案
002146,2773,300003361,荣盛房地产发展股份有限公司,002146.XSHE,2015-12-31,年度分红,2016-04-23,10派2.5元(含税),434816.3851,2016-05-17,10派2.5元(含税),434816.3851,2016-06-17,10派2.5元(含税),434816.3851,2.5,2.5,108704.0963,2016-06-23,2016-06-24,2016-06-24,434816.3851,313002,实施方案
002460,11553,300013787,江西赣锋锂业股份有限公司,002460.XSHE,2015-12-31,年度分红,2016-04-12,10转增10股派1.5元(含税),37634.7763,2016-05-11,10转增10股派1.5元(含税),37634.7763,2016-06-18,10转增10股派1.5元(含税),37634.7763,1.5,1.5,5645.2164,2016-06-23,2016-06-24,2016-06-24,37634.7763,313002,实施方案
002736,5180,300004734,国信证券股份有限公司,002736.XSHE,2015-12-31,年度分红,2016-04-18,10派6元(含税),820000.0,2016-05-21,10派6元(含税),820000.0,2016-06-17,10派6元(含税),820000.0,6.0,6.0,492000.0,2016-06-23,2016-06-24,2016-06-24,820000.0,313002,实施方案
600016,23094,420600016,中国民生银行股份有限公司,600016.XSHG,2015-12-31,年度分红,2016-03-31,10派1.6元(含税),3648534.8752,2016-06-08,10派1.6元(含税),3648534.8752,2016-06-18,10派1.6元(含税),3648534.8752,1.6,1.6,583765.58,2016-06-23,2016-06-24,2016-06-24,3648534.8752,313002,实施方案
600027,23274,420600027,华电国际电力股份有限公司,600027.XSHG,2015-12-31,年度分红,2016-03-25,10派3元(含税),986297.6653,2016-06-01,10派3元(含税),986297.6653,2016-06-17,10派3元(含税),986297.6653,3.0,3.0,295889.2996,2016-06-23,2016-06-24,2016-06-24,986297.6653,313002,实施方案
600028,23308,420600028,中国石油化工股份有限公司,600028.XSHG,2015-12-31,年度分红,2016-03-30,10派0.6元(含税),12107120.9646,2016-05-19,10派0.6元(含税),12107120.9646,2016-06-18,10派0.6元(含税),12107120.9646,0.6,0.6,726427.2579,2016-06-23,2016-06-24,2016-06-24,12107120.9646,313002,实施方案
601988,164325,450000028,中国银行股份有限公司,601988.XSHG,2015-12-31,年度分红,2016-03-31,10派1.75元（含税）,29438800.0,2016-06-08,10派1.75元（含税）,29438800.0,2016-06-17,10派1.75元（含税）,29438779.1241,1.75,1.75,5151786.3467,2016-06-23,2016-06-24,2016-06-24,29438779.1241,313002,实施方案
