,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000568,149646,430000568,泸州老窖股份有限公司,000568.XSHE,2011-12-31,年度分红,2012-04-20,10派14元(含税),139423.9476,2012-06-28,10派14元(含税),139423.9476,2012-07-06,10派14元(含税),139826.8476,14.0,195757.5866,2012-07-12,2012-07-13,2012-07-13,139826.8476,313002,实施方案
000917,159979,430000917,湖南电广传媒股份有限公司,000917.XSHE,2011-12-31,年度分红,2012-04-21,10转增12股派1.39元(含税),40637.8405,2012-05-18,10转增12股派1.39元(含税),40637.8405,2012-07-06,10转增12股派1.39元(含税),40637.8405,1.39,5648.6598,2012-07-12,2012-07-13,2012-07-13,40637.8405,313002,实施方案
002007,162540,430002007,华兰生物工程股份有限公司,002007.XSHE,2011-12-31,年度分红,2012-04-12,10派1.2元(含税),57620.48,2012-05-19,10派1.2元(含税),57620.48,2012-07-09,10派1.2元(含税),57620.48,1.2,6914.4576,2012-07-12,2012-07-13,2012-07-13,57620.48,313002,实施方案
600029,23330,420600029,中国南方航空股份有限公司,600029.XSHG,2011-12-31,年度分红,2012-03-30,10派2元(含税),981756.7,2012-06-01,10派2元(含税),981756.7,2012-07-02,10派2元(含税),981756.7,2.0,196351.34,2012-07-06,2012-07-09,2012-07-13,981756.7,313002,实施方案
600233,30243,420600233,圆通速递股份有限公司,600233.XSHG,2011-12-31,年度分红,2012-04-24,10派1.2元(含税),16500.0,2012-05-16,10派1.2元(含税),16500.0,2012-07-02,10派1.2元(含税),16500.0,1.2,1980.0,2012-07-05,2012-07-06,2012-07-13,16500.0,313002,实施方案
600307,32560,420600307,甘肃酒钢集团宏兴钢铁股份有限公司,600307.XSHG,2011-12-31,年度分红,2012-03-27,10派1.2元(含税),409135.7424,2012-05-19,10派1.2元(含税),409135.7424,2012-07-03,10派1.2元(含税),409135.7424,1.2,49096.2891,2012-07-06,2012-07-09,2012-07-13,409135.7424,313002,实施方案
600348,33731,420600348,阳泉煤业(集团)股份有限公司,600348.XSHG,2011-12-31,年度分红,2012-04-24,10派2元(含税),240500.0,2012-05-19,10派2元(含税),240500.0,2012-06-28,10派2元(含税),240500.0,2.0,48100.0,2012-07-03,2012-07-04,2012-07-13,240500.0,313002,实施方案
600519,37873,420600519,贵州茅台酒股份有限公司,600519.XSHG,2011-12-31,年度分红,2012-04-11,10派39.97元(含税),103818.0,2012-05-30,10派39.97元(含税),103818.0,2012-06-27,10派39.97元(含税),103818.0,39.97,414960.54600000003,2012-07-04,2012-07-05,2012-07-13,103818.0,313002,实施方案
600717,133871,420600717,天津港股份有限公司,600717.XSHG,2011-12-31,年度分红,2012-03-24,10派1元(含税),167476.91199999998,2012-05-23,10派1元(含税),167476.91199999998,2012-07-03,10派1元(含税),167476.91199999998,1.0,16747.6912,2012-07-06,2012-07-09,2012-07-13,167476.91199999998,313002,实施方案
601018,8967,300010907,宁波舟山港股份有限公司,601018.XSHG,2011-12-31,年度分红,2012-04-20,10派0.66元(含税),1280000.0,2012-06-06,10派0.66元(含税),1280000.0,2012-07-02,10派0.66元(含税),1280000.0,0.66,84480.0,2012-07-05,2012-07-06,2012-07-13,1280000.0,313002,实施方案
601766,5643,300005127,中国中车股份有限公司,601766.XSHG,2011-12-31,年度分红,2012-03-31,10派1.8元(含税),1380300.0,2012-05-31,10派1.8元(含税),1380300.0,2012-07-03,10派1.8元(含税),1380300.0,1.8,248454.0,2012-07-06,2012-07-09,2012-07-13,1380300.0,313002,实施方案
601939,3396,300003682,中国建设银行股份有限公司,601939.XSHG,2011-12-31,年度分红,2012-03-26,10派2.365元(含税),25001097.7486,2012-06-08,10派2.365元(含税),25001097.7486,2012-06-18,10派2.365元(含税),25001097.7486,2.365,5912759.6175,2012-06-21,2012-06-25,2012-07-13,25001097.7486,313002,实施方案
