,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000425.XSHE,430000425,徐工集团工程机械股份有限公司,000425.XSHE,2012-12-31,年度分红,2013-03-26,10派1.3元(含税),206275.8154,2013-04-19,10派1.3元(含税),206275.8154,2013-05-31,10派1.3元(含税),206275.8154,1.3,1.235,26815.856,2013-06-06,2013-06-07,2013-06-07,206275.8154,313002,实施方案
000703.XSHE,430000703,恒逸石化股份有限公司,000703.XSHE,2012-12-31,年度分红,2013-04-12,10派1元(含税),115358.7626,2013-05-04,10派1元(含税),115358.7626,2013-05-31,10派1元(含税),115358.7626,1.0,0.95,11535.8763,2013-06-06,2013-06-07,2013-06-07,115358.7626,313002,实施方案
000778.XSHE,430000778,新兴铸管股份有限公司,000778.XSHE,2012-12-31,年度分红,2013-03-19,10派1元(含税),191687.1574,2013-04-20,10派1元(含税),191687.1574,2013-06-01,10派1元(含税),191687.1574,1.0,0.95,19168.7157,2013-06-06,2013-06-07,2013-06-07,191687.1574,313002,实施方案
000858.XSHE,430000858,宜宾五粮液股份有限公司,000858.XSHE,2012-12-31,年度分红,2013-04-02,10派8元(含税),379596.672,2013-05-11,10派8元(含税),379596.672,2013-06-01,10派8元(含税),379596.672,8.0,7.6,303677.3376,2013-06-06,2013-06-07,2013-06-07,379596.672,313002,实施方案
000977.XSHE,430000977,浪潮电子信息产业股份有限公司,000977.XSHE,2012-12-31,年度分红,2013-04-17,10派1元(含税),21500.0,2013-05-09,10派1元(含税),21500.0,2013-06-01,10派1元(含税),21500.0,1.0,0.95,2150.0,2013-06-06,2013-06-07,2013-06-07,21500.0,313002,实施方案
002049.XSHE,430002049,紫光国芯微电子股份有限公司,002049.XSHE,2012-12-31,年度分红,2013-03-29,10派1元(含税),29694.1323,2013-04-19,10派1元(含税),29694.1323,2013-06-01,10派0.978683元(含税),30340.8984,0.9787,0.9297,2969.4121,2013-06-06,2013-06-07,2013-06-07,30340.8984,313002,实施方案
002074.XSHE,300001001,国轩高科股份有限公司,002074.XSHE,2012-12-31,年度分红,2013-03-18,10派0.2元(含税),25336.8,2013-04-26,10派0.2元(含税),25336.8,2013-05-31,10派0.2元(含税),25336.8,0.2,0.19,506.736,2013-06-06,2013-06-07,2013-06-07,25336.8,313002,实施方案
002153.XSHE,300003424,北京中长石基信息技术股份有限公司,002153.XSHE,2012-12-31,年度分红,2013-03-30,10派1元(含税),30912.0,2013-05-08,10派1元(含税),30912.0,2013-06-01,10派1元(含税),30912.0,1.0,0.95,3091.2,2013-06-06,2013-06-07,2013-06-07,30912.0,313002,实施方案
002304.XSHE,300008689,江苏洋河酒厂股份有限公司,002304.XSHE,2012-12-31,年度分红,2013-04-23,10派20元(含税),108000.0,2013-05-18,10派20元(含税),108000.0,2013-06-01,10派20元(含税),108000.0,20.0,19.0,216000.0,2013-06-06,2013-06-07,2013-06-07,108000.0,313002,实施方案
002375.XSHE,300011247,浙江亚厦装饰股份有限公司,002375.XSHE,2012-12-31,年度分红,2013-03-30,10派1元(含税),63543.75,2013-04-23,10派1元(含税),63543.75,2013-05-31,10派1元(含税),63543.75,1.0,0.95,6354.375,2013-06-06,2013-06-07,2013-06-07,63543.75,313002,实施方案
002603.XSHE,300021072,石家庄以岭药业股份有限公司,002603.XSHE,2012-12-31,年度分红,2013-03-28,10派1元(含税),55250.0,2013-04-23,10派1元(含税),55250.0,2013-05-31,10派1元(含税),55250.0,1.0,0.95,5525.0,2013-06-06,2013-06-07,2013-06-07,55250.0,313002,实施方案
300168.XSHE,300015690,万达信息股份有限公司,300168.XSHE,2012-12-31,年度分红,2013-04-22,10派1元(含税),24321.702,2013-05-13,10派1元(含税),24321.702,2013-05-31,10派1元(含税),24321.702,1.0,0.95,2432.1702,2013-06-06,2013-06-07,2013-06-07,24321.702,313002,实施方案
600000.XSHG,420600000,上海浦东发展银行股份有限公司,600000.XSHG,2012-12-31,年度分红,2013-03-14,10派5.5元(含税),1865347.1415,2013-05-17,10派5.5元(含税),1865347.1415,2013-05-27,10派5.5元(含税),1865347.1415,5.5,5.225,1025940.9278,2013-05-31,2013-06-03,2013-06-07,1865347.1415,313002,实施方案
600048.XSHG,300000161,保利房地产(集团)股份有限公司,600048.XSHG,2012-12-31,年度分红,2013-03-26,10派2.32元(含税),713799.4391,2013-04-17,10派2.32元(含税),713799.4391,2013-05-28,10派2.32元(含税),713799.4391,2.32,2.204,165601.4699,2013-05-31,2013-06-03,2013-06-07,713799.4391,313002,实施方案
600132.XSHG,420600132,重庆啤酒股份有限公司,600132.XSHG,2012-12-31,年度分红,2013-03-23,10派2元(含税),48397.1198,2013-04-13,10派2元(含税),48397.1198,2013-05-27,10派2元(含税),48397.1198,2.0,1.9,9679.424,2013-05-31,2013-06-03,2013-06-07,48397.1198,313002,实施方案
600176.XSHG,420600176,中国巨石股份有限公司,600176.XSHG,2012-12-31,年度分红,2013-03-15,10派1元(含税),87262.95,2013-04-27,10派1元(含税),87262.95,2013-05-28,10派1元(含税),83176.06,1.0,0.95,8317.606,2013-05-31,2013-06-03,2013-06-07,87262.95,313002,实施方案
600233.XSHG,420600233,圆通速递股份有限公司,600233.XSHG,2012-12-31,年度分红,2013-04-16,10派1.5元(含税),16500.0,2013-05-17,10派1.5元(含税),16500.0,2013-05-28,10派1.5元(含税),16500.0,1.5,1.425,2475.0,2013-05-31,2013-06-03,2013-06-07,16500.0,313002,实施方案
600239.XSHG,420600239,云南城投置业股份有限公司,600239.XSHG,2012-12-31,年度分红,2013-03-27,10派0.8元(含税),82342.9184,2013-04-18,10派0.8元(含税),82342.9184,2013-05-28,10派0.8元(含税),82342.9184,0.8,0.76,6587.4335,2013-05-31,2013-06-03,2013-06-07,82342.9184,313002,实施方案
600340.XSHG,420600340,华夏幸福基业股份有限公司,600340.XSHG,2012-12-31,年度分红,2013-03-28,10派2.3元(含税),88191.981,2013-04-19,10派2.3元(含税),88191.981,2013-05-29,10派2.3元(含税),88191.981,2.3,2.185,20284.1556,2013-06-03,2013-06-04,2013-06-07,88191.981,313002,实施方案
600436.XSHG,420600436,漳州片仔癀药业股份有限公司,600436.XSHG,2012-12-31,年度分红,2013-04-27,10派8元(含税),14000.0,2013-05-23,10派8元(含税),14000.0,2013-05-28,10派8元(含税),14000.0,8.0,7.6,11200.0,2013-05-31,2013-06-03,2013-06-07,14000.0,313002,实施方案
600596.XSHG,420600596,浙江新安化工集团股份有限公司,600596.XSHG,2012-12-31,年度分红,2013-04-16,10派1.2元(含税),67918.4633,2013-05-15,10派1.2元(含税),67918.4633,2013-05-28,10派1.2元(含税),67918.4633,1.2,1.14,8150.2156,2013-05-31,2013-06-03,2013-06-07,67918.4633,313002,实施方案
600660.XSHG,420600660,福耀玻璃工业集团股份有限公司,600660.XSHG,2012-12-31,年度分红,2013-03-19,10派5元(含税),200298.6332,2013-05-08,10派5元(含税),200298.6332,2013-05-29,10派5元(含税),200298.6332,5.0,4.75,100149.3166,2013-06-03,2013-06-04,2013-06-07,200298.6332,313002,实施方案
600663.XSHG,420600663,上海陆家嘴金融贸易区开发股份有限公司,600663.XSHG,2012-12-31,年度分红,2013-03-14,10派1.63元(含税),186768.4,2013-04-17,10派1.63元(含税),186768.4,2013-05-20,10派1.63元(含税),186768.4,1.63,1.5485,30443.2492,2013-05-23,2013-05-24,2013-06-07,186768.4,313002,实施方案
600718.XSHG,420600718,东软集团股份有限公司,600718.XSHG,2012-12-31,年度分红,2013-03-30,10派1.5元(含税),122759.4245,2013-04-20,10派1.5元(含税),122759.4245,2013-05-28,10派1.5元(含税),122759.4245,1.5,1.425,18413.9137,2013-05-31,2013-06-03,2013-06-07,122759.4245,313002,实施方案
600893.XSHG,420600893,中国航发动力股份有限公司,600893.XSHG,2012-12-31,年度分红,2013-03-26,10派0.81元(含税),108957.3236,2013-04-16,10派0.81元(含税),108957.3236,2013-05-28,10派0.81元(含税),108957.3236,0.81,0.7695,8825.5432,2013-05-31,2013-06-03,2013-06-07,108957.3236,313002,实施方案
