,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
300017.XSHE,300008387,网宿科技股份有限公司,300017.XSHE,2010-12-31,年度分红,2011-03-28,10派1元(含税),15421.4286,2011-05-14,10派1元(含税),15421.4286,2011-06-24,10派1元(含税),15421.4286,1.0,1542.1429,2011-06-29,2011-06-30,2011-06-30,15421.4286,313002,实施方案
600005.XSHG,420600005,武汉钢铁股份有限公司,600005.XSHG,2010-12-31,年度分红,2011-04-25,10派1元(含税),1009377.9823,2011-05-20,10派1元(含税),1009377.9823,2011-06-16,10派1元(含税),1009377.9823,1.0,100937.7982,2011-06-22,2011-06-23,2011-06-30,1009377.9823,313002,实施方案
600011.XSHG,420600011,华能国际电力股份有限公司,600011.XSHG,2010-12-31,年度分红,2011-03-30,10派2元(含税),1405538.344,2011-05-18,10派2元(含税),1405538.344,2011-06-17,10派2元(含税),1405538.344,2.0,281107.6688,2011-06-22,2011-06-23,2011-06-30,1405538.344,313002,实施方案
600028.XSHG,420600028,中国石油化工股份有限公司,600028.XSHG,2010-12-31,年度分红,2011-03-28,10派1.3元(含税),8670252.7774,2011-05-16,10派1.3元(含税),8670252.7774,2011-06-14,10派1.3元(含税),8670252.7774,1.3,1127132.8611,2011-06-17,2011-06-20,2011-06-30,8670252.7774,313002,实施方案
600219.XSHG,420600219,山东南山铝业股份有限公司,600219.XSHG,2010-12-31,年度分红,2011-04-28,10派1元(含税),193415.4495,2011-05-19,10派1元(含税),193415.4495,2011-06-20,10派1元(含税),193415.4495,1.0,19341.545,2011-06-23,2011-06-24,2011-06-30,193415.4495,313002,实施方案
600642.XSHG,420600642,申能股份有限公司,600642.XSHG,2010-12-31,年度分红,2011-04-30,10送2转增3股派1元(含税),315251.604,2011-05-27,10送2转增3股派1元(含税),315251.604,2011-06-20,10送2转增3股派1元(含税),315251.604,1.0,31525.1604,2011-06-23,2011-06-24,2011-06-30,315251.604,313002,实施方案
600875.XSHG,420600875,东方电气股份有限公司,600875.XSHG,2010-12-31,年度分红,2011-03-31,10派1.3元(含税),200386.0,2011-05-18,10派1.3元(含税),200386.0,2011-06-20,10派1.3元(含税),200386.0,1.3,26050.18,2011-06-23,2011-06-24,2011-06-30,200386.0,313002,实施方案
601333.XSHG,300001741,广深铁路股份有限公司,601333.XSHG,2010-12-31,年度分红,2011-03-25,10派0.9元(含税),708353.7,2011-06-03,10派0.9元(含税),708353.7,2011-06-17,10派0.9元(含税),708353.7,0.9,63751.833,2011-06-22,2011-06-23,2011-06-30,708353.7,313002,实施方案
601857.XSHG,300003825,中国石油天然气股份有限公司,601857.XSHG,2010-12-31,年度分红,2011-03-18,10派1.8357元(含税),18302097.7818,2011-05-19,10派1.8357元(含税),18302097.7818,2011-05-26,10派1.8357元(含税),18302097.7818,1.8357,3359716.0898,2011-05-31,2011-06-01,2011-06-30,18302097.7818,313002,实施方案
601988.XSHG,450000028,中国银行股份有限公司,601988.XSHG,2010-12-31,年度分红,2011-03-25,10派1.46元(含税),27914722.3195,2011-05-28,10派1.46元(含税),27914722.3195,2011-06-03,10派1.46元(含税),27914732.1046,1.46,4075550.8873,2011-06-09,2011-06-10,2011-06-30,27914732.1046,313002,实施方案
