,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000425,146583,430000425,徐工集团工程机械股份有限公司,000425.XSHE,2013-12-31,年度分红,2014-04-08,10派1元(含税),206275.8154,2014-05-14,10派1元(含税),206275.8154,2014-06-27,10派1元(含税),206275.8154,1.0,0.95,20627.5815,2014-07-03,2014-07-04,2014-07-04,206275.8154,313002,实施方案
000961,161175,430000961,江苏中南建设集团股份有限公司,000961.XSHE,2013-12-31,年度分红,2014-04-10,10派1.2元(含税),116783.9226,2014-05-09,10派1.2元(含税),116783.9226,2014-06-28,10派1.2元(含税),116783.9226,1.2,1.14,14014.0707,2014-07-03,2014-07-04,2014-07-04,116783.9226,313002,实施方案
002038,163384,430002038,北京双鹭药业股份有限公司,002038.XSHE,2013-12-31,年度分红,2014-04-26,10派2元(含税),45684.0,2014-05-17,10派2元(含税),45684.0,2014-06-26,10派2元(含税),45684.0,2.0,1.9,9136.8,2014-07-03,2014-07-04,2014-07-04,45684.0,313002,实施方案
002460,11549,300013787,江西赣锋锂业股份有限公司,002460.XSHE,2013-12-31,年度分红,2014-04-15,10转增10股派1.5元(含税),17825.0275,2014-05-09,10转增10股派1.5元(含税),17825.0275,2014-06-27,10转增10股派1.5元(含税),17825.0275,1.5,1.425,2673.7541,2014-07-03,2014-07-04,2014-07-04,17825.0275,313002,实施方案
002714,18805,300022995,牧原食品股份有限公司,002714.XSHE,2013-12-31,年度分红,2014-04-02,10派2.34元(含税),24200.0,2014-05-08,10派2.34元(含税),24200.0,2014-06-30,10派2.34元(含税),24200.0,2.34,2.2230000000000003,5662.8,2014-07-03,2014-07-04,2014-07-04,24200.0,313002,实施方案
600100,25625,420600100,同方股份有限公司,600100.XSHG,2013-12-31,年度分红,2014-04-18,10派1元(含税),219788.2238,2014-05-09,10派1元(含税),219788.2238,2014-06-27,10派1元(含税),219788.2238,1.0,0.95,21978.8224,2014-07-03,2014-07-04,2014-07-04,219788.2238,313002,实施方案
600151,27396,420600151,上海航天汽车机电股份有限公司,600151.XSHG,2013-12-31,年度分红,2014-04-05,10派0.35元(含税),125017.9897,2014-05-20,10派0.35元(含税),125017.9897,2014-06-30,10派0.35元(含税),125017.9897,0.35,0.3325,4375.6296,2014-07-03,2014-07-04,2014-07-04,125017.9897,313002,实施方案
600252,30847,420600252,广西梧州中恒集团股份有限公司,600252.XSHG,2013-12-31,年度分红,2014-03-12,10派2元(含税),109174.7528,2014-05-17,10派2元(含税),109174.7528,2014-06-27,10派2元(含税),109174.7528,2.0,1.9,21834.9506,2014-07-03,2014-07-04,2014-07-04,109174.7528,313002,实施方案
600350,33768,420600350,山东高速股份有限公司,600350.XSHG,2013-12-31,年度分红,2014-03-29,10派1.51元(含税),481116.5857,2014-06-21,10派1.51元(含税),481116.5857,2014-06-30,10派1.51元(含税),481116.5857,1.51,1.4345,72648.6044,2014-07-03,2014-07-04,2014-07-04,481116.5857,313002,实施方案
600403,35367,420600403,河南大有能源股份有限公司,600403.XSHG,2013-12-31,年度分红,2014-04-16,10派1.5元(含税),239081.2402,2014-05-07,10派1.5元(含税),239081.2402,2014-06-28,10派1.5元(含税),239081.2402,1.5,1.425,35862.186,2014-07-03,2014-07-04,2014-07-04,239081.2402,313002,实施方案
