,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000792.XSHE,430000792,青海盐湖工业股份有限公司,000792.XSHE,2013-12-31,年度分红,2014-03-27,10派0.67元(含税),159050.9203,2014-05-06,10派0.67元(含税),159050.9203,2014-06-26,10派0.67元(含税),159050.9203,0.67,0.6365,10656.4117,2014-07-01,2014-07-02,2014-07-02,159050.9203,313002,实施方案
002044.XSHE,430002044,美年大健康产业控股股份有限公司,002044.XSHE,2013-12-31,年度分红,2014-04-25,10派0.5元(含税),22425.0,2014-05-17,10派0.5元(含税),22425.0,2014-06-26,10派0.5元(含税),22425.0,0.5,0.475,1121.25,2014-07-01,2014-07-02,2014-07-02,22425.0,313002,实施方案
600383.XSHG,420600383,金地(集团)股份有限公司,600383.XSHG,2013-12-31,年度分红,2014-04-28,10派1.6元(含税),447150.8572,2014-05-30,10派1.6元(含税),447150.8572,2014-06-26,10派1.6元(含税),447150.8572,1.6,1.52,71544.1372,2014-07-01,2014-07-02,2014-07-02,447150.8572,313002,实施方案
601608.XSHG,300022870,中信重工机械股份有限公司,601608.XSHG,2013-12-31,年度分红,2014-04-10,10派0.58元(含税),274000.0,2014-06-14,10派0.58元(含税),274000.0,2014-06-26,10派0.58元(含税),274000.0,0.58,0.551,15892.0,2014-07-01,2014-07-02,2014-07-02,274000.0,313002,实施方案
601800.XSHG,410001800,中国交通建设股份有限公司,601800.XSHG,2013-12-31,年度分红,2014-03-26,10派1.8762元(含税),1617473.5425,2014-06-19,10派1.8762元(含税),1617473.5425,2014-06-26,10派1.8762元(含税),1617473.5425,1.8762,1.7824,303470.386,2014-07-01,2014-07-02,2014-07-02,1617473.5425,313002,实施方案
