,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000069.XSHE,430000069,深圳华侨城股份有限公司,000069.XSHE,2013-12-31,年度分红,2014-03-13,10派0.7元(含税),727149.8566,2014-04-04,10派0.7元(含税),727149.8566,2014-05-24,10派0.700015元(含税),727134.2722,0.7,0.665,50900.4898,2014-05-29,2014-05-30,2014-05-30,727134.2722,313002,实施方案
002152.XSHE,300003423,广州广电运通金融电子股份有限公司,002152.XSHE,2013-12-31,年度分红,2014-03-29,10送2股派2元(含税),74723.7306,2014-04-23,10送2股派2元(含税),74723.7306,2014-05-23,10送2股派2元(含税),74723.7306,2.0,1.8,14944.7461,2014-05-29,2014-05-30,2014-05-30,74723.7306,313002,实施方案
300058.XSHE,300010147,北京蓝色光标数据科技股份有限公司,300058.XSHE,2013-12-31,年度分红,2014-04-11,10转增10股派2元(含税),47405.2625,2014-05-07,10转增10股派2元(含税),47405.2625,2014-05-23,10转增10股派2元(含税),47405.2625,2.0,1.9,9481.0525,2014-05-29,2014-05-30,2014-05-30,47405.2625,313002,实施方案
300104.XSHE,300013169,乐视网信息技术(北京)股份有限公司,300104.XSHE,2013-12-31,年度分红,2014-03-22,10派0.33元(含税),79846.6298,2014-04-16,10派0.33元(含税),79846.6298,2014-05-24,10派0.314745元(含税),83716.5635,0.3147,0.299,2634.937,2014-05-29,2014-05-30,2014-05-30,83716.5635,313002,实施方案
600050.XSHG,420600050,中国联合网络通信股份有限公司,600050.XSHG,2013-12-31,年度分红,2014-02-28,10派0.534元(含税),2119659.6395,2014-04-17,10派0.534元(含税),2119659.6395,2014-05-20,10派0.534元(含税),2119659.6395,0.534,0.5073,113189.8247,2014-05-26,2014-05-27,2014-05-30,2119659.6395,313002,实施方案
600216.XSHG,420600216,浙江医药股份有限公司,600216.XSHG,2013-12-31,年度分红,2014-03-28,10派1.5元(含税),93610.8,2014-04-19,10派1.5元(含税),93610.8,2014-05-20,10派1.5元(含税),93610.8,1.5,1.425,14041.62,2014-05-23,2014-05-26,2014-05-30,93610.8,313002,实施方案
600432.XSHG,420600432,吉林吉恩镍业股份有限公司,600432.XSHG,2013-12-31,年度分红,2014-04-02,10派0.5元(含税),81112.1542,2014-04-24,10派0.5元(含税),81112.1542,2014-05-15,10派0.5元(含税),81112.1542,0.5,0.475,4055.6077,2014-05-20,2014-05-21,2014-05-30,81112.1542,313002,实施方案
600893.XSHG,420600893,中国航发动力股份有限公司,600893.XSHG,2013-12-31,年度分红,2014-03-28,10派0.83元(含税),108957.3236,2014-04-18,10派0.83元(含税),108957.3236,2014-05-20,10派0.83元(含税),108957.3236,0.83,0.7885,9043.4579,2014-05-23,2014-05-26,2014-05-30,108957.3236,313002,实施方案
600970.XSHG,420600970,中国中材国际工程股份有限公司,600970.XSHG,2013-12-31,年度分红,2014-03-22,10派0.25元(含税),109329.726,2014-04-16,10派0.25元(含税),109329.726,2014-05-20,10派0.25元(含税),109329.726,0.25,0.2375,2733.2432,2014-05-23,2014-05-26,2014-05-30,109329.726,313002,实施方案
601607.XSHG,420600849,上海医药集团股份有限公司,601607.XSHG,2013-12-31,年度分红,2014-03-29,10派2.6元(含税),268891.0538,2014-05-09,10派2.6元(含税),268891.0538,2014-05-20,10派2.6元(含税),268891.0538,2.6,2.47,69911.674,2014-05-23,2014-05-26,2014-05-30,268891.0538,313002,实施方案
