,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000422.XSHE,430000422,湖北宜化化工股份有限公司,000422.XSHE,2014-12-31,年度分红,2015-04-15,10派0.1元(含税),89786.6712,2015-05-08,10派0.1元(含税),89786.6712,2015-06-26,10派0.1元(含税),89786.6712,0.1,0.095,897.8667,2015-07-02,2015-07-03,2015-07-03,89786.6712,313002,实施方案
000651.XSHE,430000651,珠海格力电器股份有限公司,000651.XSHE,2014-12-31,年度分红,2015-04-28,10转增10股派30元(含税),300786.5439,2015-06-02,10转增10股派30元(含税),300786.5439,2015-06-25,10转增10股派30元(含税),300786.5439,30.0,28.5,902359.6317,2015-07-02,2015-07-03,2015-07-03,300786.5439,313002,实施方案
000652.XSHE,430000652,天津泰达股份有限公司,000652.XSHE,2014-12-31,年度分红,2015-03-20,10派0.1元(含税),147557.3852,2015-05-06,10派0.1元(含税),147557.3852,2015-06-26,10派0.1元(含税),147557.3852,0.1,0.095,1475.5739,2015-07-02,2015-07-03,2015-07-03,147557.3852,313002,实施方案
002202.XSHE,300003947,新疆金风科技股份有限公司,002202.XSHE,2014-12-31,年度分红,2015-03-28,10派4元(含税),269458.8,2015-06-10,10派4元(含税),269458.8,2015-06-26,10派4元(含税),269458.8,4.0,3.8,107783.52,2015-07-02,2015-07-03,2015-07-03,269458.8,313002,实施方案
600026.XSHG,420600026,中远海运能源运输股份有限公司,600026.XSHG,2014-12-31,年度分红,2015-03-28,10派0.3元(含税),403203.2861,2015-06-19,10派0.3元(含税),403203.2861,2015-06-26,10派0.3元(含税),403203.2861,0.3,0.285,12096.0986,2015-07-02,2015-07-03,2015-07-03,403203.2861,313002,实施方案
600036.XSHG,420600036,招商银行股份有限公司,600036.XSHG,2014-12-31,年度分红,2015-03-19,10派6.7元(含税),2521984.56,2015-06-20,10派6.7元(含税),2521984.56,2015-06-25,10派6.7元(含税),2521984.56,6.7,6.365,1689729.6552,2015-07-02,2015-07-03,2015-07-03,2521984.56,313002,实施方案
600050.XSHG,420600050,中国联合网络通信股份有限公司,600050.XSHG,2014-12-31,年度分红,2015-03-04,10派0.673元(含税),2119659.6395,2015-05-08,10派0.673元(含税),2119659.6395,2015-06-26,10派0.673元(含税),2119659.6395,0.6729999999999999,0.6394,142653.0937,2015-07-02,2015-07-03,2015-07-03,2119659.6395,313002,实施方案
600108.XSHG,420600108,甘肃亚盛实业(集团)股份有限公司,600108.XSHG,2014-12-31,年度分红,2015-04-24,10派0.15元(含税),194691.5121,2015-06-03,10派0.15元(含税),194691.5121,2015-06-27,10派0.15元(含税),194691.5121,0.15,0.1425,2920.3727,2015-07-02,2015-07-03,2015-07-03,194691.5121,313002,实施方案
600383.XSHG,420600383,金地(集团)股份有限公司,600383.XSHG,2014-12-31,年度分红,2015-03-21,10派1.3元(含税),449146.3472,2015-05-09,10派1.3元(含税),449146.3472,2015-06-26,10派1.3元(含税),449146.3472,1.3,1.235,58389.0251,2015-07-02,2015-07-03,2015-07-03,449146.3472,313002,实施方案
601233.XSHG,300019547,桐昆集团股份有限公司,601233.XSHG,2014-12-31,年度分红,2015-04-14,10派0.35元(含税),96360.0,2015-05-09,10派0.35元(含税),96360.0,2015-06-26,10派0.35元(含税),96360.0,0.35,0.3325,3372.6,2015-07-02,2015-07-03,2015-07-03,96360.0,313002,实施方案
601988.XSHG,450000028,中国银行股份有限公司,601988.XSHG,2014-12-31,年度分红,2015-03-26,10派1.9元(含税),29438779.1241,2015-06-18,10派1.9元(含税),29438779.1241,2015-06-26,10派1.9元(含税),29438779.1241,1.9,1.805,5593368.0336,2015-07-02,2015-07-03,2015-07-03,29438779.1241,313002,实施方案
