,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000538.XSHE,430000538,云南白药集团股份有限公司,000538.XSHE,2017-12-31,年度分红,2018-04-12,10派15元(含税),2018-05-11,10派15元(含税),2018-06-28,10派15元(含税),104139.9718,15.0,15.0,156209.9577,2018-07-05,2018-07-06,2018-07-06,104139.9718,313002,实施方案
000625.XSHE,430000625,重庆长安汽车股份有限公司,000625.XSHE,2017-12-31,年度分红,2018-04-18,10派4.46元(含税),2018-05-19,10派4.46元(含税),2018-06-28,10派4.46元(含税),480264.8511,4.46,4.46,214198.1236,2018-07-05,2018-07-06,2018-07-06,480264.8511,313002,实施方案
000778.XSHE,430000778,新兴铸管股份有限公司,000778.XSHE,2017-12-31,年度分红,2018-04-10,10派1.5元（含税）,2018-05-12,10派1.5元（含税）,2018-06-30,10派1.5元（含税）,399088.0176,1.5,1.5,59863.2026,2018-07-05,2018-07-06,2018-07-06,399088.0176,313002,实施方案
000858.XSHE,430000858,宜宾五粮液股份有限公司,000858.XSHE,2017-12-31,年度分红,2018-04-28,10派13元(含税),2018-06-09,10派13元(含税),2018-06-28,10派13元(含税),388160.8005,13.0,13.0,504609.0407,2018-07-05,2018-07-06,2018-07-06,388160.8005,313002,实施方案
600823.XSHG,420600823,上海世茂股份有限公司,600823.XSHG,2017-12-31,年度分红,2018-03-23,10派0.6元(含税),2018-05-24,10派0.6元(含税),2018-06-29,10派0.6元(含税),375116.8261,0.6,0.6,22507.0096,2018-07-05,2018-07-06,2018-07-06,375116.8261,313002,实施方案
601098.XSHG,300015470,中南出版传媒集团股份有限公司,601098.XSHG,2017-12-31,年度分红,2018-04-24,10派6元(含税),2018-05-18,10派6元(含税),2018-07-02,10派6元(含税),179600.0,6.0,6.0,107760.0,2018-07-05,2018-07-06,2018-07-06,179600.0,313002,实施方案
601788.XSHG,460000085,光大证券股份有限公司,601788.XSHG,2017-12-31,年度分红,2018-03-27,10派2元(含税),2018-05-16,10派2元(含税),2018-06-29,10派2元(含税),461078.7639,2.0,2.0,92215.7528,2018-07-05,2018-07-06,2018-07-06,461078.7639,313002,实施方案
601800.XSHG,410001800,中国交通建设股份有限公司,601800.XSHG,2017-12-31,年度分红,2018-03-30,10派2.419元(含税),2018-06-21,10派2.419元(含税),2018-07-02,10派2.419元(含税),1617473.5425,2.419,2.419,391266.8499,2018-07-05,2018-07-06,2018-07-06,1617473.5425,313002,实施方案
601881.XSHG,460000512,中国银河证券股份有限公司,601881.XSHG,2017-12-31,年度分红,2018-03-29,10派1.2元(含税),2018-06-27,10派1.2元(含税),2018-06-29,10派1.2元(含税),1013725.8757,1.2,1.2,121647.1051,2018-07-05,2018-07-06,2018-07-06,1013725.8757,313002,实施方案
603160.XSHG,300027319,深圳市汇顶科技股份有限公司,603160.XSHG,2017-12-31,年度分红,2018-06-07,10派6元(含税),2018-06-23,10派6元(含税),2018-06-29,10派6元(含税),45691.0757,6.0,6.0,27414.6454,2018-07-05,2018-07-06,2018-07-06,45691.0757,313002,实施方案
603699.XSHG,300022929,苏州纽威阀门股份有限公司,603699.XSHG,2017-12-31,年度分红,2018-04-14,10派1.6元(含税),2018-06-09,10派1.6元(含税),2018-06-30,10派1.6元(含税),75000.0,1.6,1.6,12000.0,2018-07-05,2018-07-06,2018-07-06,75000.0,313002,实施方案
