,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000652.XSHE,430000652,天津泰达股份有限公司,000652.XSHE,2015-12-31,年度分红,2016-03-31,10派0.1元(含税),147557.3852,2016-06-29,10派0.1元(含税),147557.3852,2016-08-24,10派0.1元(含税),147557.3852,0.1,0.1,1475.5739,2016-08-29,2016-08-30,2016-08-30,147557.3852,313002,实施方案
600219.XSHG,420600219,山东南山铝业股份有限公司,600219.XSHG,2015-12-31,年度分红,2016-06-09,10转增15股派1元(含税),283518.4361,2016-07-05,10转增15股派1元(含税),283518.4361,2016-08-23,10转增15股派1元(含税),283518.4361,1.0,1.0,28351.8436,2016-08-29,2016-08-30,2016-08-30,283518.4361,313002,实施方案
