,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000027,44040,430000027,深圳能源集团股份有限公司,000027.XSHE,2017-12-31,年度分红,2018-04-13,10派0.8元（含税）,2018-05-25,10派0.8元（含税）,2018-06-14,10派0.8元（含税）,396449.1597,0.8,0.8,31715.9328,2018-06-21,2018-06-22,2018-06-22,396449.1597,313002,实施方案
000623,44309,430000623,吉林敖东药业集团股份有限公司,000623.XSHE,2017-12-31,年度分红,2018-03-31,10派3元(含税),2018-04-25,10派3元(含税),2018-06-14,10派3元(含税),116276.9962,3.0,3.0,34883.0989,2018-06-21,2018-06-22,2018-06-22,116276.9962,313002,实施方案
000937,44636,430000937,冀中能源股份有限公司,000937.XSHE,2017-12-31,年度分红,2018-04-18,10派1元(含税),2018-05-17,10派1元(含税),2018-06-15,10派1元(含税),353354.685,1.0,1.0,35335.4685,2018-06-21,2018-06-22,2018-06-22,353354.685,313002,实施方案
002304,7004,300008689,江苏洋河酒厂股份有限公司,002304.XSHE,2017-12-31,年度分红,2018-04-27,10派25.5元(含税),2018-05-24,10派25.5元(含税),2018-06-15,10派25.5元(含税),150698.8,25.5,25.5,384281.94,2018-06-21,2018-06-22,2018-06-22,150698.8,313002,实施方案
002673,44857,460000644,西部证券股份有限公司,002673.XSHE,2017-12-31,年度分红,2018-04-20,10派0.7元(含税),2018-05-16,10派0.7元(含税),2018-06-14,10派0.7元(含税),350183.977,0.7,0.7,24512.8784,2018-06-21,2018-06-22,2018-06-22,350183.977,313002,实施方案
300003,6453,300008269,乐普(北京)医疗器械股份有限公司,300003.XSHE,2017-12-31,年度分红,2018-03-13,10派1.27元(含税),2018-04-26,10派1.27元(含税),2018-06-14,10派1.27元(含税),178165.2921,1.27,1.27,22626.9921,2018-06-21,2018-06-22,2018-06-22,178165.2921,313002,实施方案
600061,24088,420600061,国投资本股份有限公司,600061.XSHG,2017-12-31,年度分红,2018-03-31,10派0.62元(含税),2018-04-27,10派0.62元(含税),2018-06-15,10派0.62元(含税),422712.9727,0.62,0.62,26208.2043,2018-06-21,2018-06-22,2018-06-22,422712.9727,313002,实施方案
600125,26583,420600125,中铁铁龙集装箱物流股份有限公司,600125.XSHG,2017-12-31,年度分红,2018-03-30,10派0.8元(含税),2018-05-24,10派0.8元(含税),2018-06-15,10派0.8元(含税),130552.1874,0.8,0.8,10444.175,2018-06-21,2018-06-22,2018-06-22,130552.1874,313002,实施方案
600161,27760,420600161,北京天坛生物制品股份有限公司,600161.XSHG,2017-12-31,年度分红,2018-04-02,10送3股派2元(含税),2018-05-23,10送3股派2元(含税),2018-06-15,10送3股派2元(含税),67010.6928,2.0,2.0,13402.1386,2018-06-21,2018-06-22,2018-06-22,67010.6928,313002,实施方案
600481,36842,420600481,双良节能系统股份有限公司,600481.XSHG,2017-12-31,年度分红,2018-04-25,10派0.5元(含税),2018-06-02,10派0.5元(含税),2018-06-15,10派0.5元(含税),163589.5808,0.5,0.5,8179.479,2018-06-21,2018-06-22,2018-06-22,163589.5808,313002,实施方案
