,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000415.XSHE,430000415,渤海金控投资股份有限公司,000415.XSHE,2016-12-31,年度分红,2017-04-26,10派0.5元(含税),2017-05-17,10派0.5元(含税),2017-07-10,10派0.5元(含税),618452.1282,0.5,0.5,30922.6064,2017-07-13,2017-07-14,2017-07-14,618452.1282,313002,实施方案
000725.XSHE,430000725,京东方科技集团股份有限公司,000725.XSHE,2016-12-31,年度分红,2017-04-25,10派0.3元(含税),2017-06-10,10派0.3元(含税),2017-07-08,10派0.3元(含税),3488594.2533,0.3,0.3,104657.8276,2017-07-13,2017-07-14,2017-07-14,3488594.2533,313002,实施方案
000778.XSHE,430000778,新兴铸管股份有限公司,000778.XSHE,2016-12-31,年度分红,2017-04-25,10派0.3元(含税),2017-05-19,10派0.3元(含税),2017-07-08,10派0.3元(含税),399088.0176,0.3,0.3,11972.6405,2017-07-13,2017-07-14,2017-07-14,399088.0176,313002,实施方案
000999.XSHE,430000999,华润三九医药股份有限公司,000999.XSHE,2016-12-31,年度分红,2017-03-09,10派1.6元(含税),2017-05-23,10派1.6元(含税),2017-07-10,10派1.6元(含税),97890.0,1.6,1.6,15662.4,2017-07-13,2017-07-14,2017-07-14,97890.0,313002,实施方案
002375.XSHE,300011247,浙江亚厦装饰股份有限公司,002375.XSHE,2016-12-31,年度分红,2017-04-28,10派0.4元(含税),2017-05-24,10派0.4元(含税),2017-07-06,10派0.4元(含税),133999.6498,0.4,0.4,5359.986,2017-07-13,2017-07-14,2017-07-14,133999.6498,313002,实施方案
300168.XSHE,300015690,万达信息股份有限公司,300168.XSHE,2016-12-31,年度分红,2017-04-26,10派0.3元(含税),2017-05-17,10派0.3元(含税),2017-07-07,10派0.3元(含税),103108.2642,0.3,0.3,3093.2479,2017-07-13,2017-07-14,2017-07-14,103108.2642,313002,实施方案
600004.XSHG,420600004,广州白云国际机场股份有限公司,600004.XSHG,2016-12-31,年度分红,2017-04-29,10送4.5股派3.7元(含税),2017-05-26,10送4.5股派3.7元(含税),2017-07-08,10送4.5股派3.7元(含税),142711.7596,3.7,3.7,52803.3511,2017-07-13,2017-07-14,2017-07-14,142711.7596,313002,实施方案
600006.XSHG,420600006,东风汽车股份有限公司,600006.XSHG,2016-12-31,年度分红,2017-04-15,10派0.33元(含税),2017-05-19,10派0.33元(含税),2017-07-10,10派0.33元(含税),200000.0,0.33,0.33,6600.0,2017-07-13,2017-07-14,2017-07-14,200000.0,313002,实施方案
600157.XSHG,420600157,永泰能源股份有限公司,600157.XSHG,2016-12-31,年度分红,2017-04-28,10派0.11元(含税),2017-05-19,10派0.11元(含税),2017-07-10,10派0.11元(含税),1242579.5326,0.11,0.11,13668.3749,2017-07-13,2017-07-14,2017-07-14,1242579.5326,313002,实施方案
600188.XSHG,420600188,兖州煤业股份有限公司,600188.XSHG,2016-12-31,年度分红,2017-04-01,10派1.2元(含税),2017-06-30,10派1.2元(含税),2017-07-10,10派1.2元(含税),491201.6,1.2,1.2,58944.192,2017-07-13,2017-07-14,2017-07-14,491201.6,313002,实施方案
