,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002142.XSHE,300003281,宁波银行股份有限公司,002142.XSHE,2010-12-31,年度分红,2011-04-27,10派2元(含税),288382.0529,2011-05-19,10派2元(含税),288382.0529,2011-06-03,10派2元(含税),288382.0529,2.0,57676.4106,2011-06-09,2011-06-10,2011-06-10,288382.0529,313002,实施方案
002450.XSHE,300013433,康得新复合材料集团股份有限公司,002450.XSHE,2010-12-31,年度分红,2011-03-23,10转增10股派0.45元(含税),16160.0,2011-04-16,10转增10股派0.45元(含税),16160.0,2011-06-02,10转增10股派0.45元(含税),16160.0,0.45,727.2,2011-06-09,2011-06-10,2011-06-10,16160.0,313002,实施方案
002500.XSHE,460000279,山西证券股份有限公司,002500.XSHE,2010-12-31,年度分红,2011-04-15,10派1.5元(含税),239980.0,2011-05-07,10派1.5元(含税),239980.0,2011-06-02,10派1.5元(含税),239980.0,1.5,35997.0,2011-06-09,2011-06-10,2011-06-10,239980.0,313002,实施方案
600098.XSHG,420600098,广州发展集团股份有限公司,600098.XSHG,2010-12-31,年度分红,2011-04-20,10派2元(含税),205920.0,2011-05-19,10派2元(含税),205920.0,2011-05-27,10派2元(含税),205920.0,2.0,41184.0,2011-06-02,2011-06-03,2011-06-10,205920.0,313002,实施方案
600221.XSHG,420600221,海南航空控股股份有限公司,600221.XSHG,2010-12-31,年度分红,2011-03-15,10派0.5元(含税),412549.0895,2011-04-13,10派0.5元(含税),412549.0895,2011-05-23,10派0.5元(含税),412549.0895,0.5,20627.4545,2011-05-26,2011-05-27,2011-06-10,412549.0895,313002,实施方案
600549.XSHG,420600549,厦门钨业股份有限公司,600549.XSHG,2010-12-31,年度分红,2011-03-25,10派2元(含税),68198.0,2011-04-16,10派2元(含税),68198.0,2011-05-31,10派2元(含税),68198.0,2.0,13639.6,2011-06-03,2011-06-07,2011-06-10,68198.0,313002,实施方案
600779.XSHG,420600779,四川水井坊股份有限公司,600779.XSHG,2010-12-31,年度分红,2011-04-28,10派2.3元(含税),48854.5698,2011-05-19,10派2.3元(含税),48854.5698,2011-05-27,10派2.3元(含税),48854.5698,2.3,11236.5511,2011-06-03,2011-06-07,2011-06-10,48854.5698,313002,实施方案
601158.XSHG,300011267,重庆水务集团股份有限公司,601158.XSHG,2010-12-31,年度分红,2011-03-30,10派1.88元(含税),480000.0,2011-04-26,10派1.88元(含税),480000.0,2011-05-31,10派1.88元(含税),480000.0,1.88,90240.0,2011-06-03,2011-06-07,2011-06-10,480000.0,313002,实施方案
601668.XSHG,300005970,中国建筑股份有限公司,601668.XSHG,2010-12-31,年度分红,2011-04-21,10派0.62元(含税),3000000.0,2011-05-13,10派0.62元(含税),3000000.0,2011-05-27,10派0.62元(含税),3000000.0,0.62,186000.0,2011-06-02,2011-06-03,2011-06-10,3000000.0,313002,实施方案
601788.XSHG,460000085,光大证券股份有限公司,601788.XSHG,2010-12-31,年度分红,2011-04-23,10派4.5元(含税),341800.0,2011-05-14,10派4.5元(含税),341800.0,2011-05-30,10派4.5元(含税),341800.0,4.5,153810.0,2011-06-02,2011-06-03,2011-06-10,341800.0,313002,实施方案
601877.XSHG,300010254,浙江正泰电器股份有限公司,601877.XSHG,2010-12-31,年度分红,2011-04-20,10派4元(含税),100500.0,2011-05-24,10派4元(含税),100500.0,2011-05-31,10派4元(含税),100500.0,4.0,40200.0,2011-06-03,2011-06-07,2011-06-10,100500.0,313002,实施方案
