,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000059,144710,430000059,北方华锦化学工业股份有限公司,000059.XSHE,2016-12-31,年度分红,2017-04-18,10派2.24元(含税),159944.2537,2017-05-11,10派2.24元(含税),159944.2537,2017-06-09,10派2.24元(含税),159944.2537,2.24,2.24,35827.5128,2017-06-15,2017-06-16,2017-06-16,159944.2537,313002,实施方案
000166,164426,460000301,申万宏源集团股份有限公司,000166.XSHE,2016-12-31,年度分红,2017-03-30,10派1元(含税),2005660.5718,2017-04-20,10派1元(含税),2005660.5718,2017-06-09,10派1元(含税),2005660.5718,1.0,1.0,200566.0572,2017-06-15,2017-06-16,2017-06-16,2005660.5718,313002,实施方案
000402,145767,430000402,金融街控股股份有限公司,000402.XSHE,2016-12-31,年度分红,2017-03-28,10派4元(含税),298892.9907,2017-04-19,10派4元(含税),298892.9907,2017-06-09,10派4元(含税),298892.9907,4.0,4.0,119557.1963,2017-06-15,2017-06-16,2017-06-16,298892.9907,313002,实施方案
000723,154694,430000723,山西美锦能源股份有限公司,000723.XSHE,2016-12-31,年度分红,2017-04-21,10转增8股派1元(含税),228107.33899999998,2017-05-26,10转增8股派1元(含税),228107.33899999998,2017-06-12,10转增8股派1元(含税),228107.33899999998,1.0,1.0,22810.7339,2017-06-15,2017-06-16,2017-06-16,228107.33899999998,313002,实施方案
000768,155923,430000768,中航飞机股份有限公司,000768.XSHE,2016-12-31,年度分红,2017-03-14,10派0.5元(含税),276864.5071,2017-04-22,10派0.5元(含税),276864.5071,2017-06-10,10派0.5元(含税),276864.5071,0.5,0.5,13843.2254,2017-06-15,2017-06-16,2017-06-16,276864.5071,313002,实施方案
002106,1526,300001921,深圳莱宝高科技股份有限公司,002106.XSHE,2016-12-31,年度分红,2017-03-31,10派1元(含税),70581.616,2017-04-21,10派1元(含税),70581.616,2017-06-10,10派1元(含税),70581.616,1.0,1.0,7058.1616,2017-06-15,2017-06-16,2017-06-16,70581.616,313002,实施方案
002304,7002,300008689,江苏洋河酒厂股份有限公司,002304.XSHE,2016-12-31,年度分红,2017-04-28,10派21元(含税),150698.8,2017-05-20,10派21元(含税),150698.8,2017-06-10,10派21元(含税),150698.8,21.0,21.0,316467.48,2017-06-15,2017-06-16,2017-06-16,150698.8,313002,实施方案
002673,164454,460000644,西部证券股份有限公司,002673.XSHE,2016-12-31,年度分红,2017-04-26,10派1.1元(含税),350183.977,2017-05-18,10派1.1元(含税),350183.977,2017-06-09,10派1.1元(含税),350183.977,1.1,1.1,38520.2375,2017-06-15,2017-06-16,2017-06-16,350183.977,313002,实施方案
300003,6451,300008269,乐普(北京)医疗器械股份有限公司,300003.XSHE,2016-12-31,年度分红,2017-03-31,10派0.98元(含税),178165.2921,2017-04-21,10派0.98元(含税),178165.2921,2017-06-09,10派0.98元(含税),178165.2921,0.98,0.98,17460.1986,2017-06-15,2017-06-16,2017-06-16,178165.2921,313002,实施方案
300251,15751,300020527,北京光线传媒股份有限公司,300251.XSHE,2016-12-31,年度分红,2017-04-21,10派0.4元(含税),293360.8432,2017-05-12,10派0.4元(含税),293360.8432,2017-06-09,10派0.4元(含税),293360.8432,0.4,0.4,11734.4337,2017-06-15,2017-06-16,2017-06-16,293360.8432,313002,实施方案
