,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,plan_progress_code,plan_progress
300133,11202,300013428,浙江华策影视股份有限公司,300133.XSHE,2014-12-31,年度分红,2015-03-18,10转增5股派0.6元(含税),65287.1758,2015-04-08,10转增5股派0.6元(含税),65287.1758,2015-04-25,10转增5股派0.6元(含税),65287.1758,0.6,0.57,3917.2305,2015-04-30,2015-05-04,2015-05-04,2015-05-04,65287.1758,97930.7637,45378.9448,68068.4172,313002,实施方案
600340,33609,420600340,华夏幸福基业股份有限公司,600340.XSHG,2014-12-31,年度分红,2015-03-26,10送10股派8元(含税),132287.9715,2015-04-17,10送10股派8元(含税),132287.9715,2015-04-24,10送10股派8元(含税),132287.9715,8.0,7.1,105830.3772,2015-04-30,2015-05-04,2015-05-04,2015-05-05,132287.9715,264575.943,132287.9715,264575.943,313002,实施方案
