,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,transfer_ratio,bonus_ratio_rmb,transfer_number,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,a_transfer_arrival_date,plan_progress_code,plan_progress
002155.XSHE,300003428,湖南黄金股份有限公司,002155.XSHE,2011-12-31,年度分红,2012-03-27,10转增4股派1.5元(含税),54740.0,2012-04-19,10转增4股派1.5元(含税),54740.0,2012-05-29,10转增4股派1.5元(含税),54740.0,4.0,1.5,21896.0,8211.0,2012-06-04,2012-06-05,2012-06-05,2012-06-05,54740.0,76636.0,54726.6457,76617.304,2012-06-05,313002,实施方案
600176.XSHG,420600176,中国巨石股份有限公司,600176.XSHG,2011-12-31,年度分红,2012-03-19,10转增5股派1.38元(含税),58175.3,2012-04-28,10转增5股派1.38元(含税),58175.3,2012-05-25,10转增5股派1.38元(含税),58175.3,5.0,1.38,29087.65,8028.1914,2012-05-30,2012-05-31,2012-06-05,2012-06-01,58175.3,87262.95,42739.2,64108.8,2012-05-31,313002,实施方案
