,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000046.XSHE,430000046,泛海控股股份有限公司,000046.XSHE,2017-12-31,年度分红,2018-04-28,10派1.5元(含税),2018-05-19,10派1.5元(含税),2018-07-11,10派1.5元(含税),519620.0656,1.5,1.5,77943.0098,2018-07-16,2018-07-17,2018-07-17,519620.0656,313002,实施方案
000783.XSHE,430000783,长江证券股份有限公司,000783.XSHE,2017-12-31,年度分红,2018-04-26,10派1.5元(含税),2018-05-22,10派1.5元(含税),2018-07-10,10派1.5元(含税),552946.7678,1.5,1.5,82942.0152,2018-07-16,2018-07-17,2018-07-17,552946.7678,313002,实施方案
000793.XSHE,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2017-12-31,年度分红,2018-04-28,10派0.15元(含税),2018-05-22,10派0.15元(含税),2018-07-10,10派0.15元(含税),200129.474,0.15,0.15,3001.9421,2018-07-16,2018-07-17,2018-07-17,200129.474,313002,实施方案
002475.XSHE,300014448,立讯精密工业股份有限公司,002475.XSHE,2017-12-31,年度分红,2018-04-20,10转增3股派0.6元(含税),2018-05-23,10转增3股派0.6元(含税),2018-07-10,10转增3股派0.6元(含税),317296.2197,0.6,0.6,19037.7732,2018-07-16,2018-07-17,2018-07-17,317296.2197,313002,实施方案
600104.XSHG,420600104,上海汽车集团股份有限公司,600104.XSHG,2017-12-31,年度分红,2018-03-30,10派18.3元(含税),2018-06-27,10派18.3元(含税),2018-07-10,10派18.3元(含税),1168346.1365,18.3,18.3,2138073.4298,2018-07-16,2018-07-17,2018-07-17,1168346.1365,313002,实施方案
600674.XSHG,420600674,四川川投能源股份有限公司,600674.XSHG,2017-12-31,年度分红,2018-04-28,10派2.75元(含税),2018-05-19,10派2.75元(含税),2018-07-09,10派2.75元(含税),440214.04799999995,2.75,2.75,121058.8632,2018-07-16,2018-07-17,2018-07-17,440214.04799999995,313002,实施方案
600688.XSHG,420600688,中国石化上海石油化工股份有限公司,600688.XSHG,2017-12-31,年度分红,2018-03-21,10派3元(含税),2018-06-14,10派3元(含税),2018-07-11,10派3元(含税),1082381.35,3.0,3.0,324714.405,2018-07-16,2018-07-17,2018-07-17,1082381.35,313002,实施方案
601228.XSHG,300029141,广州港股份有限公司,601228.XSHG,2017-12-31,年度分红,2018-04-28,10派0.34元(含税),2018-05-25,10派0.34元(含税),2018-07-11,10派0.34元(含税),619318.0,0.34,0.34,21056.812,2018-07-16,2018-07-17,2018-07-17,619318.0,313002,实施方案
601229.XSHG,300010207,上海银行股份有限公司,601229.XSHG,2017-12-31,年度分红,2018-04-21,10转增4股派5元(含税),2018-06-23,10转增4股派5元(含税),2018-07-09,10转增4股派5元(含税),780578.5,5.0,5.0,390289.25,2018-07-16,2018-07-17,2018-07-17,780578.5,313002,实施方案
601611.XSHG,300028774,中国核工业建设股份有限公司,601611.XSHG,2017-12-31,年度分红,2018-04-26,10派0.5元(含税),2018-05-29,10派0.5元(含税),2018-07-09,10派0.5元(含税),262500.0,0.5,0.5,13125.0,2018-07-16,2018-07-17,2018-07-17,262500.0,313002,实施方案
601618.XSHG,300008087,中国冶金科工股份有限公司,601618.XSHG,2017-12-31,年度分红,2018-03-30,10派0.68元(含税),2018-06-27,10派0.68元(含税),2018-07-09,10派0.68元(含税),2072361.917,0.68,0.68,140920.6104,2018-07-16,2018-07-17,2018-07-17,2072361.917,313002,实施方案
601939.XSHG,300003682,中国建设银行股份有限公司,601939.XSHG,2017-12-31,年度分红,2018-03-28,10派2.91元(含税),2018-06-30,10派2.91元(含税),2018-07-10,10派2.91元(含税),25001097.7486,2.91,2.91,7275319.4448,2018-07-16,2018-07-17,2018-07-17,25001097.7486,313002,实施方案
