,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000338.XSHE,300002961,潍柴动力股份有限公司,000338.XSHE,2010-12-31,年度分红,2011-03-31,10派4.3元(含税),166609.1366,2011-05-19,10派4.3元(含税),166609.1366,2011-07-01,10派4.3元(含税),166609.1366,4.3,71641.9287,2011-07-07,2011-07-08,2011-07-08,166609.1366,313002,实施方案
000400.XSHE,430000400,许继电气股份有限公司,000400.XSHE,2010-12-31,年度分红,2011-03-25,10派1元(含税),37827.2,2011-05-21,10派1元(含税),37827.2,2011-07-01,10派1元(含税),37827.2,1.0,3782.72,2011-07-07,2011-07-08,2011-07-08,37827.2,313002,实施方案
000539.XSHE,430000539,广东电力发展股份有限公司,000539.XSHE,2010-12-31,年度分红,2011-03-10,10派1元(含税),279745.1138,2011-05-19,10派1元(含税),279745.1138,2011-07-01,10派1元(含税),279745.1138,1.0,27974.5114,2011-07-07,2011-07-08,2011-07-08,279745.1138,313002,实施方案
000568.XSHE,430000568,泸州老窖股份有限公司,000568.XSHE,2010-12-31,年度分红,2011-03-26,10派10元(含税),139423.9476,2011-06-11,10派10元(含税),139423.9476,2011-07-02,10派10元(含税),139423.9476,10.0,139423.9476,2011-07-07,2011-07-08,2011-07-08,139423.9476,313002,实施方案
600062.XSHG,420600062,华润双鹤药业股份有限公司,600062.XSHG,2010-12-31,年度分红,2011-03-10,10派2.3元(含税),57169.5948,2011-05-21,10派2.3元(含税),57169.5948,2011-06-28,10派2.3元(含税),57169.5948,2.3,13149.0068,2011-07-01,2011-07-04,2011-07-08,57169.5948,313002,实施方案
600096.XSHG,420600096,云南云天化股份有限公司,600096.XSHG,2010-12-31,年度分红,2011-03-22,10派2元(含税),69363.451,2011-06-09,10派2元(含税),69363.451,2011-06-24,10派2元(含税),69363.451,2.0,13872.6902,2011-07-01,2011-07-04,2011-07-08,69363.451,313002,实施方案
600208.XSHG,420600208,新湖中宝股份有限公司,600208.XSHG,2010-12-31,年度分红,2011-04-13,10送2股派0.25元(含税),513348.3639,2011-05-06,10送2股派0.25元(含税),513348.3639,2011-06-24,10送2股派0.25元(含税),513348.3639,0.25,12833.7091,2011-06-30,2011-07-01,2011-07-08,513348.3639,313002,实施方案
600210.XSHG,420600210,上海紫江企业集团股份有限公司,600210.XSHG,2010-12-31,年度分红,2011-04-15,10派2元(含税),143673.6158,2011-05-11,10派2元(含税),143673.6158,2011-06-27,10派2元(含税),143673.6158,2.0,28734.7232,2011-06-30,2011-07-01,2011-07-08,143673.6158,313002,实施方案
600598.XSHG,420600598,黑龙江北大荒农业股份有限公司,600598.XSHG,2010-12-31,年度分红,2011-04-21,10派1.55元(含税),177767.9909,2011-05-12,10派1.55元(含税),177767.9909,2011-06-27,10派1.55元(含税),177767.9909,1.55,27554.0386,2011-06-30,2011-07-01,2011-07-08,177767.9909,313002,实施方案
600655.XSHG,420600655,上海豫园旅游商城股份有限公司,600655.XSHG,2010-12-31,年度分红,2011-04-18,10派0.5元(含税),143732.1976,2011-05-19,10派0.5元(含税),143732.1976,2011-06-28,10派0.5元(含税),143732.1976,0.5,7186.6099,2011-07-01,2011-07-04,2011-07-08,143732.1976,313002,实施方案
600886.XSHG,420600886,国投电力控股股份有限公司,600886.XSHG,2010-12-31,年度分红,2011-04-20,10派0.25元(含税),199510.1102,2011-05-14,10派0.25元(含税),199510.1102,2011-06-28,10派0.25元(含税),199510.1102,0.25,4987.7528,2011-07-01,2011-07-04,2011-07-08,199510.1102,313002,实施方案
601101.XSHG,300010887,北京昊华能源股份有限公司,601101.XSHG,2010-12-31,年度分红,2011-03-29,10送12.0264股派7元(含税),45400.0,2011-05-31,10送12.0264股派7元(含税),45400.0,2011-06-28,10送12.0264股派7元(含税),45400.0,7.0,31780.0,2011-07-01,2011-07-04,2011-07-08,45400.0,313002,实施方案
601398.XSHG,450000019,中国工商银行股份有限公司,601398.XSHG,2010-12-31,年度分红,2011-03-31,10派1.84元(含税),34901937.605,2011-06-01,10派1.84元(含税),34901937.605,2011-06-08,10派1.84元(含税),34901937.605,1.84,6421956.5193,2011-06-14,2011-06-15,2011-07-08,34901937.605,313002,实施方案
601899.XSHG,300004143,紫金矿业集团股份有限公司,601899.XSHG,2010-12-31,年度分红,2011-03-31,10转增5股派1元(含税),1454130.91,2011-05-31,10转增5股派1元(含税),1454130.91,2011-06-27,10转增5股派1元(含税),1454130.91,1.0,145413.091,2011-07-01,2011-07-04,2011-07-08,1454130.91,313002,实施方案
