,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,bonus_ratio_rmb,at_bonus_ratio_rmb,a_registration_date,a_xr_date,a_bonus_date,plan_progress_code,plan_progress
000869,158630,430000869,烟台张裕葡萄酿酒股份有限公司,000869.XSHE,2013-12-31,年度分红,2014-04-26,10派5元(含税),2014-05-24,10派5元(含税),2014-07-05,10派5元(含税),5.0,4.75,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
000999,162274,430000999,华润三九医药股份有限公司,000999.XSHE,2013-12-31,年度分红,2014-03-08,10派2.6元(含税),2014-05-24,10派2.6元(含税),2014-07-07,10派2.6元(含税),2.6,2.47,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
002142,2642,300003281,宁波银行股份有限公司,002142.XSHE,2013-12-31,年度分红,2014-04-26,10派4元(含税),2014-05-19,10派4元(含税),2014-07-05,10派4元(含税),4.0,3.8,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
600036,23494,420600036,招商银行股份有限公司,600036.XSHG,2013-12-31,年度分红,2014-03-29,10派6.2元(含税),2014-07-01,10派6.2元(含税),2014-07-03,10派6.2元(含税),6.2,6.2,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
600269,31368,420600269,江西赣粤高速公路股份有限公司,600269.XSHG,2013-12-31,年度分红,2014-04-01,10派0.85元(含税),2014-05-17,10派0.85元(含税),2014-07-03,10派0.85元(含税),0.85,0.8075,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
600316,32847,420600316,江西洪都航空工业股份有限公司,600316.XSHG,2013-12-31,年度分红,2014-03-26,10派0.4元(含税),2014-05-16,10派0.4元(含税),2014-07-05,10派0.4元(含税),0.4,0.38,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
600415,35547,420600415,浙江中国小商品城集团股份有限公司,600415.XSHG,2013-12-31,年度分红,2014-04-19,10派1元(含税),2014-05-13,10派1元(含税),2014-07-07,10派1元(含税),1.0,0.95,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
600859,139653,420600859,王府井集团股份有限公司,600859.XSHG,2013-12-31,年度分红,2014-03-22,10派5元(含税),2014-06-21,10派5元(含税),2014-07-07,10派5元(含税),5.0,4.75,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
600900,141339,420600900,中国长江电力股份有限公司,600900.XSHG,2013-12-31,年度分红,2014-04-30,10派2.8042元(含税),2014-05-22,10派2.8042元(含税),2014-07-04,10派2.8042元(含税),2.8042,2.6639999999999997,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
601225,19327,300023204,陕西煤业股份有限公司,601225.XSHG,2013-12-31,年度分红,2014-04-25,10派1.2元(含税),2014-05-16,10派1.2元(含税),2014-07-04,10派1.2元(含税),1.2,1.14,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
601328,2399,300002841,交通银行股份有限公司,601328.XSHG,2013-12-31,年度分红,2014-03-31,10派2.6元(含税),2014-06-26,10派2.6元(含税),2014-07-04,10派2.6元(含税),2.6,2.47,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
601666,898,300001301,平顶山天安煤业股份有限公司,601666.XSHG,2013-12-31,年度分红,2014-04-22,10派0.85元(含税),2014-05-17,10派0.85元(含税),2014-07-05,10派0.85元(含税),0.85,0.8075,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
601718,11624,300013870,际华集团股份有限公司,601718.XSHG,2013-12-31,年度分红,2014-04-22,10派0.38元(含税),2014-05-24,10派0.38元(含税),2014-07-05,10派0.38元(含税),0.38,0.361,2014-07-10,2014-07-11,2014-07-11,313002,实施方案
