,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000400,145677,430000400,许继电气股份有限公司,000400.XSHE,2013-12-31,年度分红,2014-03-28,10送3转增2股派1元(含税),67221.8206,2014-05-16,10送3转增2股派1元(含税),67221.8206,2014-06-11,10送3转增2股派1元(含税),67221.8206,1.0,0.8,6722.1821,2014-06-16,2014-06-17,2014-06-17,67221.8206,313002,实施方案
000793,156576,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2013-12-31,年度分红,2014-03-15,10派0.4元(含税),184626.2977,2014-04-26,10派0.4元(含税),184626.2977,2014-06-10,10派0.4元(含税),184626.2977,0.4,0.38,7385.0519,2014-06-16,2014-06-17,2014-06-17,184626.2977,313002,实施方案
002155,2958,300003428,湖南黄金股份有限公司,002155.XSHE,2013-12-31,年度分红,2014-03-11,10派0.5元(含税),99626.8,2014-04-19,10派0.5元(含税),99626.8,2014-06-10,10派0.5元(含税),99626.8,0.5,0.475,4981.34,2014-06-16,2014-06-17,2014-06-17,99626.8,313002,实施方案
300070,9149,300011168,北京碧水源科技股份有限公司,300070.XSHE,2013-12-31,年度分红,2014-03-28,10转增2股派0.71元(含税),89144.8317,2014-04-24,10转增2股派0.71元(含税),89144.8317,2014-06-10,10转增1.998590股派0.709499元(含税),89207.68699999999,0.7095,0.674,6329.2765,2014-06-16,2014-06-17,2014-06-17,89207.68699999999,313002,实施方案
300133,11200,300013428,浙江华策影视股份有限公司,300133.XSHE,2013-12-31,年度分红,2014-04-23,10派0.4元(含税),64684.8318,2014-05-14,10派0.4元(含税),64684.8318,2014-06-09,10派0.4元(含税),64684.8318,0.4,0.38,2587.3933,2014-06-16,2014-06-17,2014-06-17,64684.8318,313002,实施方案
600027,23270,420600027,华电国际电力股份有限公司,600027.XSHG,2013-12-31,年度分红,2014-03-22,10派2.25元(含税),737108.42,2014-05-31,10派2.25元(含税),737108.42,2014-06-10,10派2.25元(含税),737108.42,2.25,2.1375,165849.3945,2014-06-16,2014-06-17,2014-06-17,737108.42,313002,实施方案
600170,28069,420600170,上海建工集团股份有限公司,600170.XSHG,2013-12-31,年度分红,2014-03-19,10转增3股派2元(含税),277526.7568,2014-05-21,10转增3股派2元(含税),277526.7568,2014-06-10,10转增3股派2元(含税),277526.7568,2.0,1.9,55505.3514,2014-06-16,2014-06-17,2014-06-17,277526.7568,313002,实施方案
600438,36041,420600438,通威股份有限公司,600438.XSHG,2013-12-31,年度分红,2014-04-15,10派3元(含税),81710.9632,2014-05-21,10派3元(含税),81710.9632,2014-06-11,10派3元(含税),81710.9632,3.0,2.85,24513.289,2014-06-16,2014-06-17,2014-06-17,81710.9632,313002,实施方案
600583,39657,420600583,海洋石油工程股份有限公司,600583.XSHG,2013-12-31,年度分红,2014-03-18,10派1元(含税),442135.48,2014-04-24,10派1元(含税),442135.48,2014-06-10,10派1元(含税),442135.48,1.0,0.95,44213.547999999995,2014-06-16,2014-06-17,2014-06-17,442135.48,313002,实施方案
600635,130477,420600635,上海大众公用事业(集团)股份有限公司,600635.XSHG,2013-12-31,年度分红,2014-03-29,10派0.7元(含税),164486.9783,2014-04-30,10派0.7元(含税),164486.9783,2014-06-11,10派0.7元(含税),164486.9783,0.7,0.665,11514.0885,2014-06-16,2014-06-17,2014-06-17,164486.9783,313002,实施方案
600675,132117,420600675,中华企业股份有限公司,600675.XSHG,2013-12-31,年度分红,2014-03-12,10送2股派1元(含税),155588.2832,2014-04-24,10送2股派1元(含税),155588.2832,2014-06-11,10送2股派1元(含税),155588.2832,1.0,0.85,15558.8283,2014-06-16,2014-06-17,2014-06-17,155588.2832,313002,实施方案
600694,132955,420600694,大商股份有限公司,600694.XSHG,2013-12-31,年度分红,2014-04-10,10派12.2元(含税),29371.8653,2014-05-01,10派12.2元(含税),29371.8653,2014-06-11,10派12.2元(含税),29371.8653,12.2,11.59,35833.6757,2014-06-16,2014-06-17,2014-06-17,29371.8653,313002,实施方案
600837,138762,420600837,海通证券股份有限公司,600837.XSHG,2013-12-31,年度分红,2014-03-29,10派1.2元(含税),958472.118,2014-05-28,10派1.2元(含税),958472.118,2014-06-11,10派1.2元(含税),958472.118,1.2,1.14,115016.6542,2014-06-16,2014-06-17,2014-06-17,958472.118,313002,实施方案
601377,164345,460000076,兴业证券股份有限公司,601377.XSHG,2013-12-31,年度分红,2014-04-10,10派0.8元(含税),260000.0,2014-05-29,10派0.8元(含税),260000.0,2014-06-11,10派0.8元(含税),260000.0,0.8,0.76,20800.0,2014-06-16,2014-06-17,2014-06-17,260000.0,313002,实施方案
601668,5839,300005970,中国建筑股份有限公司,601668.XSHG,2013-12-31,年度分红,2014-04-24,10派1.43元(含税),3000000.0,2014-05-20,10派1.43元(含税),3000000.0,2014-06-11,10派1.43元(含税),3000000.0,1.43,1.3585,429000.0,2014-06-16,2014-06-17,2014-06-17,3000000.0,313002,实施方案
601788,164362,460000085,光大证券股份有限公司,601788.XSHG,2013-12-31,年度分红,2014-03-26,10派0.2元(含税),341800.0,2014-04-26,10派0.2元(含税),341800.0,2014-06-11,10派0.2元(含税),341800.0,0.2,0.19,6836.0,2014-06-16,2014-06-17,2014-06-17,341800.0,313002,实施方案
