,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,transfer_ratio,bonus_ratio_rmb,at_bonus_ratio_rmb,transfer_number,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,a_transfer_arrival_date,plan_progress_code,plan_progress
002153,2920,300003424,北京中长石基信息技术股份有限公司,002153.XSHE,2015-12-31,年度分红,2016-03-31,10转增20股派1.2元(含税),35559.6251,2016-04-22,10转增20股派1.2元(含税),35559.6251,2016-05-05,10转增20股派1.2元(含税),35559.6251,20.0,1.2,1.2,71119.2502,4267.155,2016-05-10,2016-05-11,2016-05-11,2016-05-11,35559.6251,106678.8753,16305.3555,48916.0665,2016-05-11,313002,实施方案
002385,9557,300011648,北京大北农科技集团股份有限公司,002385.XSHE,2015-12-31,年度分红,2016-04-09,10转增5股派0.8元(含税),273377.9415,2016-04-30,10转增5股派0.8元(含税),273377.9415,2016-05-05,10转增5股派0.8元(含税),273377.9415,5.0,0.8,0.8,136688.9707,21870.2353,2016-05-10,2016-05-11,2016-05-11,2016-05-11,273377.9415,410066.9122,158813.3616,238220.0424,2016-05-11,313002,实施方案
