,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002007,162542,430002007,华兰生物工程股份有限公司,002007.XSHE,2012-12-31,年度分红,2013-03-26,10派1元(含税),2013-04-25,10派1元(含税),2013-06-18,10派1元(含税),57620.48,1.0,0.95,5762.048000000001,2013-06-21,2013-06-24,2013-06-24,57620.48,313002,实施方案
002558,14397,300018280,巨人网络集团股份有限公司,002558.XSHE,2012-12-31,年度分红,2013-04-09,10派1元(含税),2013-05-14,10派1元(含税),2013-06-18,10派1元(含税),5950.0,1.0,0.95,595.0,2013-06-21,2013-06-24,2013-06-24,5950.0,313002,实施方案
600019,23123,420600019,宝山钢铁股份有限公司,600019.XSHG,2012-12-31,年度分红,2013-03-30,向在派息公告中确认的股权登记日在册的全体股东派发现金股利总额为2278400000.00元(含税),2013-04-27,向在派息公告中确认的股权登记日在册的全体股东派发现金股利总额为2278400000.00元(含税),2013-06-07,10股派1.3832元（含税）,1647172.4924,1.3832,1.314,227836.8991,2013-06-17,2013-06-18,2013-06-24,1647172.4924,313002,实施方案
600373,34486,420600373,中文天地出版传媒股份有限公司,600373.XSHG,2012-12-31,年度分红,2013-04-03,10派1元(含税),2013-05-08,10派1元(含税),2013-06-13,10派1元(含税),65871.1953,1.0,0.95,6587.1195,2013-06-18,2013-06-19,2013-06-24,65871.1953,313002,实施方案
600649,131063,420600649,上海城投控股股份有限公司,600649.XSHG,2012-12-31,年度分红,2013-03-30,10派1.5元(含税),2013-05-08,10派1.5元(含税),2013-06-07,10派1.5元(含税),298752.3518,1.5,1.425,44812.8528,2013-06-17,2013-06-18,2013-06-24,298752.3518,313002,实施方案
600694,132953,420600694,大商股份有限公司,600694.XSHG,2012-12-31,年度分红,2013-04-03,10派10元(含税),2013-04-25,10派10元(含税),2013-06-13,10派10元(含税),29371.8653,10.0,9.5,29371.8653,2013-06-18,2013-06-19,2013-06-24,29371.8653,313002,实施方案
600783,136567,420600783,鲁信创业投资集团股份有限公司,600783.XSHG,2012-12-31,年度分红,2013-04-27,10派1.5元(含税),2013-05-18,10派1.5元(含税),2013-06-13,10派1.5元(含税),74435.9294,1.5,1.425,11165.3894,2013-06-18,2013-06-19,2013-06-24,74435.9294,313002,实施方案
601107,6035,300007387,四川成渝高速公路股份有限公司,601107.XSHG,2012-12-31,年度分红,2013-03-29,10派0.8元(含税),2013-05-29,10派0.8元(含税),2013-06-06,10派0.8元(含税),305806.0,0.8,0.76,24464.48,2013-06-14,2013-06-17,2013-06-24,305806.0,313002,实施方案
601118,5810,300005902,海南天然橡胶产业集团股份有限公司,601118.XSHG,2012-12-31,年度分红,2013-04-26,10派0.5元(含税),2013-05-25,10派0.5元(含税),2013-06-13,10派0.5元(含税),393117.16,0.5,0.475,19655.858,2013-06-18,2013-06-19,2013-06-24,393117.16,313002,实施方案
601808,3419,300003692,中海油田服务股份有限公司,601808.XSHG,2012-12-31,年度分红,2013-03-23,10派3.1元(含税),2013-05-25,10派3.1元(含税),2013-06-04,10派3.1元(含税),449532.0,3.1,2.945,139354.92,2013-06-07,2013-06-13,2013-06-24,449532.0,313002,实施方案
