,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000002.XSHE,430000002,万科企业股份有限公司,000002.XSHE,2017-12-31,年度分红,2018-03-27,10派9元（含税）,2018-06-30,10派9元（含税）,2018-08-16,10派9元（含税）,972419.6533,9.0,9.0,875177.688,2018-08-22,2018-08-23,2018-08-23,1103915.2001,313002,实施方案
600009.XSHG,420600009,上海国际机场股份有限公司,600009.XSHG,2017-12-31,年度分红,2018-03-24,10派5.8元(含税),2018-06-29,10派5.8元(含税),2018-08-17,10派5.8元(含税),192695.8448,5.8,5.8,111763.59,2018-08-22,2018-08-23,2018-08-23,192695.8448,313002,实施方案
