,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000063.XSHE,430000063,中兴通讯股份有限公司,000063.XSHE,2015-12-31,年度分红,2016-04-07,10派2.5元(含税),415426.2354,2016-06-03,10派2.5元(含税),415426.2354,2016-07-09,10派2.5元(含税),415426.2354,2.5,2.5,103856.5589,2016-07-14,2016-07-15,2016-07-15,415426.2354,313002,实施方案
000422.XSHE,430000422,湖北宜化化工股份有限公司,000422.XSHE,2015-12-31,年度分红,2016-04-26,10派0.1元(含税),89786.6712,2016-05-21,10派0.1元(含税),89786.6712,2016-07-07,10派0.1元(含税),89786.6712,0.1,0.1,897.8667,2016-07-14,2016-07-15,2016-07-15,89786.6712,313002,实施方案
000792.XSHE,430000792,青海盐湖工业股份有限公司,000792.XSHE,2015-12-31,年度分红,2016-04-20,10派0.31元(含税),185739.3734,2016-05-20,10派0.31元(含税),185739.3734,2016-07-11,10派0.31元(含税),185739.3734,0.31,0.31,5757.9206,2016-07-14,2016-07-15,2016-07-15,185739.3734,313002,实施方案
000800.XSHE,430000800,一汽轿车股份有限公司,000800.XSHE,2015-12-31,年度分红,2016-04-01,10派0.43元(含税),162750.0,2016-06-28,10派0.43元(含税),162750.0,2016-07-09,10派0.43元(含税),162750.0,0.43,0.43,6998.25,2016-07-14,2016-07-15,2016-07-15,162750.0,313002,实施方案
000999.XSHE,430000999,华润三九医药股份有限公司,000999.XSHE,2015-12-31,年度分红,2016-03-10,10派1.5元(含税),97890.0,2016-05-24,10派1.5元(含税),97890.0,2016-07-08,10派1.5元(含税),97890.0,1.5,1.5,14683.5,2016-07-14,2016-07-15,2016-07-15,97890.0,313002,实施方案
300182.XSHE,300016769,北京捷成世纪科技股份有限公司,300182.XSHE,2015-12-31,年度分红,2016-04-23,10转增5股派0.9元(含税),170739.8996,2016-05-27,10转增5股派0.9元(含税),170739.8996,2016-07-11,10转增4.996546股派0.899378元(含税),170857.9196,0.8994,0.8994,15366.5854,2016-07-14,2016-07-15,2016-07-15,170857.9196,313002,实施方案
600108.XSHG,420600108,甘肃亚盛实业(集团)股份有限公司,600108.XSHG,2015-12-31,年度分红,2016-04-28,10派0.06元(含税),194691.5121,2016-05-27,10派0.06元(含税),194691.5121,2016-07-11,10派0.06元(含税),194691.5121,0.06,0.06,1168.1491,2016-07-14,2016-07-15,2016-07-15,194691.5121,313002,实施方案
600485.XSHG,420600485,北京信威科技集团股份有限公司,600485.XSHG,2015-12-31,年度分红,2016-04-27,10派0.074元(含税),292374.2782,2016-05-19,10派0.074元(含税),292374.2782,2016-07-08,10派0.074元(含税),292374.2782,0.07400000000000001,0.07400000000000001,2163.5697,2016-07-14,2016-07-15,2016-07-15,292374.2782,313002,实施方案
600582.XSHG,420600582,天地科技股份有限公司,600582.XSHG,2015-12-31,年度分红,2016-03-29,10派0.3元(含税),413858.8892,2016-06-29,10派0.3元(含税),413858.8892,2016-07-11,10派0.3元(含税),413858.8892,0.3,0.3,12415.7667,2016-07-14,2016-07-15,2016-07-15,413858.8892,313002,实施方案
600601.XSHG,420600601,方正科技集团股份有限公司,600601.XSHG,2015-12-31,年度分红,2016-04-26,10派0.1元(含税),219489.1204,2016-05-21,10派0.1元(含税),219489.1204,2016-07-09,10派0.1元(含税),219489.1204,0.1,0.1,2194.8912,2016-07-14,2016-07-15,2016-07-15,219489.1204,313002,实施方案
