,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000061,144782,430000061,深圳市农产品股份有限公司,000061.XSHE,2010-12-31,年度分红,2011-04-29,10派1.1元(含税),76850.7851,2011-05-21,10派1.1元(含税),76850.7851,2011-06-23,10派1.1元(含税),76850.7851,1.1,8453.5864,2011-06-28,2011-06-29,2011-06-29,76850.7851,313002,实施方案
000927,160313,430000927,天津一汽夏利汽车股份有限公司,000927.XSHE,2010-12-31,年度分红,2011-04-27,10派0.3元(含税),159517.402,2011-06-01,10派0.3元(含税),159517.402,2011-06-22,10派0.3元(含税),159517.402,0.3,4785.5221,2011-06-28,2011-06-29,2011-06-29,159517.402,313002,实施方案
600252,30841,420600252,广西梧州中恒集团股份有限公司,600252.XSHG,2010-12-31,年度分红,2011-04-21,10送5.5转增4.5股派0.65元(含税),54587.3764,2011-05-12,10送5.5转增4.5股派0.65元(含税),54587.3764,2011-06-17,10送5.5转增4.5股派0.65元(含税),54587.3764,0.65,3548.1795,2011-06-22,2011-06-23,2011-06-29,54587.3764,313002,实施方案
600436,36006,420600436,漳州片仔癀药业股份有限公司,600436.XSHG,2010-12-31,年度分红,2011-04-09,10派7元(含税),14000.0,2011-04-30,10派7元(含税),14000.0,2011-06-17,10派7元(含税),14000.0,7.0,9800.0,2011-06-22,2011-06-23,2011-06-29,14000.0,313002,实施方案
600837,138756,420600837,海通证券股份有限公司,600837.XSHG,2010-12-31,年度分红,2011-04-26,10派1.5元(含税),822782.118,2011-05-17,10派1.5元(含税),822782.118,2011-06-17,10派1.5元(含税),822782.118,1.5,123417.3177,2011-06-22,2011-06-23,2011-06-29,822782.118,313002,实施方案
600900,141333,420600900,中国长江电力股份有限公司,600900.XSHG,2010-12-31,年度分红,2011-04-30,10派2.5579元(含税),1650000.0,2011-05-23,10派2.5579元(含税),1650000.0,2011-06-17,10派2.5579元(含税),1650000.0,2.5579,422053.5,2011-06-22,2011-06-23,2011-06-29,1650000.0,313002,实施方案
601106,8672,300010530,中国第一重型机械股份公司,601106.XSHG,2010-12-31,年度分红,2011-04-29,10派0.208元(含税),653800.0,2011-05-27,10派0.208元(含税),653800.0,2011-06-14,10派0.208元(含税),653800.0,0.20800000000000002,13599.04,2011-06-17,2011-06-20,2011-06-29,653800.0,313002,实施方案
601601,4259,300004003,中国太平洋保险(集团)股份有限公司,601601.XSHG,2010-12-31,年度分红,2011-03-28,10派3.5元(含税),860000.0,2011-05-19,10派3.5元(含税),860000.0,2011-06-20,10派3.5元(含税),860000.0,3.5,301000.0,2011-06-23,2011-06-24,2011-06-29,860000.0,313002,实施方案
601628,1491,300001881,中国人寿保险股份有限公司,601628.XSHG,2010-12-31,年度分红,2011-03-23,10派4元(含税),2826470.5,2011-06-04,10派4元(含税),2826470.5,2011-06-14,10派4元(含税),2826470.5,4.0,1130588.2,2011-06-17,2011-06-20,2011-06-29,2826470.5,313002,实施方案
601766,5641,300005127,中国中车股份有限公司,601766.XSHG,2010-12-31,年度分红,2011-03-30,10派0.4元(含税),1184000.0,2011-05-31,10派0.4元(含税),1184000.0,2011-06-17,10派0.4元(含税),1184000.0,0.4,47360.0,2011-06-22,2011-06-23,2011-06-29,1184000.0,313002,实施方案
601989,7480,300009267,中国船舶重工股份有限公司,601989.XSHG,2010-12-31,年度分红,2011-04-30,10派0.652元(含税),665100.0,2011-05-24,10派0.652元(含税),665100.0,2011-06-16,10派0.652元(含税),665100.0,0.652,43364.52,2011-06-21,2011-06-22,2011-06-29,665100.0,313002,实施方案
