,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000027.XSHE,143635,430000027,深圳能源集团股份有限公司,000027.XSHE,2013-12-31,年度分红,2014-03-28,10派2.5元(含税),264299.4398,2014-04-24,10派2.5元(含税),264299.4398,2014-05-16,10派2.5元(含税),264299.4398,2.5,2.375,66074.86,2014-05-22,2014-05-23,2014-05-23,264299.4398,313002,实施方案
000712.XSHE,154274,430000712,广东锦龙发展股份有限公司,000712.XSHE,2013-12-31,年度分红,2014-03-11,10转增10股派2元(含税),44800.0,2014-05-05,10转增10股派2元(含税),44800.0,2014-05-19,10转增10股派2元(含税),44800.0,2.0,1.9,8960.0,2014-05-22,2014-05-23,2014-05-23,44800.0,313002,实施方案
002624.XSHE,16562,300021520,完美世界股份有限公司,002624.XSHE,2013-12-31,年度分红,2014-03-05,10派0.5元(含税),20000.0,2014-03-26,10派0.5元(含税),20000.0,2014-05-15,10派0.5元(含税),20000.0,0.5,0.475,1000.0,2014-05-22,2014-05-23,2014-05-23,20000.0,313002,实施方案
300315.XSHE,17443,300022022,北京掌趣科技股份有限公司,300315.XSHE,2013-12-31,年度分红,2014-04-25,10转增6股派0.56元(含税),77163.6261,2014-05-15,10转增6股派0.56元(含税),77163.6261,2014-05-16,10转增6股派0.56元(含税),77163.6261,0.56,0.532,4321.1631,2014-05-22,2014-05-23,2014-05-23,77163.6261,313002,实施方案
600017.XSHG,645,300000981,日照港股份有限公司,600017.XSHG,2013-12-31,年度分红,2014-03-18,10派0.4元(含税),307565.3888,2014-04-16,10派0.4元(含税),307565.3888,2014-05-13,10派0.4元(含税),307565.3888,0.4,0.38,12302.6156,2014-05-16,2014-05-19,2014-05-23,307565.3888,313002,实施方案
600183.XSHG,28516,420600183,广东生益科技股份有限公司,600183.XSHG,2013-12-31,年度分红,2014-03-08,10派4元(含税),142301.829,2014-03-29,10派4元(含税),142301.829,2014-05-13,10派4元(含税),142301.829,4.0,3.8,56920.7316,2014-05-16,2014-05-19,2014-05-23,142301.829,313002,实施方案
600482.XSHG,36862,420600482,中国船舶重工集团动力股份有限公司,600482.XSHG,2013-12-31,年度分红,2014-03-06,10派0.66元(含税),53138.0,2014-03-28,10派0.66元(含税),53138.0,2014-05-13,10派0.66元(含税),53138.0,0.66,0.627,3507.108,2014-05-16,2014-05-19,2014-05-23,53138.0,313002,实施方案
600516.XSHG,37778,420600516,方大炭素新材料科技股份有限公司,600516.XSHG,2013-12-31,年度分红,2014-03-04,10派0.5元(含税),171916.0378,2014-03-28,10派0.5元(含税),171916.0378,2014-05-13,10派0.5元(含税),171916.0378,0.5,0.475,8595.8019,2014-05-16,2014-05-19,2014-05-23,171916.0378,313002,实施方案
600597.XSHG,40087,420600597,光明乳业股份有限公司,600597.XSHG,2013-12-31,年度分红,2014-04-01,10派2元(含税),122449.7459,2014-04-26,10派2元(含税),122449.7459,2014-05-13,10派2元(含税),122449.7459,2.0,1.9,24489.9492,2014-05-16,2014-05-19,2014-05-23,122449.7459,313002,实施方案
600633.XSHG,130386,420600633,浙报数字文化集团股份有限公司,600633.XSHG,2013-12-31,年度分红,2014-04-16,10转增10股派3.5元(含税),59414.3795,2014-05-07,10转增10股派3.5元(含税),59414.3795,2014-05-14,10转增10股派3.5元(含税),59414.3795,3.5,3.325,20795.0328,2014-05-19,2014-05-20,2014-05-23,59414.3795,313002,实施方案
601958.XSHG,4723,300004461,金堆城钼业股份有限公司,601958.XSHG,2013-12-31,年度分红,2014-03-25,10派0.4元(含税),322660.44,2014-04-17,10派0.4元(含税),322660.44,2014-05-13,10派0.4元(含税),322660.44,0.4,0.38,12906.4176,2014-05-16,2014-05-19,2014-05-23,322660.44,313002,实施方案
603288.XSHG,19453,300023228,佛山市海天调味食品股份有限公司,603288.XSHG,2013-12-31,年度分红,2014-03-25,10转增10股派5元（含税）,74850.0,2014-04-15,10转增10股派5元（含税）,74850.0,2014-05-13,10转增10股派5元（含税）,74850.0,5.0,4.75,37425.0,2014-05-16,2014-05-19,2014-05-23,74850.0,313002,实施方案
