,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000402.XSHE,430000402,金融街控股股份有限公司,000402.XSHE,2017-12-31,年度分红,2018-03-27,10派3元(含税),2018-04-17,10派3元(含税),2018-06-07,10派3元(含税),298892.9907,3.0,3.0,89667.8972,2018-06-14,2018-06-15,2018-06-15,298892.9907,313002,实施方案
000528.XSHE,430000528,广西柳工机械股份有限公司,000528.XSHE,2017-12-31,年度分红,2018-04-03,10派1.5元（含税）,2018-04-27,10派1.5元（含税）,2018-06-09,10派1.5元（含税）,112524.2136,1.5,1.5,16878.631999999998,2018-06-14,2018-06-15,2018-06-15,112524.2136,313002,实施方案
000630.XSHE,430000630,铜陵有色金属集团股份有限公司,000630.XSHE,2017-12-31,年度分红,2018-04-13,10派0.2元（含税）,2018-05-09,10派0.2元（含税）,2018-06-09,10派0.2元（含税）,1052653.3308,0.2,0.2,21053.0666,2018-06-14,2018-06-15,2018-06-15,1052653.3308,313002,实施方案
000970.XSHE,430000970,北京中科三环高技术股份有限公司,000970.XSHE,2017-12-31,年度分红,2018-03-30,10派0.9元（含税）,2018-04-25,10派0.9元（含税）,2018-06-07,10派0.9元（含税）,106520.0,0.9,0.9,9586.8,2018-06-14,2018-06-15,2018-06-15,106520.0,313002,实施方案
002106.XSHE,300001921,深圳莱宝高科技股份有限公司,002106.XSHE,2017-12-31,年度分红,2018-03-31,10派1元(含税),2018-04-26,10派1元(含税),2018-06-08,10派1元(含税),70581.616,1.0,1.0,7058.1616,2018-06-14,2018-06-15,2018-06-15,70581.616,313002,实施方案
002128.XSHE,300002704,内蒙古霍林河露天煤业股份有限公司,002128.XSHE,2017-12-31,年度分红,2018-04-11,10派3元(含税),2018-05-08,10派3元(含税),2018-06-08,10派3元(含税),163437.8473,3.0,3.0,49031.3542,2018-06-14,2018-06-15,2018-06-15,163437.8473,313002,实施方案
002152.XSHE,300003423,广州广电运通金融电子股份有限公司,002152.XSHE,2017-12-31,年度分红,2018-03-31,10派2元(含税),2018-04-24,10派2元(含税),2018-06-09,10派2元(含税),242888.5725,2.0,2.0,48577.7145,2018-06-14,2018-06-15,2018-06-15,242888.5725,313002,实施方案
002344.XSHE,300010329,海宁中国皮革城股份有限公司,002344.XSHE,2017-12-31,年度分红,2018-04-14,10派1.2元(含税),2018-05-09,10派1.2元(含税),2018-06-08,10派1.2元(含税),128274.5046,1.2,1.2,15392.9406,2018-06-14,2018-06-15,2018-06-15,128274.5046,313002,实施方案
002468.XSHE,300014251,申通快递股份有限公司,002468.XSHE,2017-12-31,年度分红,2018-04-26,10派2元(含税),2018-05-18,10派2元(含税),2018-06-09,10派2元(含税),153080.2166,2.0,2.0,30616.0433,2018-06-14,2018-06-15,2018-06-15,153080.2166,313002,实施方案
002736.XSHE,300004734,国信证券股份有限公司,002736.XSHE,2017-12-31,年度分红,2018-04-24,10派1.5元(含税),2018-05-22,10派1.5元(含税),2018-06-09,10派1.5元(含税),820000.0,1.5,1.5,123000.0,2018-06-14,2018-06-15,2018-06-15,820000.0,313002,实施方案
