,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000157,145523,430000157,中联重科股份有限公司,000157.XSHE,2010-12-31,年度分红,2011-03-29,10转增3股派2.6元(含税),592765.6962,2011-06-04,10转增3股派2.6元(含税),592765.6962,2011-07-08,10转增3股派2.6元(含税),592765.6962,2.6,154119.081,2011-07-14,2011-07-15,2011-07-15,592765.6962,313002,实施方案
000671,152896,430000671,阳光城集团股份有限公司,000671.XSHE,2010-12-31,年度分红,2011-04-28,10派1元(含税),53600.5545,2011-05-24,10派1元(含税),53600.5545,2011-07-08,10派1元(含税),53600.5545,1.0,5360.0555,2011-07-14,2011-07-15,2011-07-15,53600.5545,313002,实施方案
000807,157049,430000807,云南铝业股份有限公司,000807.XSHE,2010-12-31,年度分红,2011-04-25,10转增3股派0.3元(含税),118397.9219,2011-05-18,10转增3股派0.3元(含税),118397.9219,2011-07-08,10转增3股派0.3元(含税),118397.9219,0.3,3551.9377,2011-07-14,2011-07-15,2011-07-15,118397.9219,313002,实施方案
002424,10557,300012790,贵州百灵企业集团制药股份有限公司,002424.XSHE,2010-12-31,年度分红,2011-04-26,10转增10股派6元(含税),23520.0,2011-05-18,10转增10股派6元(含税),23520.0,2011-07-07,10转增10股派6元(含税),23520.0,6.0,14112.0,2011-07-14,2011-07-15,2011-07-15,23520.0,313002,实施方案
600038,23559,420600038,中航直升机股份有限公司,600038.XSHG,2010-12-31,年度分红,2011-03-30,10派1元(含税),33735.0,2011-05-19,10派1元(含税),33735.0,2011-07-04,10派1元(含税),33735.0,1.0,3373.5,2011-07-08,2011-07-11,2011-07-15,33735.0,313002,实施方案
600196,28972,420600196,上海复星医药(集团)股份有限公司,600196.XSHG,2010-12-31,年度分红,2011-03-26,10派1元(含税),190439.2364,2011-06-09,10派1元(含税),190439.2364,2011-07-05,10派1元(含税),190439.2364,1.0,19043.9236,2011-07-08,2011-07-11,2011-07-15,190439.2364,313002,实施方案
600233,30241,420600233,圆通速递股份有限公司,600233.XSHG,2010-12-31,年度分红,2011-03-22,10派1.5元(含税),16500.0,2011-05-27,10派1.5元(含税),16500.0,2011-07-04,10派1.5元(含税),16500.0,1.5,2475.0,2011-07-07,2011-07-08,2011-07-15,16500.0,313002,实施方案
600269,31362,420600269,江西赣粤高速公路股份有限公司,600269.XSHG,2010-12-31,年度分红,2011-03-22,10派1元(含税),233540.7014,2011-05-19,10派1元(含税),233540.7014,2011-07-05,10派1元(含税),233540.7014,1.0,23354.0701,2011-07-08,2011-07-11,2011-07-15,233540.7014,313002,实施方案
601118,5806,300005902,海南天然橡胶产业集团股份有限公司,601118.XSHG,2010-12-31,年度分红,2011-04-25,10派0.8元(含税),393117.16,2011-05-31,10派0.8元(含税),393117.16,2011-07-05,10派0.8元(含税),393117.16,0.8,31449.3728,2011-07-08,2011-07-11,2011-07-15,393117.16,313002,实施方案
601288,164292,450000020,中国农业银行股份有限公司,601288.XSHG,2010-12-31,年度分红,2011-03-30,10派0.54元(含税),32479411.7,2011-06-09,10派0.54元(含税),32479411.7,2011-06-10,10派0.54元(含税),32479411.7,0.54,1753888.2318,2011-06-16,2011-06-17,2011-07-15,32479411.7,313002,实施方案
601939,3394,300003682,中国建设银行股份有限公司,601939.XSHG,2010-12-31,年度分红,2011-03-28,10派2.122元(含税),25001097.7486,2011-06-10,10派2.122元(含税),25001097.7486,2011-06-17,10派2.122元(含税),25001097.7486,2.122,5305232.9423,2011-06-23,2011-06-24,2011-07-15,25001097.7486,313002,实施方案
