,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000400,145683,430000400,许继电气股份有限公司,000400.XSHE,2016-12-31,年度分红,2017-03-25,10派1元(含税),100832.7309,2017-05-24,10派1元(含税),100832.7309,2017-06-30,10派1元(含税),100832.7309,1.0,1.0,10083.2731,2017-07-05,2017-07-06,2017-07-06,100832.7309,313002,实施方案
000652,152274,430000652,天津泰达股份有限公司,000652.XSHE,2016-12-31,年度分红,2017-04-12,10派0.15元(含税),147557.3852,2017-05-16,10派0.15元(含税),147557.3852,2017-06-29,10派0.15元(含税),147557.3852,0.15,0.15,2213.3608,2017-07-05,2017-07-06,2017-07-06,147557.3852,313002,实施方案
000900,159457,430000900,现代投资股份有限公司,000900.XSHE,2016-12-31,年度分红,2017-04-08,10转增5股派0.5元(含税),101188.5556,2017-05-12,10转增5股派0.5元(含税),101188.5556,2017-06-30,10转增5股派0.5元(含税),101188.5556,0.5,0.5,5059.4278,2017-07-05,2017-07-06,2017-07-06,101188.5556,313002,实施方案
002027,163100,430002027,分众传媒信息技术股份有限公司,002027.XSHE,2016-12-31,年度分红,2017-04-28,10转增4股派4.08元(含税),873683.35,2017-05-20,10转增4股派4.08元(含税),873683.35,2017-06-30,10转增4股派4.08元(含税),873683.35,4.08,4.08,356462.8068,2017-07-05,2017-07-06,2017-07-06,873683.35,313002,实施方案
002475,11900,300014448,立讯精密工业股份有限公司,002475.XSHE,2016-12-31,年度分红,2017-04-20,10转增5股派0.8元(含税),212005.8632,2017-05-11,10转增5股派0.8元(含税),212005.8632,2017-06-28,10转增5股派0.8元(含税),212005.8632,0.8,0.8,16960.4691,2017-07-05,2017-07-06,2017-07-06,212005.8632,313002,实施方案
300133,11206,300013428,浙江华策影视股份有限公司,300133.XSHE,2016-12-31,年度分红,2017-04-25,10派0.3元(含税),174662.5521,2017-05-17,10派0.3元(含税),174662.5521,2017-06-28,10派0.3元(含税),174662.5521,0.3,0.3,5239.8766,2017-07-05,2017-07-06,2017-07-06,174662.5521,313002,实施方案
600016,23096,420600016,中国民生银行股份有限公司,600016.XSHG,2016-12-31,年度分红,2017-03-31,10派1.65元(含税),2955176.9344,2017-06-17,10派1.65元(含税),2955176.9344,2017-06-30,10派1.65元(含税),2955176.9344,1.65,1.65,487604.1942,2017-07-05,2017-07-06,2017-07-06,2955176.9344,313002,实施方案
600100,25631,420600100,同方股份有限公司,600100.XSHG,2016-12-31,年度分红,2017-04-18,10派2.5元(含税),296389.8951,2017-05-11,10派2.5元(含税),296389.8951,2017-06-28,10派2.5元(含税),296389.8951,2.5,2.5,74097.4738,2017-07-05,2017-07-06,2017-07-06,296389.8951,313002,实施方案
600369,34365,420600369,西南证券股份有限公司,600369.XSHG,2016-12-31,年度分红,2017-04-14,10派1元(含税),564510.9124,2017-05-11,10派1元(含税),564510.9124,2017-06-29,10派1元(含税),564510.9124,1.0,1.0,56451.0912,2017-07-05,2017-07-06,2017-07-06,564510.9124,313002,实施方案
601212,21333,300027220,白银有色集团股份有限公司,601212.XSHG,2016-12-31,年度分红,2017-04-19,10派0.11元(含税),697296.5867,2017-05-26,10派0.11元(含税),697296.5867,2017-06-29,10派0.11元(含税),697296.5867,0.11,0.11,7670.2625,2017-07-05,2017-07-06,2017-07-06,697296.5867,313002,实施方案
601992,5972,300006630,北京金隅集团股份有限公司,601992.XSHG,2016-12-31,年度分红,2017-03-30,10派0.46元(含税),1067777.1134,2017-05-18,10派0.46元(含税),1067777.1134,2017-06-28,10派0.46元(含税),1067777.1134,0.46,0.46,49117.7472,2017-07-05,2017-07-06,2017-07-06,1067777.1134,313002,实施方案
