,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000063.XSHE,430000063,中兴通讯股份有限公司,000063.XSHE,2010-12-31,年度分红,2011-03-18,10转增2股派3元(含税),286673.1684,2011-05-18,10转增2股派3元(含税),286673.1684,2011-07-01,10转增2股派3元(含税),286673.1684,3.0,86001.9505,2011-07-06,2011-07-07,2011-07-07,286673.1684,313002,实施方案
000538.XSHE,430000538,云南白药集团股份有限公司,000538.XSHE,2010-12-31,年度分红,2011-03-26,10派1元(含税),69426.6479,2011-05-12,10派1元(含税),69426.6479,2011-06-29,10派1元(含税),69426.6479,1.0,6942.6648,2011-07-06,2011-07-07,2011-07-07,69426.6479,313002,实施方案
000625.XSHE,430000625,重庆长安汽车股份有限公司,000625.XSHE,2010-12-31,年度分红,2011-04-16,10送4转增4股派0.8元(含税),268582.3637,2011-05-19,10送4转增4股派0.8元(含税),268582.3637,2011-06-30,10送4转增4股派0.8元(含税),268582.3637,0.8,21486.5891,2011-07-06,2011-07-07,2011-07-07,268582.3637,313002,实施方案
002429.XSHE,300012873,深圳市兆驰股份有限公司,002429.XSHE,2010-12-31,年度分红,2011-04-28,10转增5股派3元(含税),47254.25,2011-06-28,10转增5股派3元(含税),47254.25,2011-07-01,10转增5股派3元(含税),47254.25,3.0,14176.275,2011-07-06,2011-07-07,2011-07-07,47254.25,313002,实施方案
600519.XSHG,420600519,贵州茅台酒股份有限公司,600519.XSHG,2010-12-31,年度分红,2011-03-21,10送1股派23元(含税),94380.0,2011-05-26,10送1股派23元(含税),94380.0,2011-06-27,10送1股派23元(含税),94380.0,23.0,217074.0,2011-06-30,2011-07-01,2011-07-07,94380.0,313002,实施方案
600611.XSHG,420600611,大众交通(集团)股份有限公司,600611.XSHG,2010-12-31,年度分红,2011-04-01,10派0.8元(含税),157608.1909,2011-05-27,10派0.8元(含税),157608.1909,2011-06-20,10派0.8元(含税),157608.1909,0.8,12608.6553,2011-06-23,2011-06-24,2011-07-07,157608.1909,313002,实施方案
600663.XSHG,420600663,上海陆家嘴金融贸易区开发股份有限公司,600663.XSHG,2010-12-31,年度分红,2011-03-15,10派1.5元(含税),186768.4,2011-05-19,10派1.5元(含税),186768.4,2011-06-15,10派1.5元(含税),186768.4,1.5,28015.26,2011-06-20,2011-06-21,2011-07-07,186768.4,313002,实施方案
600739.XSHG,420600739,辽宁成大股份有限公司,600739.XSHG,2010-12-31,年度分红,2011-04-19,10送5股派1元(含税),90944.6544,2011-05-10,10送5股派1元(含税),90944.6544,2011-06-27,10送5股派1元(含税),90944.6544,1.0,9094.4654,2011-06-30,2011-07-01,2011-07-07,90944.6544,313002,实施方案
600881.XSHG,420600881,吉林亚泰(集团)股份有限公司,600881.XSHG,2010-12-31,年度分红,2011-04-16,10派1元(含税),189473.2058,2011-05-11,10派1元(含税),189473.2058,2011-06-24,10派1元(含税),189473.2058,1.0,18947.3206,2011-06-30,2011-07-01,2011-07-07,189473.2058,313002,实施方案
