,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002405.XSHE,300012447,北京四维图新科技股份有限公司,002405.XSHE,2015-12-31,年度分红,2016-04-13,10转增5股派0.55元(含税),2016-06-08,10转增5股派0.55元(含税),2016-06-14,10转增5股派0.55元(含税),71115.75099999999,0.55,0.55,3911.3663,2016-06-17,2016-06-20,2016-06-20,71115.75099999999,313002,实施方案
600098.XSHG,420600098,广州发展集团股份有限公司,600098.XSHG,2015-12-31,年度分红,2016-04-29,10派1.9元(含税),2016-06-01,10派1.9元(含税),2016-06-14,10派1.9元(含税),272619.6558,1.9,1.9,51797.7346,2016-06-17,2016-06-20,2016-06-20,272619.6558,313002,实施方案
600415.XSHG,420600415,浙江中国小商品城集团股份有限公司,600415.XSHG,2015-12-31,年度分红,2016-03-30,10派0.5元(含税),2016-04-21,10派0.5元(含税),2016-06-14,10派0.5元(含税),544321.4176,0.5,0.5,27216.0709,2016-06-17,2016-06-20,2016-06-20,544321.4176,313002,实施方案
600704.XSHG,420600704,物产中大集团股份有限公司,600704.XSHG,2015-12-31,年度分红,2016-04-26,10转增3股派2.5元(含税),2016-05-18,10转增3股派2.5元(含税),2016-06-09,10转增3股派2.5元(含税),220855.5085,2.5,2.5,55213.8771,2016-06-17,2016-06-20,2016-06-20,220855.5085,313002,实施方案
600873.XSHG,420600873,梅花生物科技集团股份有限公司,600873.XSHG,2015-12-31,年度分红,2016-03-01,10派1元(含税),2016-05-12,10派1元(含税),2016-06-14,10派1元(含税),310822.6603,1.0,1.0,31082.266,2016-06-17,2016-06-20,2016-06-20,310822.6603,313002,实施方案
601098.XSHG,300015470,中南出版传媒集团股份有限公司,601098.XSHG,2015-12-31,年度分红,2016-04-26,10派2.9元(含税),2016-05-18,10派2.9元(含税),2016-06-14,10派2.9元(含税),179600.0,2.9,2.9,52084.0,2016-06-17,2016-06-20,2016-06-20,179600.0,313002,实施方案
601139.XSHG,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2015-12-31,年度分红,2016-03-31,10派1元(含税),2016-04-21,10派1元(含税),2016-06-14,10派1元(含税),217903.0146,1.0,1.0,21790.3015,2016-06-17,2016-06-20,2016-06-20,217903.0146,313002,实施方案
