,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600682.XSHG,420600682,南京新街口百货商店股份有限公司,600682.XSHG,2010-12-31,年度分红,2011-03-29,10派1元(含税),35832.1685,2011-05-25,10派1元(含税),35832.1685,2011-06-16,10派1元(含税),35832.1685,1.0,3583.2169,2011-06-21,2011-06-22,2011-06-28,35832.1685,313002,实施方案
601888.XSHG,300008313,中国国旅股份有限公司,601888.XSHG,2010-12-31,年度分红,2011-04-30,10派1元(含税),88000.0,2011-05-21,10派1元(含税),88000.0,2011-06-15,10派1元(含税),88000.0,1.0,8800.0,2011-06-21,2011-06-22,2011-06-28,88000.0,313002,实施方案
601898.XSHG,300004221,中国中煤能源股份有限公司,601898.XSHG,2010-12-31,年度分红,2011-03-23,10派1.5633元(含税),1325866.34,2011-05-28,10派1.5633元(含税),1325866.34,2011-06-07,10派1.5633元(含税),1325866.34,1.5633,207272.6849,2011-06-10,2011-06-13,2011-06-28,1325866.34,313002,实施方案
