,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000625.XSHE,430000625,重庆长安汽车股份有限公司,000625.XSHE,2012-12-31,年度分红,2013-04-18,10派0.5元(含税),466288.6108,2013-05-22,10派0.5元(含税),466288.6108,2013-06-14,10派0.5元(含税),466288.6108,0.5,0.475,23314.4305,2013-06-20,2013-06-21,2013-06-21,466288.6108,313002,实施方案
000758.XSHE,430000758,中国有色金属建设股份有限公司,000758.XSHE,2012-12-31,年度分红,2013-04-16,10派1元(含税),98468.9212,2013-05-11,10派1元(含税),98468.9212,2013-06-14,10派1元(含税),98468.9212,1.0,0.95,9846.8921,2013-06-20,2013-06-21,2013-06-21,98468.9212,313002,实施方案
000938.XSHE,430000938,紫光股份有限公司,000938.XSHE,2012-12-31,年度分红,2013-04-02,10派0.5元(含税),20608.0,2013-05-11,10派0.5元(含税),20608.0,2013-06-14,10派0.5元(含税),20608.0,0.5,0.475,1030.4,2013-06-20,2013-06-21,2013-06-21,20608.0,313002,实施方案
000983.XSHE,430000983,山西西山煤电股份有限公司,000983.XSHE,2012-12-31,年度分红,2013-03-19,10派0.36元(含税),315120.0,2013-04-24,10派0.36元(含税),315120.0,2013-06-15,10派0.36元(含税),315120.0,0.36,0.342,11344.32,2013-06-20,2013-06-21,2013-06-21,315120.0,313002,实施方案
002429.XSHE,300012873,深圳市兆驰股份有限公司,002429.XSHE,2012-12-31,年度分红,2013-04-02,10转增5股派2元(含税),71195.1871,2013-04-24,10转增5股派2元(含税),71195.1871,2013-06-15,10转增5股派2元(含税),71195.1871,2.0,1.9,14239.0374,2013-06-20,2013-06-21,2013-06-21,71195.1871,313002,实施方案
002475.XSHE,300014448,立讯精密工业股份有限公司,002475.XSHE,2012-12-31,年度分红,2013-04-03,10转增5股派1元(含税),36498.0,2013-04-24,10转增5股派1元(含税),36498.0,2013-06-15,10转增5股派1元(含税),36498.0,1.0,0.95,3649.8,2013-06-20,2013-06-21,2013-06-21,36498.0,313002,实施方案
600125.XSHG,420600125,中铁铁龙集装箱物流股份有限公司,600125.XSHG,2012-12-31,年度分红,2013-03-29,10派1.1元(含税),130552.1874,2013-04-24,10派1.1元(含税),130552.1874,2013-06-06,10派1.1元(含税),130552.1874,1.1,1.045,14360.7406,2013-06-14,2013-06-17,2013-06-21,130552.1874,313002,实施方案
600166.XSHG,420600166,北汽福田汽车股份有限公司,600166.XSHG,2012-12-31,年度分红,2013-03-30,10派1.6元(含税),280967.16,2013-04-27,10派1.6元(含税),280967.16,2013-06-06,10派1.6元(含税),280967.16,1.6,1.52,44954.7456,2013-06-14,2013-06-17,2013-06-21,280967.16,313002,实施方案
600216.XSHG,420600216,浙江医药股份有限公司,600216.XSHG,2012-12-31,年度分红,2013-04-13,10派5元(含税),52006.0,2013-05-17,10派5元(含税),52006.0,2013-06-06,10派5元(含税),52006.0,5.0,4.75,26003.0,2013-06-14,2013-06-17,2013-06-21,52006.0,313002,实施方案
600267.XSHG,420600267,浙江海正药业股份有限公司,600267.XSHG,2012-12-31,年度分红,2013-03-29,10派1.1元(含税),83970.9058,2013-04-24,10派1.1元(含税),83970.9058,2013-06-07,10派1.1元(含税),83970.9058,1.1,1.045,9236.7996,2013-06-17,2013-06-18,2013-06-21,83970.9058,313002,实施方案
600277.XSHG,420600277,亿利洁能股份有限公司,600277.XSHG,2012-12-31,年度分红,2013-04-25,10派0.5元(含税),153328.95,2013-05-16,10派0.5元(含税),153328.95,2013-06-07,10派0.5元(含税),153328.95,0.5,0.475,7666.4475,2013-06-17,2013-06-18,2013-06-21,153328.95,313002,实施方案
600383.XSHG,420600383,金地(集团)股份有限公司,600383.XSHG,2012-12-31,年度分红,2013-04-12,10派0.8元(含税),447150.8572,2013-05-16,10派0.8元(含税),447150.8572,2013-06-07,10派0.8元(含税),447150.8572,0.8,0.76,35772.0686,2013-06-17,2013-06-18,2013-06-21,447150.8572,313002,实施方案
600642.XSHG,420600642,申能股份有限公司,600642.XSHG,2012-12-31,年度分红,2013-03-23,10派1.2元(含税),472877.406,2013-04-27,10派1.2元(含税),472877.406,2013-06-06,10派1.2元(含税),455203.8316,1.2,1.14,54624.4598,2013-06-14,2013-06-17,2013-06-21,455203.8316,313002,实施方案
600971.XSHG,420600971,安徽恒源煤电股份有限公司,600971.XSHG,2012-12-31,年度分红,2013-04-02,10派2.6元(含税),100000.40699999999,2013-04-25,10派2.6元(含税),100000.40699999999,2013-06-07,10派2.6元(含税),100000.40699999999,2.6,2.47,26000.1058,2013-06-17,2013-06-18,2013-06-21,100000.40699999999,313002,实施方案
