,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000629.XSHE,151758,430000629,攀钢集团钒钛资源股份有限公司,000629.XSHE,2013-12-31,年度分红,2014-04-18,10派0.1元(含税),858974.6202,2014-05-28,10派0.1元(含税),858974.6202,2014-07-02,10派0.1元(含税),858974.6202,0.1,0.095,8589.7462,2014-07-09,2014-07-10,2014-07-10,858974.6202,313002,实施方案
000656.XSHE,152364,430000656,金科地产集团股份有限公司,000656.XSHE,2013-12-31,年度分红,2014-04-22,10派1.2元(含税),115854.0051,2014-05-14,10派1.2元(含税),115854.0051,2014-07-04,10派1.2元(含税),115854.0051,1.2,1.14,13902.4806,2014-07-09,2014-07-10,2014-07-10,115854.0051,313002,实施方案
000709.XSHE,154150,430000709,河钢股份有限公司,000709.XSHE,2013-12-31,年度分红,2014-04-29,10派0.2元(含税),1061860.7852,2014-05-21,10派0.2元(含税),1061860.7852,2014-07-04,10派0.2元(含税),1061860.7852,0.2,0.19,21237.2157,2014-07-09,2014-07-10,2014-07-10,1061860.7852,313002,实施方案
000917.XSHE,159983,430000917,湖南电广传媒股份有限公司,000917.XSHE,2013-12-31,年度分红,2014-04-29,10派0.4元(含税),141755.6338,2014-05-23,10派0.4元(含税),141755.6338,2014-07-04,10派0.4元(含税),141755.6338,0.4,0.38,5670.2254,2014-07-09,2014-07-10,2014-07-10,141755.6338,313002,实施方案
600015.XSHG,23054,420600015,华夏银行股份有限公司,600015.XSHG,2013-12-31,年度分红,2014-04-18,10派4.35元(含税),890464.3509,2014-05-23,10派4.35元(含税),890464.3509,2014-07-04,10派4.35元(含税),890464.3509,4.35,4.1325,387351.9926,2014-07-09,2014-07-10,2014-07-10,890464.3509,313002,实施方案
600062.XSHG,24120,420600062,华润双鹤药业股份有限公司,600062.XSHG,2013-12-31,年度分红,2014-03-12,10派3.42元(含税),57169.5948,2014-05-21,10派3.42元(含税),57169.5948,2014-07-04,10派3.42元(含税),57169.5948,3.42,3.2489999999999997,19552.0014,2014-07-09,2014-07-10,2014-07-10,57169.5948,313002,实施方案
600239.XSHG,30469,420600239,云南城投置业股份有限公司,600239.XSHG,2013-12-31,年度分红,2014-04-26,10派1.2元(含税),82342.9184,2014-05-17,10派1.2元(含税),82342.9184,2014-07-03,10派1.2元(含税),82342.9184,1.2,1.14,9881.1502,2014-07-09,2014-07-10,2014-07-10,82342.9184,313002,实施方案
600380.XSHG,34693,420600380,健康元药业集团股份有限公司,600380.XSHG,2013-12-31,年度分红,2014-03-25,10派0.4元(含税),154583.5892,2014-06-18,10派0.4元(含税),154583.5892,2014-07-04,10派0.4元(含税),154583.5892,0.4,0.38,6183.3436,2014-07-09,2014-07-10,2014-07-10,154583.5892,313002,实施方案
601012.XSHG,17975,300022338,隆基绿能科技股份有限公司,601012.XSHG,2013-12-31,年度分红,2014-04-30,10派0.5元(含税),53852.4,2014-06-12,10派0.5元(含税),53852.4,2014-07-03,10派0.5元(含税),53852.4,0.5,0.475,2692.62,2014-07-09,2014-07-10,2014-07-10,53852.4,313002,实施方案
601299.XSHG,7806,300009747,中国北车股份有限公司,601299.XSHG,2013-12-31,年度分红,2014-03-29,10派2元(含税),1032005.6303,2014-05-21,10派2元(含税),1032005.6303,2014-07-04,10派2元(含税),1032005.6303,2.0,1.9,206401.1261,2014-07-09,2014-07-10,2014-07-10,1032005.6303,313002,实施方案
601939.XSHG,3400,300003682,中国建设银行股份有限公司,601939.XSHG,2013-12-31,年度分红,2014-03-31,10派3元(含税),25001097.7486,2014-06-27,10派3元(含税),25001097.7486,2014-07-03,10派3元(含税),25001097.7486,3.0,2.85,7500329.3246,2014-07-09,2014-07-10,2014-07-10,25001097.7486,313002,实施方案
