,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,plan_progress_code,plan_progress
002152.XSHE,300003423,广州广电运通金融电子股份有限公司,002152.XSHE,2012-12-31,年度分红,2013-03-30,10送2股派3元(含税),62269.7755,2013-04-24,10送2股派3元(含税),62269.7755,2013-05-14,10送2股派3元(含税),62269.7755,3.0,2.75,18680.9327,2013-05-17,2013-05-20,2013-05-20,2013-05-20,62269.7755,74723.7306,59884.2742,71861.129,313002,实施方案
002570.XSHE,300019035,贝因美婴童食品股份有限公司,002570.XSHE,2012-12-31,年度分红,2013-04-16,10转增5股派5.8元(含税),42605.0,2013-05-11,10转增5股派5.8元(含税),42605.0,2013-05-14,10转增5股派5.8元(含税),42605.0,5.8,5.51,24710.9,2013-05-17,2013-05-20,2013-05-20,2013-05-20,42605.0,63907.5,26111.1975,39166.7962,313002,实施方案
