,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600649.XSHG,420600649,上海城投控股股份有限公司,600649.XSHG,2017-12-31,年度分红,2018-03-20,10派2.5元(含税),252957.5634,2018-06-30,10派2.5元(含税),252957.5634,2018-08-14,10派2.5元(含税),252957.5634,2.5,2.5,63239.3909,2018-08-21,2018-08-22,2018-08-22,252957.5634,313002,实施方案
601377.XSHG,460000076,兴业证券股份有限公司,601377.XSHG,2017-12-31,年度分红,2018-03-31,10派1.5元(含税),669667.1674,2018-06-29,10派1.5元(含税),669667.1674,2018-08-15,10派1.5元(含税),669667.1674,1.5,1.5,100450.0751,2018-08-21,2018-08-22,2018-08-22,669667.1674,313002,实施方案
