,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002508.XSHE,300015938,杭州老板电器股份有限公司,002508.XSHE,2017-12-31,年度分红,2018-04-10,10派7.5元（含税）,94903.2825,2018-05-04,10派7.5元（含税）,94903.2825,2018-05-09,10派7.5元（含税）,94903.2825,7.5,7.5,71177.4619,2018-05-14,2018-05-15,2018-05-15,94903.2825,313002,实施方案
600582.XSHG,420600582,天地科技股份有限公司,600582.XSHG,2017-12-31,年度分红,2018-03-30,10派0.5元(含税),413858.8892,2018-04-24,10派0.5元(含税),413858.8892,2018-05-09,10派0.5元(含税),413858.8892,0.5,0.5,20692.9445,2018-05-14,2018-05-15,2018-05-15,413858.8892,313002,实施方案
601233.XSHG,300019547,桐昆集团股份有限公司,601233.XSHG,2017-12-31,年度分红,2018-03-13,10转增4股派1.4元(含税),130138.0744,2018-04-04,10转增4股派1.4元(含税),130138.0744,2018-05-09,10转增4股派1.4元(含税),130138.0744,1.4,1.4,18219.3304,2018-05-14,2018-05-15,2018-05-15,130138.0744,313002,实施方案
