,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002714.XSHE,300022995,牧原食品股份有限公司,002714.XSHE,2015-12-31,年度分红,2016-02-25,10转增10股派3.53元(含税),51687.3109,2016-05-17,10转增10股派3.53元(含税),51687.3109,2016-07-01,10转增10股派3.53元(含税),51687.3109,3.53,3.53,18245.6207,2016-07-07,2016-07-08,2016-07-08,51687.3109,313002,实施方案
300015.XSHE,300008390,爱尔眼科医院集团股份有限公司,300015.XSHE,2015-12-31,年度分红,2016-03-29,10派3元(含税),98604.1867,2016-05-31,10派3元(含税),98604.1867,2016-07-01,10派2.937039元(含税),100717.9414,2.937,2.937,29581.2522,2016-07-07,2016-07-08,2016-07-08,100717.9414,313002,实施方案
600011.XSHG,420600011,华能国际电力股份有限公司,600011.XSHG,2015-12-31,年度分红,2016-03-23,10派4.7元(含税),1520038.344,2016-06-24,10派4.7元(含税),1520038.344,2016-07-01,10派4.7元(含税),1520038.344,4.7,4.7,714418.0217,2016-07-07,2016-07-08,2016-07-08,1520038.344,313002,实施方案
600015.XSHG,420600015,华夏银行股份有限公司,600015.XSHG,2015-12-31,年度分红,2016-04-19,10派3.63元(含税),1068557.2211,2016-05-14,10派3.63元(含税),1068557.2211,2016-07-02,10派3.63元(含税),1068557.2211,3.63,3.63,387886.2713,2016-07-07,2016-07-08,2016-07-08,1068557.2211,313002,实施方案
600060.XSHG,420600060,青岛海信电器股份有限公司,600060.XSHG,2015-12-31,年度分红,2016-04-27,10派3.4元(含税),130848.1222,2016-06-20,10派3.4元(含税),130848.1222,2016-07-04,10派3.4元(含税),130848.1222,3.4,3.4,44488.3615,2016-07-07,2016-07-08,2016-07-08,130848.1222,313002,实施方案
600104.XSHG,420600104,上海汽车集团股份有限公司,600104.XSHG,2015-12-31,年度分红,2016-04-22,10派13.6元(含税),1102556.6629,2016-05-27,10派13.6元(含税),1102556.6629,2016-07-02,10派13.6元(含税),1102556.6629,13.6,13.6,1499477.0615,2016-07-07,2016-07-08,2016-07-08,1102556.6629,313002,实施方案
600208.XSHG,420600208,新湖中宝股份有限公司,600208.XSHG,2015-12-31,年度分红,2016-04-16,10派0.5元(含税),859934.3536,2016-05-10,10派0.5元(含税),859934.3536,2016-07-02,10派0.5元(含税),859934.3536,0.5,0.5,42996.7177,2016-07-07,2016-07-08,2016-07-08,859934.3536,313002,实施方案
600456.XSHG,420600456,宝鸡钛业股份有限公司,600456.XSHG,2015-12-31,年度分红,2016-04-28,10派0.5元(含税),43026.57,2016-05-20,10派0.5元(含税),43026.57,2016-07-01,10派0.5元(含税),43026.57,0.5,0.5,2151.3285,2016-07-07,2016-07-08,2016-07-08,43026.57,313002,实施方案
600809.XSHG,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2015-12-31,年度分红,2016-04-26,10派3.2元(含税),86584.8266,2016-05-17,10派3.2元(含税),86584.8266,2016-07-01,10派3.2元(含税),86584.8266,3.2,3.2,27707.1445,2016-07-07,2016-07-08,2016-07-08,86584.8266,313002,实施方案
601398.XSHG,450000019,中国工商银行股份有限公司,601398.XSHG,2015-12-31,年度分红,2016-03-31,10派2.333元(含税),35640625.7089,2016-06-25,10派2.333元(含税),35640625.7089,2016-07-01,10派2.333元(含税),35640625.7089,2.333,2.333,8314957.9779,2016-07-07,2016-07-08,2016-07-08,35640625.7089,313002,实施方案
603699.XSHG,300022929,苏州纽威阀门股份有限公司,603699.XSHG,2015-12-31,年度分红,2016-04-16,10派2.5元(含税),75000.0,2016-05-21,10派2.5元(含税),75000.0,2016-07-01,10派2.5元(含税),75000.0,2.5,2.5,18750.0,2016-07-07,2016-07-08,2016-07-08,75000.0,313002,实施方案
