,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000413.XSHE,430000413,东旭光电科技股份有限公司,000413.XSHE,2016-12-31,年度分红,2017-03-28,10派0.7元(含税),2017-04-18,10派0.7元(含税),2017-06-06,10派0.7元(含税),493992.8983,0.7,0.7,34579.5029,2017-06-13,2017-06-14,2017-06-14,493992.8983,313002,实施方案
002049.XSHE,430002049,紫光国芯微电子股份有限公司,002049.XSHE,2016-12-31,年度分红,2017-03-25,10派0.56元(含税),2017-04-19,10派0.56元(含税),2017-06-07,10派0.56元(含税),60681.7968,0.56,0.56,3398.1806,2017-06-13,2017-06-14,2017-06-14,60681.7968,313002,实施方案
002081.XSHE,300001283,苏州金螳螂建筑装饰股份有限公司,002081.XSHE,2016-12-31,年度分红,2017-04-27,10派1.5元(含税),2017-05-24,10派1.5元(含税),2017-06-07,10派1.5元(含税),264330.8689,1.5,1.5,39649.6303,2017-06-13,2017-06-14,2017-06-14,264330.8689,313002,实施方案
300027.XSHE,300008488,华谊兄弟传媒股份有限公司,300027.XSHE,2016-12-31,年度分红,2017-03-28,10派0.3元(含税),2017-04-17,10派0.3元(含税),2017-06-08,10派0.3元(含税),278568.6394,0.3,0.3,8357.0592,2017-06-13,2017-06-14,2017-06-14,278568.6394,313002,实施方案
600017.XSHG,300000981,日照港股份有限公司,600017.XSHG,2016-12-31,年度分红,2017-03-28,10派0.1元(含税),2017-04-27,10派0.1元(含税),2017-06-07,10派0.1元(含税),307565.3888,0.1,0.1,3075.6539,2017-06-13,2017-06-14,2017-06-14,307565.3888,313002,实施方案
600019.XSHG,420600019,宝山钢铁股份有限公司,600019.XSHG,2016-12-31,年度分红,2017-04-28,10派2.1元(含税),2017-05-24,10派2.1元(含税),2017-06-08,10派2.1元(含税),2210265.6925,2.1,2.1,464155.7954,2017-06-13,2017-06-14,2017-06-14,2210265.6925,313002,实施方案
600036.XSHG,420600036,招商银行股份有限公司,600036.XSHG,2016-12-31,年度分红,2017-03-25,10派7.4元(含税),2017-05-27,10派7.4元(含税),2017-06-06,10派7.4元(含税),2062894.4429,7.4,7.4,1526541.8877,2017-06-13,2017-06-14,2017-06-14,2062894.4429,313002,实施方案
600066.XSHG,420600066,郑州宇通客车股份有限公司,600066.XSHG,2016-12-31,年度分红,2017-03-28,10派10元(含税),2017-04-20,10派10元(含税),2017-06-06,10派10元(含税),221393.9223,10.0,10.0,221393.9223,2017-06-13,2017-06-14,2017-06-14,221393.9223,313002,实施方案
600583.XSHG,420600583,海洋石油工程股份有限公司,600583.XSHG,2016-12-31,年度分红,2017-03-21,10派1元(含税),2017-05-22,10派1元(含税),2017-06-07,10派1元(含税),442135.48,1.0,1.0,44213.547999999995,2017-06-13,2017-06-14,2017-06-14,442135.48,313002,实施方案
600663.XSHG,420600663,上海陆家嘴金融贸易区开发股份有限公司,600663.XSHG,2016-12-31,年度分红,2017-03-22,10派3.94元(含税),2017-05-10,10派3.94元(含税),2017-06-08,10派3.94元(含税),336183.12,3.94,3.94,132456.1493,2017-06-13,2017-06-14,2017-06-14,336183.12,313002,实施方案
601139.XSHG,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2016-12-31,年度分红,2017-03-31,10派1.05元(含税),2017-04-27,10派1.05元(含税),2017-06-08,10派1.05元(含税),221426.7211,1.05,1.05,23249.8057,2017-06-13,2017-06-14,2017-06-14,221426.7211,313002,实施方案
601166.XSHG,300002081,兴业银行股份有限公司,601166.XSHG,2016-12-31,年度分红,2017-04-29,10派6.1元(含税),2017-05-27,10派6.1元(含税),2017-06-07,10派6.1元(含税),2077419.0751,6.1,6.1,1267225.6358,2017-06-13,2017-06-14,2017-06-14,2077419.0751,313002,实施方案
601997.XSHG,300022955,贵阳银行股份有限公司,601997.XSHG,2016-12-31,年度分红,2017-04-15,10派2.6元(含税),2017-05-06,10派2.6元(含税),2017-06-08,10派2.6元(含税),229859.19,2.6,2.6,59763.3894,2017-06-13,2017-06-14,2017-06-14,229859.19,313002,实施方案
