,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000425.XSHE,430000425,徐工集团工程机械股份有限公司,000425.XSHE,2014-12-31,年度分红,2015-03-30,10派0.6元(含税),236142.9234,2015-04-22,10派0.6元(含税),236142.9234,2015-06-11,10派0.6元(含税),236142.9234,0.6,0.57,14168.5754,2015-06-16,2015-06-17,2015-06-17,236142.9234,313002,实施方案
000623.XSHE,430000623,吉林敖东药业集团股份有限公司,000623.XSHE,2014-12-31,年度分红,2015-04-21,10派2元(含税),89443.8433,2015-05-16,10派2元(含税),89443.8433,2015-06-09,10派2元(含税),89443.8433,2.0,1.9,17888.7687,2015-06-16,2015-06-17,2015-06-17,89443.8433,313002,实施方案
000883.XSHE,430000883,湖北能源集团股份有限公司,000883.XSHE,2014-12-31,年度分红,2015-04-29,10派0.54元(含税),534874.9678,2015-06-04,10派0.54元(含税),534874.9678,2015-06-10,10派0.54元(含税),534874.9678,0.54,0.513,28883.2483,2015-06-16,2015-06-17,2015-06-17,534874.9678,313002,实施方案
002049.XSHE,430002049,紫光国芯微电子股份有限公司,002049.XSHE,2014-12-31,年度分红,2015-02-11,10派1元(含税),60681.7968,2015-05-13,10派1元(含税),60681.7968,2015-06-10,10派1元(含税),60681.7968,1.0,0.95,6068.1797,2015-06-16,2015-06-17,2015-06-17,60681.7968,313002,实施方案
002065.XSHE,300000405,东华软件股份公司,002065.XSHE,2014-12-31,年度分红,2015-04-29,10派1.5元(含税),152218.5482,2015-05-22,10派1.5元(含税),152218.5482,2015-06-10,10派1.5元(含税),152745.4795,1.5,1.425,22911.8219,2015-06-16,2015-06-17,2015-06-17,152745.4795,313002,实施方案
002242.XSHE,300004732,九阳股份有限公司,002242.XSHE,2014-12-31,年度分红,2015-04-01,10派6元(含税),76775.5,2015-04-28,10派6元(含税),76775.5,2015-06-10,10派6元(含税),76775.5,6.0,5.7,46065.3,2015-06-16,2015-06-17,2015-06-17,76775.5,313002,实施方案
600037.XSHG,420600037,北京歌华有线电视网络股份有限公司,600037.XSHG,2014-12-31,年度分红,2015-03-21,10派1.8元(含税),116835.2026,2015-04-27,10派1.8元(含税),116835.2026,2015-06-10,10派1.8元(含税),116835.2026,1.8,1.71,21030.3365,2015-06-16,2015-06-17,2015-06-17,116835.2026,313002,实施方案
600482.XSHG,420600482,中国船舶重工集团动力股份有限公司,600482.XSHG,2014-12-31,年度分红,2015-03-27,10派0.81元(含税),53650.0,2015-04-22,10派0.81元(含税),53650.0,2015-06-11,10派0.81元(含税),53650.0,0.81,0.7695,4345.65,2015-06-16,2015-06-17,2015-06-17,53650.0,313002,实施方案
601168.XSHG,300003262,西部矿业股份有限公司,601168.XSHG,2014-12-31,年度分红,2015-04-18,10派0.5元(含税),238300.0,2015-05-09,10派0.5元(含税),238300.0,2015-06-11,10派0.5元(含税),238300.0,0.5,0.475,11915.0,2015-06-16,2015-06-17,2015-06-17,238300.0,313002,实施方案
601198.XSHG,300008427,东兴证券股份有限公司,601198.XSHG,2014-12-31,年度分红,2015-03-31,10派1.6元(含税),250400.0,2015-04-25,10派1.6元(含税),250400.0,2015-06-10,10派1.6元(含税),250400.0,1.6,1.52,40064.0,2015-06-16,2015-06-17,2015-06-17,250400.0,313002,实施方案
