,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000690,44383,430000690,广东宝丽华新能源股份有限公司,000690.XSHE,2017-12-31,年度分红,2018-04-28,10派0.3元(含税),2018-05-19,10派0.3元(含税),2018-06-14,10派0.3元(含税),217588.7862,0.3,0.3,6527.6636,2018-06-20,2018-06-21,2018-06-21,217588.7862,313002,实施方案
000780,44482,430000780,内蒙古平庄能源股份有限公司,000780.XSHE,2017-12-31,年度分红,2018-04-11,10派2元(含税),2018-05-10,10派2元(含税),2018-06-13,10派2元(含税),101430.6324,2.0,2.0,20286.1265,2018-06-20,2018-06-21,2018-06-21,101430.6324,313002,实施方案
000999,44715,430000999,华润三九医药股份有限公司,000999.XSHE,2017-12-31,年度分红,2018-03-15,10派4.6元（含税）,2018-04-24,10派4.6元（含税）,2018-06-12,10派4.6元（含税）,97890.0,4.6,4.6,45029.4,2018-06-20,2018-06-21,2018-06-21,97890.0,313002,实施方案
002195,3955,300003909,上海二三四五网络控股集团股份有限公司,002195.XSHE,2017-12-31,年度分红,2018-04-20,10转增3股派0.3元(含税),2018-05-16,10转增3股派0.3元(含税),2018-06-13,10转增3股派0.3元(含税),341206.5248,0.3,0.3,10236.1957,2018-06-20,2018-06-21,2018-06-21,341206.5248,313002,实施方案
600376,34562,420600376,北京首都开发股份有限公司,600376.XSHG,2017-12-31,年度分红,2018-04-14,10派6元(含税),2018-05-11,10派6元(含税),2018-06-13,10派6元(含税),257956.5242,6.0,6.0,154773.9145,2018-06-20,2018-06-21,2018-06-21,257956.5242,313002,实施方案
600611,40696,420600611,大众交通(集团)股份有限公司,600611.XSHG,2017-12-31,年度分红,2018-03-30,10派1.2元(含税),2018-05-16,10派1.2元(含税),2018-06-14,10派1.2元(含税),236412.2864,1.2,1.2,28369.4744,2018-06-20,2018-06-21,2018-06-21,236412.2864,313002,实施方案
601628,1505,300001881,中国人寿保险股份有限公司,601628.XSHG,2017-12-31,年度分红,2018-03-23,10派4元(含税),2018-06-07,10派4元(含税),2018-06-14,10派4元(含税),2826470.5,4.0,4.0,1130588.2,2018-06-20,2018-06-21,2018-06-21,2826470.5,313002,实施方案
601857,3625,300003825,中国石油天然气股份有限公司,601857.XSHG,2017-12-31,年度分红,2018-03-23,10派0.6074元(含税),2018-06-06,10派0.6074元(含税),2018-06-13,10派0.6074元(含税),18302097.7818,0.6074,0.6074,1111669.4193,2018-06-20,2018-06-21,2018-06-21,18302097.7818,313002,实施方案
603885,19817,300023633,上海吉祥航空股份有限公司,603885.XSHG,2017-12-31,年度分红,2018-04-17,10派2.28元(含税),2018-06-01,10派2.28元(含税),2018-06-12,10派2.28元(含税),179701.3477,2.28,2.28,40971.9073,2018-06-20,2018-06-21,2018-06-21,179701.3477,313002,实施方案
