,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,transfer_ratio,bonus_ratio_rmb,at_bonus_ratio_rmb,transfer_number,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,a_transfer_arrival_date,plan_progress_code,plan_progress
300146.XSHE,300015867,汤臣倍健股份有限公司,300146.XSHE,2013-12-31,年度分红,2014-02-28,10转增10股派10元(含税),32808.0,2014-03-21,10转增10股派10元(含税),32808.0,2014-03-28,10转增10股派10元(含税),32808.0,10.0,10.0,9.5,32808.0,32808.0,2014-04-03,2014-04-04,2014-04-04,2014-04-04,32808.0,65616.0,16336.6951,32673.3902,2014-04-04,313002,实施方案
600880.XSHG,420600880,成都博瑞传播股份有限公司,600880.XSHG,2013-12-31,年度分红,2014-02-15,10转增6股派2元(含税),68333.2557,2014-03-12,10转增6股派2元(含税),68333.2557,2014-03-25,10转增6股派2元(含税),68333.2557,6.0,2.0,1.9,40999.9535,13666.6511,2014-03-28,2014-03-31,2014-04-04,2014-04-01,68333.2557,109333.2092,41407.1213,66251.3941,2014-03-31,313002,实施方案
