,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000559.XSHE,430000559,万向钱潮股份有限公司,000559.XSHE,2011-12-31,年度分红,2012-03-20,10派3元(含税),159326.3574,2012-04-12,10派3元(含税),159326.3574,2012-05-30,10派3元(含税),159326.3574,3.0,47797.9072,2012-06-05,2012-06-06,2012-06-06,159326.3574,313002,实施方案
000630.XSHE,430000630,铜陵有色金属集团股份有限公司,000630.XSHE,2011-12-31,年度分红,2012-03-29,10派1元(含税),142160.6707,2012-04-20,10派1元(含税),142160.6707,2012-05-30,10派1元(含税),142160.6707,1.0,14216.0671,2012-06-05,2012-06-06,2012-06-06,142160.6707,313002,实施方案
000750.XSHE,430000750,国海证券股份有限公司,000750.XSHE,2011-12-31,年度分红,2012-03-28,10送13转增2股派1.5元(含税),71678.0629,2012-05-10,10送13转增2股派1.5元(含税),71678.0629,2012-05-31,10送13转增2股派1.5元(含税),71678.0629,1.5,10751.7094,2012-06-05,2012-06-06,2012-06-06,71678.0629,313002,实施方案
000951.XSHE,430000951,中国重汽集团济南卡车股份有限公司,000951.XSHE,2011-12-31,年度分红,2012-03-28,10派1.7元(含税),41942.55,2012-04-20,10派1.7元(含税),41942.55,2012-05-31,10派1.7元(含税),41942.55,1.7,7130.2335,2012-06-05,2012-06-06,2012-06-06,41942.55,313002,实施方案
600089.XSHG,420600089,特变电工股份有限公司,600089.XSHG,2011-12-31,年度分红,2012-03-28,10派0.8元(含税),263555.984,2012-04-18,10派0.8元(含税),263555.984,2012-05-25,10派0.8元(含税),263555.984,0.8,21084.4787,2012-05-30,2012-05-31,2012-06-06,263555.984,313002,实施方案
600436.XSHG,420600436,漳州片仔癀药业股份有限公司,600436.XSHG,2011-12-31,年度分红,2012-04-14,10派7元(含税),14000.0,2012-05-09,10派7元(含税),14000.0,2012-05-25,10派7元(含税),14000.0,7.0,9800.0,2012-05-30,2012-05-31,2012-06-06,14000.0,313002,实施方案
601566.XSHG,300019841,九牧王股份有限公司,601566.XSHG,2011-12-31,年度分红,2012-04-23,10派6元(含税),57293.0,2012-05-15,10派6元(含税),57293.0,2012-05-25,10派6元(含税),57293.0,6.0,34375.8,2012-05-30,2012-05-31,2012-06-06,57293.0,313002,实施方案
601818.XSHG,300006246,中国光大银行股份有限公司,601818.XSHG,2011-12-31,年度分红,2012-04-19,10派1.33元(含税),4043479.0,2012-05-16,10派1.33元(含税),4043479.0,2012-05-25,10派1.33元(含税),4043479.0,1.33,537782.707,2012-05-30,2012-05-31,2012-06-06,4043479.0,313002,实施方案
601929.XSHG,300022073,吉视传媒股份有限公司,601929.XSHG,2011-12-31,年度分红,2012-04-06,10派0.22元(含税),139798.87900000002,2012-04-28,10派0.22元(含税),139798.87900000002,2012-05-25,10派0.22元(含税),139798.87900000002,0.22,3075.5753,2012-05-30,2012-05-31,2012-06-06,139798.87900000002,313002,实施方案
