,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000069.XSHE,430000069,深圳华侨城股份有限公司,000069.XSHE,2012-12-31,年度分红,2013-03-09,10派0.7元(含税),727149.8566,2013-06-07,10派0.7元(含税),727149.8566,2013-06-28,10派0.7元(含税),727149.8566,0.7,0.665,50900.49,2013-07-04,2013-07-05,2013-07-05,727149.8566,313002,实施方案
300024.XSHE,300004062,沈阳新松机器人自动化股份有限公司,300024.XSHE,2012-12-31,年度分红,2013-04-02,10派1元(含税),29766.0,2013-05-10,10派1元(含税),29766.0,2013-06-27,10派1元(含税),29766.0,1.0,0.95,2976.6,2013-07-04,2013-07-05,2013-07-05,29766.0,313002,实施方案
600050.XSHG,420600050,中国联合网络通信股份有限公司,600050.XSHG,2012-12-31,年度分红,2013-03-22,10派0.399元(含税),2119659.6395,2013-05-22,10派0.399元(含税),2119659.6395,2013-06-25,10派0.399元(含税),2119659.6395,0.39899999999999997,0.3791,84574.4196,2013-06-28,2013-07-01,2013-07-05,2119659.6395,313002,实施方案
600062.XSHG,420600062,华润双鹤药业股份有限公司,600062.XSHG,2012-12-31,年度分红,2013-03-29,10派3.23元(含税),57169.5948,2013-06-01,10派3.23元(含税),57169.5948,2013-06-24,10派3.23元(含税),57169.5948,3.23,3.0685,18465.7791,2013-06-27,2013-06-28,2013-07-05,57169.5948,313002,实施方案
600108.XSHG,420600108,甘肃亚盛实业(集团)股份有限公司,600108.XSHG,2012-12-31,年度分红,2013-04-12,10派0.25元(含税),194691.5121,2013-05-10,10派0.25元(含税),194691.5121,2013-06-25,10派0.25元(含税),194691.5121,0.25,0.2375,4867.2878,2013-07-01,2013-07-02,2013-07-05,194691.5121,313002,实施方案
600123.XSHG,420600123,山西兰花科技创业股份有限公司,600123.XSHG,2012-12-31,年度分红,2013-04-18,10派6元(含税),114240.0,2013-05-17,10派6元(含税),114240.0,2013-06-25,10派6元(含税),114240.0,6.0,5.7,68544.0,2013-06-28,2013-07-01,2013-07-05,114240.0,313002,实施方案
600252.XSHG,420600252,广西梧州中恒集团股份有限公司,600252.XSHG,2012-12-31,年度分红,2013-03-13,10派2元(含税),109174.7528,2013-05-16,10派2元(含税),109174.7528,2013-06-25,10派2元(含税),109174.7528,2.0,1.9,21834.9506,2013-06-28,2013-07-01,2013-07-05,109174.7528,313002,实施方案
600269.XSHG,420600269,江西赣粤高速公路股份有限公司,600269.XSHG,2012-12-31,年度分红,2013-03-30,10派1.51元(含税),233540.7014,2013-05-21,10派1.51元(含税),233540.7014,2013-06-25,10派1.51元(含税),233540.7014,1.51,1.4345,35264.6459,2013-06-28,2013-07-01,2013-07-05,233540.7014,313002,实施方案
600325.XSHG,420600325,珠海华发实业股份有限公司,600325.XSHG,2012-12-31,年度分红,2013-04-10,10派1元(含税),81704.562,2013-05-07,10派1元(含税),81704.562,2013-06-26,10派1元(含税),81704.562,1.0,0.95,8170.4562,2013-07-01,2013-07-02,2013-07-05,81704.562,313002,实施方案
600398.XSHG,420600398,海澜之家股份有限公司,600398.XSHG,2012-12-31,年度分红,2013-04-23,10派0.5元(含税),64660.4078,2013-05-15,10派0.5元(含税),64660.4078,2013-06-25,10派0.5元(含税),64660.4078,0.5,0.475,3233.0204,2013-06-28,2013-07-01,2013-07-05,64660.4078,313002,实施方案
600547.XSHG,420600547,山东黄金矿业股份有限公司,600547.XSHG,2012-12-31,年度分红,2013-03-30,10派1.6元(含税),142307.2408,2013-04-24,10派1.6元(含税),142307.2408,2013-06-21,10派1.6元(含税),142307.2408,1.6,1.52,22769.1585,2013-06-28,2013-07-01,2013-07-05,142307.2408,313002,实施方案
