,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000001.XSHE,430000001,平安银行股份有限公司,000001.XSHE,2012-12-31,年度分红,2013-03-08,10送6股派1.7元(含税),512335.0416,2013-05-24,10送6股派1.7元(含税),512335.0416,2013-06-14,10送6股派1.7元(含税),512335.0416,1.7,1.315,87096.9571,2013-06-19,2013-06-20,2013-06-20,512335.0416,313002,实施方案
000528.XSHE,430000528,广西柳工机械股份有限公司,000528.XSHE,2012-12-31,年度分红,2013-04-02,10派2.5元(含税),112524.2136,2013-05-29,10派2.5元(含税),112524.2136,2013-06-14,10派2.5元(含税),112524.2136,2.5,2.375,28131.0534,2013-06-19,2013-06-20,2013-06-20,112524.2136,313002,实施方案
002352.XSHE,300010448,顺丰控股股份有限公司,002352.XSHE,2012-12-31,年度分红,2013-04-20,10派1元(含税),7783.078,2013-05-14,10派1元(含税),7783.078,2013-06-14,10派1元(含税),7783.078,1.0,0.95,778.3078,2013-06-19,2013-06-20,2013-06-20,7783.078,313002,实施方案
002460.XSHE,300013787,江西赣锋锂业股份有限公司,002460.XSHE,2012-12-31,年度分红,2013-04-02,10派2元(含税),15280.1,2013-05-16,10派2元(含税),15280.1,2013-06-14,10派2元(含税),15280.1,2.0,1.9,3056.02,2013-06-19,2013-06-20,2013-06-20,15280.1,313002,实施方案
600006.XSHG,420600006,东风汽车股份有限公司,600006.XSHG,2012-12-31,年度分红,2013-03-26,10派0.033元(含税),200000.0,2013-04-24,10派0.033元(含税),200000.0,2013-06-06,10派0.033元(含税),200000.0,0.033,0.0314,660.0,2013-06-14,2013-06-17,2013-06-20,200000.0,313002,实施方案
600038.XSHG,420600038,中航直升机股份有限公司,600038.XSHG,2012-12-31,年度分红,2013-03-26,10派1.6元(含税),33735.0,2013-05-22,10派1.6元(含税),33735.0,2013-06-04,10派1.6元(含税),33735.0,1.6,1.52,5397.6,2013-06-13,2013-06-14,2013-06-20,33735.0,313002,实施方案
600403.XSHG,420600403,河南大有能源股份有限公司,600403.XSHG,2012-12-31,年度分红,2013-04-12,10转增10股派4.5元(含税),119540.6201,2013-05-09,10转增10股派4.5元(含税),119540.6201,2013-06-06,10转增10股派4.5元(含税),119540.6201,4.5,4.275,53793.279,2013-06-14,2013-06-17,2013-06-20,119540.6201,313002,实施方案
600549.XSHG,420600549,厦门钨业股份有限公司,600549.XSHG,2012-12-31,年度分红,2013-04-03,10派2.5元(含税),68198.0,2013-04-25,10派2.5元(含税),68198.0,2013-06-05,10派2.5元(含税),68198.0,2.5,2.375,17049.5,2013-06-13,2013-06-14,2013-06-20,68198.0,313002,实施方案
600585.XSHG,420600585,安徽海螺水泥股份有限公司,600585.XSHG,2012-12-31,年度分红,2013-03-23,10派2.5元(含税),529930.2579,2013-05-29,10派2.5元(含税),529930.2579,2013-06-05,10派2.5元(含税),529930.2579,2.5,2.375,132482.5645,2013-06-13,2013-06-14,2013-06-20,529930.2579,313002,实施方案
601098.XSHG,300015470,中南出版传媒集团股份有限公司,601098.XSHG,2012-12-31,年度分红,2013-04-09,10派1.8元(含税),179600.0,2013-05-08,10派1.8元(含税),179600.0,2013-06-05,10派1.8元(含税),179600.0,1.8,1.71,32328.0,2013-06-13,2013-06-14,2013-06-20,179600.0,313002,实施方案
601231.XSHG,300022058,环旭电子股份有限公司,601231.XSHG,2012-12-31,年度分红,2013-03-27,10派1.92元(含税),101172.3801,2013-04-27,10派1.92元(含税),101172.3801,2013-06-05,10派1.92元(含税),101172.3801,1.92,1.824,19425.096999999998,2013-06-13,2013-06-14,2013-06-20,101172.3801,313002,实施方案
