,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000539.XSHE,430000539,广东电力发展股份有限公司,000539.XSHE,2014-12-31,年度分红,2015-04-18,10送2股派2元(含税),437523.6655,2015-05-21,10送2股派2元(含税),437523.6655,2015-06-19,10送2股派2元(含税),437523.6655,2.0,1.8,87504.7331,2015-06-25,2015-06-26,2015-06-26,437523.6655,313002,实施方案
000581.XSHE,430000581,无锡威孚高科技集团股份有限公司,000581.XSHE,2014-12-31,年度分红,2015-04-23,10派4元(含税),102020.0992,2015-05-29,10派4元(含税),102020.0992,2015-06-17,10派4元(含税),102020.0992,4.0,3.8,40808.0397,2015-06-25,2015-06-26,2015-06-26,102020.0992,313002,实施方案
000625.XSHE,430000625,重庆长安汽车股份有限公司,000625.XSHE,2014-12-31,年度分红,2015-04-17,10派2.5元(含税),466288.6108,2015-05-09,10派2.5元(含税),466288.6108,2015-06-18,10派2.5元(含税),466288.6108,2.5,2.375,116572.1527,2015-06-25,2015-06-26,2015-06-26,466288.6108,313002,实施方案
000758.XSHE,430000758,中国有色金属建设股份有限公司,000758.XSHE,2014-12-31,年度分红,2015-04-21,10派0.5元(含税),98468.9212,2015-05-21,10派0.5元(含税),98468.9212,2015-06-18,10派0.5元(含税),98468.9212,0.5,0.475,4923.4461,2015-06-25,2015-06-26,2015-06-26,98468.9212,313002,实施方案
600060.XSHG,420600060,青岛海信电器股份有限公司,600060.XSHG,2014-12-31,年度分红,2015-04-25,10派3.25元(含税),130848.1222,2015-06-06,10派3.25元(含税),130848.1222,2015-06-19,10派3.25元(含税),130848.1222,3.25,3.0875,42525.6397,2015-06-25,2015-06-26,2015-06-26,130848.1222,313002,实施方案
600068.XSHG,420600068,中国葛洲坝集团股份有限公司,600068.XSHG,2014-12-31,年度分红,2015-03-31,10派1.5元(含税),460477.7412,2015-04-30,10派1.5元(含税),460477.7412,2015-06-19,10派1.5元(含税),460477.7412,1.5,1.425,69071.6612,2015-06-25,2015-06-26,2015-06-26,460477.7412,313002,实施方案
600123.XSHG,420600123,山西兰花科技创业股份有限公司,600123.XSHG,2014-12-31,年度分红,2015-04-21,10派0.18元(含税),114240.0,2015-05-30,10派0.18元(含税),114240.0,2015-06-19,10派0.18元(含税),114240.0,0.18,0.171,2056.32,2015-06-25,2015-06-26,2015-06-26,114240.0,313002,实施方案
600132.XSHG,420600132,重庆啤酒股份有限公司,600132.XSHG,2014-12-31,年度分红,2015-04-10,10派2元(含税),48397.1198,2015-05-07,10派2元(含税),48397.1198,2015-06-19,10派2元(含税),48397.1198,2.0,1.9,9679.424,2015-06-25,2015-06-26,2015-06-26,48397.1198,313002,实施方案
600528.XSHG,420600528,中铁高新工业股份有限公司,600528.XSHG,2014-12-31,年度分红,2015-03-20,10派0.6元(含税),145920.0,2015-04-28,10派0.6元(含税),145920.0,2015-06-19,10派0.6元(含税),145920.0,0.6,0.57,8755.2,2015-06-25,2015-06-26,2015-06-26,145920.0,313002,实施方案
600674.XSHG,420600674,四川川投能源股份有限公司,600674.XSHG,2014-12-31,年度分红,2015-04-25,10转增10股派3元(含税),220107.02399999998,2015-05-16,10转增10股派3元(含税),220107.02399999998,2015-06-17,10转增10股派3元(含税),220107.02399999998,3.0,2.85,66032.1072,2015-06-25,2015-06-26,2015-06-26,220107.02399999998,313002,实施方案
600703.XSHG,420600703,三安光电股份有限公司,600703.XSHG,2014-12-31,年度分红,2015-03-24,10派2元(含税),239308.4883,2015-05-27,10派2元(含税),239308.4883,2015-06-19,10派2元(含税),239308.4883,2.0,1.9,47861.6977,2015-06-25,2015-06-26,2015-06-26,239308.4883,313002,实施方案
600886.XSHG,420600886,国投电力控股股份有限公司,600886.XSHG,2014-12-31,年度分红,2015-04-10,10派2.8866元(含税),678602.3347,2015-05-06,10派2.8866元(含税),678602.3347,2015-06-19,10派2.8866元(含税),678602.3347,2.8866,2.7423,195885.3499,2015-06-25,2015-06-26,2015-06-26,678602.3347,313002,实施方案
600958.XSHG,460000065,东方证券股份有限公司,600958.XSHG,2014-12-31,年度分红,2015-04-25,10派1.5元(含税),528174.2921,2015-05-26,10派1.5元(含税),528174.2921,2015-06-19,10派1.5元(含税),528174.2921,1.5,1.425,79226.1438,2015-06-25,2015-06-26,2015-06-26,528174.2921,313002,实施方案
600997.XSHG,420600997,开滦能源化工股份有限公司,600997.XSHG,2014-12-31,年度分红,2015-03-28,10派0.25元(含税),123464.0,2015-04-29,10派0.25元(含税),123464.0,2015-06-19,10派0.25元(含税),123464.0,0.25,0.2375,3086.6,2015-06-25,2015-06-26,2015-06-26,123464.0,313002,实施方案
601139.XSHG,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2014-12-31,年度分红,2015-03-28,10派1.43元(含税),217761.6866,2015-05-29,10派1.43元(含税),217761.6866,2015-06-19,10派1.43元(含税),217761.6866,1.43,1.3585,31139.9212,2015-06-25,2015-06-26,2015-06-26,217761.6866,313002,实施方案
601225.XSHG,300023204,陕西煤业股份有限公司,601225.XSHG,2014-12-31,年度分红,2015-04-25,10派0.3元(含税),1000000.0,2015-05-20,10派0.3元(含税),1000000.0,2015-06-18,10派0.3元(含税),1000000.0,0.3,0.285,30000.0,2015-06-25,2015-06-26,2015-06-26,1000000.0,313002,实施方案
601555.XSHG,460000325,东吴证券股份有限公司,601555.XSHG,2014-12-31,年度分红,2015-04-18,10派1.25元(含税),270000.0,2015-05-16,10派1.25元(含税),270000.0,2015-06-18,10派1.25元(含税),270000.0,1.25,1.1875,33750.0,2015-06-25,2015-06-26,2015-06-26,270000.0,313002,实施方案
