,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000581.XSHE,430000581,无锡威孚高科技集团股份有限公司,000581.XSHE,2017-12-31,年度分红,2018-04-17,10派12元(含税),2018-06-28,10派12元(含税),2018-07-10,10派12元(含税),100895.05699999999,12.0,12.0,121074.0684,2018-07-17,2018-07-18,2018-07-18,100895.05699999999,313002,实施方案
000961.XSHE,430000961,江苏中南建设集团股份有限公司,000961.XSHE,2017-12-31,年度分红,2018-04-27,10派0.2元(含税),2018-05-19,10派0.2元(含税),2018-07-12,10派0.2元(含税),370978.8797,0.2,0.2,7419.5776,2018-07-17,2018-07-18,2018-07-18,370978.8797,313002,实施方案
002378.XSHE,300011447,崇义章源钨业股份有限公司,002378.XSHE,2017-12-31,年度分红,2018-04-24,10派0.2元(含税),2018-06-02,10派0.2元(含税),2018-07-12,10派0.2元(含税),92416.7436,0.2,0.2,1848.3349,2018-07-17,2018-07-18,2018-07-18,92416.7436,313002,实施方案
600108.XSHG,420600108,甘肃亚盛实业(集团)股份有限公司,600108.XSHG,2017-12-31,年度分红,2018-04-20,10派0.05元(含税),2018-06-02,10派0.05元(含税),2018-07-12,10派0.05元(含税),194691.5121,0.05,0.05,973.4576,2018-07-17,2018-07-18,2018-07-18,194691.5121,313002,实施方案
600317.XSHG,420600317,营口港务股份有限公司,600317.XSHG,2017-12-31,年度分红,2018-04-27,10派0.25元(含税),2018-06-27,10派0.25元(含税),2018-07-12,10派0.25元(含税),647298.3003,0.25,0.25,16182.4575,2018-07-17,2018-07-18,2018-07-18,647298.3003,313002,实施方案
600663.XSHG,420600663,上海陆家嘴金融贸易区开发股份有限公司,600663.XSHG,2017-12-31,年度分红,2018-03-30,10派4.66元(含税),2018-06-27,10派4.66元(含税),2018-07-12,10派4.66元(含税),336183.12,4.66,4.66,156661.3339,2018-07-17,2018-07-18,2018-07-18,336183.12,313002,实施方案
600804.XSHG,420600804,鹏博士电信传媒集团股份有限公司,600804.XSHG,2017-12-31,年度分红,2018-04-26,10派1.65元(含税),2018-05-22,10派1.65元(含税),2018-07-12,10派1.65元(含税),143245.6499,1.65,1.65,23635.5322,2018-07-17,2018-07-18,2018-07-18,143245.6499,313002,实施方案
600895.XSHG,420600895,上海张江高科技园区开发股份有限公司,600895.XSHG,2017-12-31,年度分红,2018-04-28,10派1元(含税),2018-06-16,10派1元(含税),2018-07-11,10派1元(含税),154868.955,1.0,1.0,15486.8955,2018-07-17,2018-07-18,2018-07-18,154868.955,313002,实施方案
601186.XSHG,300004347,中国铁建股份有限公司,601186.XSHG,2017-12-31,年度分红,2018-03-30,10派1.8元(含税),2018-06-12,10派1.8元(含税),2018-07-10,10派1.8元(含税),1357954.15,1.8,1.8,244431.747,2018-07-17,2018-07-18,2018-07-18,1357954.15,313002,实施方案
601390.XSHG,300003904,中国中铁股份有限公司,601390.XSHG,2017-12-31,年度分红,2018-03-30,10派1.13元(含税),2018-06-26,10派1.13元(含税),2018-07-11,10派1.13元(含税),2284430.1543,1.13,1.13,258140.6074,2018-07-17,2018-07-18,2018-07-18,2284430.1543,313002,实施方案
601898.XSHG,300004221,中国中煤能源股份有限公司,601898.XSHG,2017-12-31,年度分红,2018-03-21,10派0.55元(含税),2018-06-26,10派0.55元(含税),2018-07-12,10派0.55元(含税),1325866.34,0.55,0.55,72432.78,2018-07-17,2018-07-18,2018-07-18,1325866.34,313002,实施方案
