,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000021.XSHE,430000021,深圳长城开发科技股份有限公司,000021.XSHE,2014-12-31,年度分红,2015-03-30,10派0.5元(含税),147125.9363,2015-04-22,10派0.5元(含税),147125.9363,2015-06-12,10派0.5元(含税),147125.9363,0.5,0.475,7356.2968,2015-06-17,2015-06-18,2015-06-18,147125.9363,313002,实施方案
000671.XSHE,430000671,阳光城集团股份有限公司,000671.XSHE,2014-12-31,年度分红,2015-04-03,10派1.6元(含税),128423.5534,2015-04-24,10派1.6元(含税),128423.5534,2015-06-12,10派1.6元(含税),129366.7534,1.6,1.52,20698.6805,2015-06-17,2015-06-18,2015-06-18,129366.7534,313002,实施方案
000783.XSHE,430000783,长江证券股份有限公司,000783.XSHE,2014-12-31,年度分红,2015-03-27,10派1.5元(含税),474246.7678,2015-04-23,10派1.5元(含税),474246.7678,2015-06-12,10派1.5元(含税),474246.7678,1.5,1.425,71137.0152,2015-06-17,2015-06-18,2015-06-18,474246.7678,313002,实施方案
000970.XSHE,430000970,北京中科三环高技术股份有限公司,000970.XSHE,2014-12-31,年度分红,2015-03-28,10派0.85元(含税),106520.0,2015-04-25,10派0.85元(含税),106520.0,2015-06-10,10派0.85元(含税),106520.0,0.85,0.8075,9054.2,2015-06-17,2015-06-18,2015-06-18,106520.0,313002,实施方案
002001.XSHE,430002001,浙江新和成股份有限公司,002001.XSHE,2014-12-31,年度分红,2015-04-14,10派3.5元(含税),108891.9,2015-05-21,10派3.5元(含税),108891.9,2015-06-10,10派3.5元(含税),108891.9,3.5,3.325,38112.165,2015-06-17,2015-06-18,2015-06-18,108891.9,313002,实施方案
002304.XSHE,300008689,江苏洋河酒厂股份有限公司,002304.XSHE,2014-12-31,年度分红,2015-04-29,10转增4股派20元(含税),107642.0,2015-05-27,10转增4股派20元(含税),107642.0,2015-06-11,10转增4股派20元(含税),107642.0,20.0,19.0,215284.0,2015-06-17,2015-06-18,2015-06-18,107642.0,313002,实施方案
002602.XSHE,300021007,浙江世纪华通集团股份有限公司,002602.XSHE,2014-12-31,年度分红,2015-04-22,10转增10股派1元(含税),51354.602,2015-05-16,10转增10股派1元(含税),51354.602,2015-06-12,10转增10股派1元(含税),51354.602,1.0,0.95,5135.4602,2015-06-17,2015-06-18,2015-06-18,51354.602,313002,实施方案
002624.XSHE,300021520,完美世界股份有限公司,002624.XSHE,2014-12-31,年度分红,2015-03-31,10派0.4元(含税),48770.6996,2015-04-21,10派0.4元(含税),48770.6996,2015-06-12,10派0.4元(含税),48770.6996,0.4,0.38,1950.828,2015-06-17,2015-06-18,2015-06-18,48770.6996,313002,实施方案
300024.XSHE,300004062,沈阳新松机器人自动化股份有限公司,300024.XSHE,2014-12-31,年度分红,2015-04-10,10派0.5元(含税),65485.2,2015-05-06,10派0.5元(含税),65485.2,2015-06-11,10派0.5元(含税),65485.2,0.5,0.475,3274.26,2015-06-17,2015-06-18,2015-06-18,65485.2,313002,实施方案
600188.XSHG,420600188,兖州煤业股份有限公司,600188.XSHG,2014-12-31,年度分红,2015-03-30,10派0.2元(含税),491840.0,2015-05-23,10派0.2元(含税),491840.0,2015-06-11,10派0.2元(含税),491840.0,0.2,0.19,9836.8,2015-06-17,2015-06-18,2015-06-18,491840.0,313002,实施方案
